plant	length
AT5G45470 E-	90.697
AT5G45470 E-	44.598
AT5G45470 E-	53.075
AT5G45470 E-	51.614
AT5G45470 E-	67.082
AT5G45470 E-	91.241
AT5G45470 E-	25.632
AT5G45470 E-	64.9
AT5G45470 E-	84.054
AT5G45470 E-	107.541
AT5G45470 E-	60.075
AT5G45470 E-	54.083
AT5G45470 E-	45.398
AT5G45470 E-	57.315
AT5G45470 E-	54.083
AT5G45470 E-	36.497
AT5G45470 E-	54.083
AT5G45470 E-	36.62
AT5G45470 E-	28.46
AT5G45470 E-	37.108
AT5G45470 E-	53.666
AT5G45470 E-	45.891
AT5G45470 E-	60.075
AT5G45470 E-	39
AT5G45470 E+	39.115
AT5G45470 E-	33.541
AT5G45470 E-	36.497
AT5G45470 E-	27.659
AT5G45470 E-	33
AT5G45470 E+	165.082
AT5G45470 E+	132.034
AT5G45470 E+	82.976
AT5G45470 E+	138.293
AT5G45470 E+	126.57
AT5G45470 E+	131.727
AT5G45470 E+	128.16
AT5G45470 E+	148.977
AT5G45470 E+	100.623
AT5G45470 E+	95.859
AT5G45470 E+	93.193
AT5G45470 E+	128.16
AT5G45470 E+	93.434
AT5G45470 E+	95.341
AT5G45470 E+	122.119
AT5G45470 E+	147.763
AT5G45470 E+	124.31
AT5G45470 E+	126.57
AT5G45470 E+	109.49
AT5G45470 E+	78
AT5G45470 E+	80.777
AT5G45470 E+	62.426
AT5G45470 E+	109.037
AT5G45470 E+	105.385
AT5G45470 E+	111.364
AT5G45470 E+	91.241
AT5G45470 E+	85.907
AT5G45470 E+	90.796
AT5G45470 E+	112.929
AT5G45470 E+	99.725
AT5G45470 E+	174.929
AT5G45470 E+	123.584
AT5G45470 E+	144.25
AT5G45470 E+	124.31
AT5G45470 E+	88.843
AT5G45470 E+	85.329
AT5G45470 E+	104.785
AT5G45470 E+	112.969
AT5G45470 E+	107.079
WT E-	27.514
WT E-	48.374
WT E-	21.587
WT E-	24.083
WT E-	25.08
WT E-	34
WT E-	32.249
WT E-	36.497
WT E-	31.016
WT E-	60.415
WT E-	54.129
WT E-	39.395
WT E-	62.177
WT E-	61.4
WT E-	64.622
WT E-	56.921
WT E-	48.836
WT E-	83.193
WT E-	60.745
WT E-	67.082
WT E-	48.374
WT E-	88.64
WT E-	72.498
WT E-	87.207
WT E-	63.64
WT E-	60.745
WT E-	83.678
WT E-	51.352
WT E-	80.05
WT E+	162.693
WT E+	121.342
WT E+	105.342
WT E+	175.263
WT E+	150.12
WT E+	114.237
WT E+	118.68
WT E+	96.84
WT E+	165.952
WT E+	194.815
WT E+	120.785
WT E+	232.573
WT E+	128.16
WT E+	112.73
WT E+	107.205
WT E+	154.434
WT E+	76.485
WT E+	115.918
WT E+	81.222
WT E+	91.093
WT E+	99.725
WT E+	120.075
WT E+	138.975
WT E+	156.029
WT E+	177.406
