FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	804	644	1035	1009	1007	1007	1253	999	536
Fo	55.24	78.25	71.59	95.26	84.80	91.07	87.66	71.69	60.56
Fo_gauss	55.24	78.25	71.59	95.26	84.80	91.07	87.66	71.69	60.56
Fo_median	42.27	62.37	56.05	75.94	69.29	74.25	72.66	57.45	45.61
Fm	459.42	576.37	530.62	674.81	635.98	690.34	640.14	527.76	463.67
Fv	404.19	498.12	459.04	579.56	551.18	599.27	552.48	456.07	403.12
Fp	488.30	597.12	565.58	699.00	669.76	713.10	682.17	566.91	490.33
Fp-median	438.18	540.02	509.76	627.92	610.60	650.38	629.76	516.41	441.29
Fp-gauss	622.17	738.87	710.81	854.44	822.97	867.49	820.40	701.57	622.98
Fp-average	540.87	655.06	623.79	763.10	730.28	775.07	733.62	617.24	543.64
Fm_L1	411.84	496.30	465.28	560.20	553.91	607.42	582.15	467.74	419.84
Fm_L2	325.69	337.41	337.68	378.40	390.96	418.33	392.37	317.24	294.50
Fm_L3	273.68	285.44	292.10	327.16	333.93	366.03	327.28	265.76	229.50
Fm_L4	235.16	243.38	256.38	290.00	294.15	330.34	282.61	230.13	196.91
Fm_Lss	225.39	225.00	246.80	269.65	272.94	316.40	265.97	209.59	179.83
Fm_D1	353.00	458.10	402.85	518.82	470.75	508.79	532.27	450.14	395.70
Fm_D2	385.03	477.06	426.74	547.68	508.71	554.56	557.16	465.37	407.81
Fm_D3	387.20	481.26	431.20	545.50	516.00	562.47	559.58	461.05	402.91
Ft_L1	406.31	508.06	470.41	579.33	563.87	611.08	581.92	468.63	423.43
Ft_L2	323.98	341.91	335.04	376.73	392.20	417.36	394.97	316.11	303.86
Ft_L3	271.76	282.62	285.24	322.99	325.02	352.07	326.79	264.57	234.92
Ft_L4	234.37	243.10	248.05	286.90	284.98	313.82	278.02	228.76	194.78
Ft_Lss	218.97	218.51	235.20	264.10	265.11	298.60	255.41	205.44	176.68
Ft_D1	68.47	92.79	82.16	114.25	100.51	106.94	102.63	88.69	73.89
Ft_D2	70.96	91.15	83.03	114.62	103.87	109.31	103.16	86.46	70.02
Ft_D3	69.60	90.31	83.61	112.32	101.80	108.99	100.49	85.91	69.13
Fo_L1	54.43	76.49	70.20	92.49	83.12	89.43	86.46	70.39	59.71
Fo_L2	52.46	71.00	66.21	85.41	77.96	83.63	80.41	65.33	56.00
Fo_L3	50.73	68.29	64.12	82.38	75.28	81.21	77.16	62.70	52.97
Fo_L4	49.17	65.39	62.12	79.76	72.93	79.27	74.26	60.35	50.88
Fo_Lss	48.65	63.77	61.44	78.00	71.50	78.39	72.98	58.69	49.55
Fo_D1	53.16	75.24	68.49	91.27	80.89	86.86	85.22	69.95	59.15
Fo_D2	53.88	75.82	69.14	92.14	81.96	88.15	85.86	70.33	59.46
Fo_D3	53.92	75.95	69.29	92.06	82.14	88.36	85.94	70.23	59.32
Fv_L1	357.41	419.81	395.08	467.71	470.79	517.99	495.69	397.34	360.12
Fv_L2	273.23	266.41	271.47	292.99	312.99	334.71	311.95	251.91	238.49
Fv_L3	222.95	217.15	227.98	244.78	258.65	284.81	250.12	203.06	176.53
Fv_L4	185.99	177.98	194.26	210.24	221.22	251.08	208.35	169.78	146.03
Fv_Lss	176.74	161.23	185.35	191.65	201.44	238.01	192.99	150.91	130.28
Fv_D1	299.84	382.86	334.36	427.55	389.86	421.93	447.05	380.20	336.55
Fv_D2	331.15	401.23	357.60	455.54	426.75	466.42	471.30	395.04	348.35
Fv_D3	333.28	405.31	361.91	453.44	433.85	474.11	473.64	390.82	343.59
Fq_L1	5.53	-11.76	-5.14	-19.13	-9.96	-3.66	0.23	-0.89	-3.59
Fq_L2	1.71	-4.51	2.64	1.66	-1.24	0.98	-2.61	1.13	-9.36
