FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	1332	1113	688	1047	1362	1778	982	294	994	951	1471	1050	1051
Fo	54.49	66.36	45.62	47.11	103.96	108.73	53.86	33.74	50.84	58.82	95.91	122.58	96.97
Fo_gauss	54.49	66.36	45.62	47.11	103.96	108.73	53.86	33.74	50.84	58.82	95.91	122.58	96.97
Fo_median	41.45	52.12	33.68	35.03	84.85	91.76	39.99	22.37	37.91	43.77	79.46	104.52	76.08
Fm	463.71	520.06	394.33	406.05	759.82	822.53	442.59	303.02	417.68	490.73	745.55	859.64	703.37
Fv	409.22	453.70	348.70	358.94	655.86	713.79	388.73	269.28	366.84	431.91	649.64	737.06	606.40
Fp	485.21	553.60	416.11	428.80	784.86	848.86	473.40	316.78	448.26	520.45	770.55	892.22	723.45
Fp-median	435.69	502.61	369.23	380.95	709.13	780.76	416.38	272.66	397.75	458.79	706.33	820.83	647.79
Fp-gauss	606.25	686.57	543.50	557.45	943.27	1005.95	615.90	435.78	579.36	666.49	922.75	1052.01	876.37
Fp-average	530.70	602.63	464.51	477.76	847.50	908.74	530.61	360.19	497.55	578.15	828.89	951.67	784.62
Fm_L1	408.22	452.88	344.12	353.68	630.75	713.56	375.02	247.72	348.40	423.05	648.75	707.84	570.24
Fm_L2	293.77	290.02	257.38	256.96	408.65	497.98	245.67	180.87	226.99	312.82	465.79	481.29	384.49
Fm_L3	251.87	258.24	224.28	220.10	368.31	439.21	215.07	157.94	198.36	269.62	407.68	435.61	346.70
Fm_L4	213.13	223.51	188.45	187.81	322.67	377.20	183.49	130.84	172.98	228.40	350.18	383.48	294.37
Fm_Lss	192.93	209.86	170.64	174.74	299.29	349.15	173.53	121.47	159.99	204.72	316.40	361.38	269.93
Fm_D1	384.30	423.17	308.95	329.49	574.21	647.08	351.39	233.58	319.86	384.73	564.57	676.28	545.63
Fm_D2	394.45	446.51	324.17	339.51	620.63	679.00	368.17	241.40	334.60	399.26	605.13	716.00	582.13
Fm_D3	401.80	448.62	326.15	344.52	632.95	690.76	373.45	246.15	337.50	401.99	612.49	726.04	587.22
Ft_L1	390.13	446.48	335.32	347.54	642.47	710.96	379.93	242.44	349.20	423.14	643.32	716.59	592.62
Ft_L2	295.52	293.24	255.97	257.94	404.60	498.41	236.00	178.34	226.93	300.32	462.25	476.54	375.73
Ft_L3	243.83	252.15	215.69	217.29	350.66	422.64	213.62	154.97	195.73	263.19	389.98	418.66	328.78
Ft_L4	196.44	217.75	183.14	182.89	304.97	351.92	181.34	120.24	171.06	221.62	325.65	357.34	283.80
Ft_Lss	168.12	198.35	164.88	164.35	280.25	322.00	169.28	108.35	155.06	196.43	297.35	333.27	260.33
Ft_D1	67.06	78.76	52.95	56.83	121.94	131.19	64.98	37.43	56.66	68.35	115.39	146.05	113.12
Ft_D2	67.58	78.71	54.66	58.90	122.12	135.99	66.59	40.04	58.36	73.70	118.59	146.14	115.42
Ft_D3	68.09	76.63	53.22	59.15	124.46	135.92	64.31	42.84	59.60	72.57	118.01	145.01	113.97
Fo_L1	53.60	65.08	44.82	46.25	101.05	106.53	52.63	32.82	49.55	57.61	94.04	118.75	93.82
Fo_L2	50.78	59.93	42.70	43.88	92.64	99.83	48.67	30.99	45.76	54.79	88.75	109.65	86.54
Fo_L3	49.27	58.33	41.59	42.54	90.32	97.15	47.21	30.10	44.31	53.24	86.33	107.04	84.40
Fo_L4	47.42	56.19	39.99	41.01	87.19	93.61	45.34	28.70	42.72	51.19	83.29	103.49	80.79
Fo_Lss	46.28	55.18	39.03	40.29	85.27	91.71	44.63	28.15	41.87	49.78	81.11	101.77	78.69
Fo_D1	53.13	64.35	44.07	45.79	99.46	104.87	52.06	32.49	48.86	56.74	92.01	117.92	93.14
Fo_D2	53.33	64.90	44.38	45.97	100.81	105.72	52.46	32.61	49.23	57.06	93.04	119.09	94.20
Fo_D3	53.49	64.95	44.42	46.07	101.14	106.00	52.57	32.74	49.27	57.11	93.20	119.38	94.32
Fv_L1	354.62	387.80	299.30	307.42	529.70	607.03	322.38	214.89	298.86	365.44	554.71	589.09	476.43
Fv_L2	242.99	230.10	214.68	213.07	316.01	398.16	197.00	149.87	181.24	258.03	377.04	371.64	297.95
Fv_L3	202.60	199.90	182.69	177.56	277.98	342.05	167.86	127.84	154.05	216.39	321.35	328.58	262.29
Fv_L4	165.70	167.32	148.45	146.80	235.48	283.59	138.15	102.14	130.26	177.21	266.90	279.98	213.58
Fv_Lss	146.65	154.67	131.62	134.44	214.02	257.44	128.90	93.32	118.12	154.94	235.29	259.61	191.24
Fv_D1	331.18	358.82	264.88	283.70	474.75	542.21	299.33	201.09	271.00	327.99	472.56	558.37	452.49
Fv_D2	341.12	381.61	279.79	293.54	519.82	573.28	315.71	208.78	285.37	342.20	512.09	596.91	487.93
Fv_D3	348.31	383.67	281.73	298.44	531.81	584.76	320.88	213.40	288.23	344.88	519.29	606.66	492.90
Fq_L1	18.09	6.40	8.80	6.13	-11.72	2.60	-4.91	5.28	-0.79	-0.09	5.43	-8.74	-22.38
Fq_L2	-1.75	-3.22	1.42	-0.98	4.05	-0.42	9.67	2.52	0.06	12.50	3.54	4.74	8.76
Fq_L3	8.04	6.09	8.60	2.81	17.65	16.56	1.45	2.97	2.64	6.43	17.69	16.95	17.92
Fq_L4	16.68	5.76	5.31	4.91	17.70	25.28	2.15	10.59	1.92	6.78	24.53	26.13	10.57
Fq_Lss	24.81	11.51	5.76	10.39	19.04	27.15	4.25	13.12	4.93	8.29	19.05	28.11	9.60
Fq_D1	317.24	344.41	256.01	272.66	452.27	515.89	286.41	196.16	263.20	316.38	449.18	530.23	432.51
Fq_D2	326.88	367.79	269.51	280.61	498.51	543.00	301.58	201.36	276.23	325.56	486.53	569.85	466.71
Fq_D3	333.71	371.99	272.94	285.36	508.49	554.84	309.14	203.31	277.90	329.42	494.47	581.03	473.25
QY_max	0.88	0.87	0.88	0.88	0.86	0.87	0.88	0.89	0.88	0.88	0.87	0.86	0.86
Fv/Fm_L1	0.87	0.86	0.87	0.87	0.84	0.85	0.86	0.87	0.86	0.86	0.86	0.83	0.84
Fv/Fm_L2	0.83	0.79	0.83	0.83	0.77	0.80	0.80	0.82	0.79	0.82	0.81	0.77	0.78
Fv/Fm_L3	0.80	0.77	0.81	0.80	0.75	0.78	0.77	0.80	0.77	0.80	0.79	0.75	0.76
Fv/Fm_L4	0.77	0.74	0.78	0.78	0.73	0.75	0.74	0.77	0.75	0.77	0.76	0.73	0.73
Fv/Fm_Lss	0.76	0.73	0.76	0.76	0.71	0.74	0.73	0.76	0.73	0.75	0.74	0.72	0.71
Fv/Fm_D1	0.86	0.85	0.86	0.86	0.83	0.84	0.85	0.86	0.84	0.85	0.84	0.83	0.83
Fv/Fm_D2	0.86	0.85	0.86	0.86	0.84	0.85	0.85	0.86	0.85	0.85	0.85	0.83	0.84
Fv/Fm_D3	0.87	0.85	0.86	0.86	0.84	0.85	0.86	0.86	0.85	0.85	0.85	0.84	0.84
QY_L1	0.03	0.00	0.01	0.00	-0.03	-0.00	-0.03	-0.00	-0.02	-0.01	-0.00	-0.02	-0.05
QY_L2	-0.02	-0.03	-0.02	-0.03	-0.00	-0.01	0.01	-0.03	-0.03	0.02	-0.00	-0.00	0.01
QY_L3	0.01	0.00	0.00	-0.02	0.03	0.03	-0.03	-0.04	-0.02	0.00	0.03	0.03	0.04
QY_L4	0.06	-0.00	-0.01	-0.01	0.04	0.05	-0.04	0.01	-0.04	0.01	0.05	0.06	0.01
QY_Lss	0.11	0.02	-0.01	0.02	0.03	0.06	-0.04	0.05	-0.02	0.00	0.04	0.06	0.01
QY_D1	0.82	0.81	0.83	0.83	0.79	0.80	0.81	0.84	0.82	0.82	0.80	0.79	0.79
QY_D2	0.83	0.82	0.83	0.82	0.80	0.80	0.82	0.83	0.82	0.81	0.80	0.80	0.80
QY_D3	0.83	0.83	0.83	0.83	0.80	0.80	0.83	0.82	0.82	0.82	0.81	0.80	0.81
NPQ_L1	0.15	0.16	0.17	0.17	0.22	0.16	0.20	0.25	0.23	0.18	0.17	0.22	0.25
NPQ_L2	0.60	0.83	0.57	0.63	0.89	0.66	0.86	0.74	0.90	0.61	0.62	0.80	0.85
NPQ_L3	0.87	1.06	0.82	0.91	1.10	0.89	1.15	1.03	1.20	0.87	0.85	0.99	1.05
NPQ_L4	1.24	1.40	1.18	1.26	1.43	1.21	1.56	1.49	1.54	1.21	1.18	1.27	1.45
NPQ_Lss	1.48	1.56	1.42	1.44	1.69	1.40	1.74	1.68	1.78	1.51	1.42	1.44	1.68
NPQ_D1	0.22	0.25	0.31	0.25	0.36	0.29	0.31	0.33	0.35	0.32	0.35	0.30	0.31
NPQ_D2	0.19	0.18	0.24	0.22	0.25	0.22	0.24	0.30	0.29	0.27	0.26	0.22	0.23
NPQ_D3	0.17	0.17	0.24	0.21	0.22	0.20	0.23	0.27	0.27	0.26	0.24	0.20	0.22
qN_L1	0.13	0.14	0.13	0.13	0.19	0.15	0.16	0.19	0.17	0.14	0.14	0.20	0.21
qN_L2	0.40	0.49	0.38	0.40	0.52	0.44	0.49	0.44	0.50	0.40	0.42	0.49	0.51
qN_L3	0.51	0.56	0.48	0.50	0.58	0.52	0.57	0.52	0.58	0.50	0.51	0.56	0.57
qN_L4	0.60	0.64	0.57	0.59	0.65	0.61	0.65	0.62	0.65	0.59	0.59	0.62	0.65
qN_Lss	0.65	0.66	0.62	0.63	0.68	0.64	0.67	0.65	0.68	0.64	0.64	0.65	0.69
qN_D1	0.19	0.20	0.23	0.20	0.28	0.24	0.22	0.24	0.25	0.23	0.28	0.25	0.26
qN_D2	0.16	0.15	0.19	0.17	0.21	0.19	0.18	0.21	0.21	0.20	0.21	0.19	0.20
qN_D3	0.14	0.15	0.18	0.16	0.19	0.18	0.16	0.19	0.20	0.19	0.20	0.18	0.19
qP_L1	0.04	0.00	0.01	-0.00	-0.04	-0.01	-0.04	-0.01	-0.03	-0.02	-0.00	-0.02	-0.06
qP_L2	-0.03	-0.04	-0.02	-0.05	-0.01	-0.02	-0.00	-0.05	-0.05	0.02	-0.01	-0.00	0.01
qP_L3	0.01	-0.00	-0.01	-0.03	0.04	0.03	-0.05	-0.07	-0.05	-0.00	0.04	0.03	0.05
qP_L4	0.06	-0.02	-0.03	-0.05	0.04	0.06	-0.08	-0.02	-0.07	-0.00	0.06	0.07	-0.00
qP_Lss	0.14	0.02	-0.03	0.02	0.00	0.08	-0.08	0.04	-0.05	-0.02	0.04	0.08	0.00
qP_D1	0.96	0.96	0.97	0.96	0.96	0.95	0.96	0.98	0.97	0.97	0.95	0.95	0.96
qP_D2	0.96	0.96	0.96	0.96	0.96	0.95	0.96	0.96	0.97	0.95	0.95	0.96	0.96
qP_D3	0.96	0.97	0.97	0.96	0.96	0.95	0.97	0.95	0.97	0.96	0.95	0.96	0.96
qL_L1	0.11	-0.15	-0.24	-0.23	-0.38	-0.13	-0.53	-0.56	-0.50	-0.27	-0.14	-0.20	-0.52
qL_L2	-0.44	-0.45	-0.49	-0.66	-0.22	-0.21	-0.39	-0.89	-0.65	-0.10	-0.17	-0.12	-0.16
qL_L3	-0.25	-0.30	-0.51	-0.60	-0.00	-0.01	-0.70	-0.99	-0.69	-0.30	0.03	0.05	-0.01
qL_L4	-0.10	-0.40	-0.65	-0.77	-0.05	0.08	-0.89	-0.93	-0.94	-0.32	0.03	0.12	-0.30
qL_Lss	0.15	-0.28	-0.75	-0.48	-0.67	0.13	-0.87	-0.63	-0.90	-0.56	-0.06	0.12	-0.25
