FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
Size [pixels]	1307	1132	1091	864	875	1472	1853	3358
Fo	52.61	60.93	96.84	42.86	49.80	55.11	105.50	75.99
Fo_gauss	52.61	60.93	96.84	42.86	49.80	55.11	105.50	75.99
Fo_median	39.61	46.18	75.80	31.10	36.99	42.91	87.38	60.17
Fm	437.45	514.63	739.35	381.11	421.34	459.20	779.40	619.00
Fv	384.84	453.69	642.50	338.25	371.54	404.09	673.89	543.01
Fp	465.62	539.86	756.04	408.48	439.56	484.75	818.10	642.58
Fp-median	416.67	484.13	671.45	358.57	393.49	439.67	745.02	580.14
Fp-gauss	597.78	675.33	917.65	542.52	559.52	603.21	977.04	788.96
Fp-average	515.55	593.38	822.82	458.80	485.77	528.13	878.12	699.38
Fm_L1	385.98	458.93	638.05	332.82	365.78	405.67	671.40	541.47
Fm_L2	271.25	344.17	430.14	248.82	273.48	278.76	444.45	393.75
Fm_L3	230.60	294.79	370.19	215.25	238.01	240.39	395.39	340.19
Fm_L4	196.19	257.62	317.38	188.20	204.52	204.93	339.99	293.29
Fm_Lss	182.60	244.53	288.31	177.77	189.06	192.05	317.73	271.02
Fm_D1	348.65	412.44	558.89	308.25	346.74	384.53	631.46	487.64
Fm_D2	357.54	431.24	586.35	315.17	354.32	395.82	652.46	508.15
Fm_D3	360.63	434.54	594.54	319.61	360.65	394.96	655.82	510.46
Ft_L1	382.58	451.25	639.83	329.17	346.42	390.78	674.21	541.39
Ft_L2	276.13	339.89	431.42	247.56	274.51	281.44	443.64	390.72
Ft_L3	228.25	285.16	354.52	212.30	222.24	231.03	378.25	322.65
Ft_L4	192.46	247.29	302.10	182.30	176.76	187.35	318.79	280.19
Ft_Lss	177.07	230.31	272.19	171.57	152.14	160.34	292.68	257.03
Ft_D1	60.50	72.73	115.17	52.13	59.50	67.53	126.77	93.12
Ft_D2	63.36	75.95	113.22	52.42	64.38	68.63	125.07	94.87
Ft_D3	61.05	76.16	114.59	53.72	63.70	66.04	123.34	94.03
Fo_L1	51.74	60.03	94.81	42.12	48.89	54.23	103.16	74.60
Fo_L2	48.76	57.34	88.13	40.12	46.57	50.87	95.38	70.59
Fo_L3	47.07	55.66	85.17	39.05	45.31	49.31	92.83	68.56
Fo_L4	45.26	54.07	81.86	37.87	43.86	47.52	89.25	66.29
Fo_Lss	44.36	53.40	79.50	37.39	42.96	46.69	87.61	64.99
Fo_D1	50.82	59.10	92.72	41.62	48.44	53.79	102.19	73.41
Fo_D2	51.02	59.49	93.46	41.76	48.62	54.01	102.74	73.89
Fo_D3	51.10	59.55	93.71	41.85	48.73	53.99	102.82	73.93
Fv_L1	334.25	398.89	543.24	290.71	316.89	351.44	568.24	466.87
Fv_L2	222.49	286.83	342.01	208.70	226.90	227.89	349.07	323.16
Fv_L3	183.54	239.13	285.02	176.19	192.70	191.08	302.57	271.63
Fv_L4	150.92	203.55	235.52	150.33	160.65	157.41	250.74	227.00
Fv_Lss	138.24	191.13	208.81	140.38	146.10	145.36	230.12	206.03
Fv_D1	297.84	353.34	466.17	266.63	298.30	330.74	529.26	414.23
Fv_D2	306.52	371.75	492.88	273.41	305.70	341.81	549.72	434.26
Fv_D3	309.52	374.99	500.83	277.76	311.93	340.96	553.00	436.53
Fq_L1	3.40	7.68	-1.77	3.65	19.36	14.89	-2.81	0.08
Fq_L2	-4.88	4.28	-1.29	1.26	-1.04	-2.67	0.81	3.02
Fq_L3	2.36	9.63	15.67	2.95	15.77	9.36	17.14	17.53
Fq_L4	3.72	10.33	15.28	5.91	27.75	17.58	21.20	13.10
Fq_Lss	5.53	14.22	16.12	6.20	36.92	31.71	25.05	13.99
Fq_D1	288.15	339.71	443.72	256.12	287.24	317.00	504.69	394.52
Fq_D2	294.19	355.30	473.12	262.76	289.94	327.19	527.39	413.28
Fq_D3	299.57	358.38	479.96	265.89	296.96	328.92	532.48	416.43
QY_max	0.88	0.88	0.87	0.89	0.88	0.88	0.87	0.88
Fv/Fm_L1	0.87	0.87	0.85	0.87	0.87	0.87	0.85	0.86
Fv/Fm_L2	0.82	0.83	0.79	0.83	0.83	0.82	0.79	0.82
Fv/Fm_L3	0.79	0.81	0.77	0.81	0.81	0.79	0.76	0.80
Fv/Fm_L4	0.76	0.79	0.74	0.79	0.78	0.76	0.74	0.77
Fv/Fm_Lss	0.75	0.78	0.72	0.78	0.77	0.75	0.72	0.76
Fv/Fm_D1	0.85	0.86	0.83	0.86	0.86	0.86	0.84	0.85
Fv/Fm_D2	0.85	0.86	0.84	0.86	0.86	0.86	0.84	0.86
Fv/Fm_D3	0.85	0.86	0.84	0.87	0.86	0.86	0.84	0.86
QY_L1	-0.01	0.01	-0.01	-0.01	0.04	0.03	-0.01	-0.01
QY_L2	-0.05	-0.00	-0.02	-0.03	-0.02	-0.03	-0.01	-0.01
QY_L3	-0.02	0.01	0.03	-0.03	0.04	0.02	0.03	0.03
QY_L4	-0.02	0.01	0.03	-0.02	0.12	0.06	0.04	0.02
QY_Lss	-0.03	0.03	0.03	-0.02	0.17	0.14	0.06	0.02
QY_D1	0.82	0.82	0.79	0.83	0.83	0.82	0.80	0.81
QY_D2	0.81	0.82	0.81	0.83	0.82	0.82	0.81	0.81
QY_D3	0.83	0.82	0.81	0.83	0.82	0.83	0.81	0.82
NPQ_L1	0.16	0.14	0.17	0.17	0.17	0.15	0.17	0.15
NPQ_L2	0.66	0.52	0.75	0.59	0.58	0.68	0.78	0.59
NPQ_L3	0.98	0.78	1.05	0.86	0.82	0.96	1.01	0.84
NPQ_L4	1.37	1.06	1.41	1.14	1.11	1.31	1.35	1.14
NPQ_Lss	1.60	1.19	1.73	1.31	1.32	1.47	1.51	1.33
NPQ_D1	0.34	0.27	0.39	0.28	0.24	0.21	0.26	0.28
NPQ_D2	0.32	0.21	0.34	0.25	0.21	0.17	0.22	0.23
NPQ_D3	0.30	0.20	0.30	0.23	0.19	0.18	0.21	0.22
qN_L1	0.12	0.11	0.15	0.13	0.14	0.13	0.15	0.13
qN_L2	0.42	0.37	0.47	0.38	0.39	0.44	0.48	0.39
qN_L3	0.53	0.47	0.56	0.48	0.48	0.53	0.55	0.49
qN_L4	0.61	0.56	0.64	0.55	0.57	0.61	0.63	0.58
qN_Lss	0.65	0.58	0.68	0.59	0.61	0.65	0.66	0.62
qN_D1	0.23	0.22	0.28	0.20	0.19	0.18	0.22	0.23
qN_D2	0.21	0.18	0.24	0.18	0.18	0.15	0.18	0.19
qN_D3	0.20	0.17	0.23	0.17	0.16	0.15	0.18	0.19
qP_L1	-0.01	0.01	-0.02	-0.01	0.04	0.03	-0.02	-0.01
qP_L2	-0.06	-0.01	-0.02	-0.05	-0.03	-0.04	-0.02	-0.01
qP_L3	-0.03	0.01	0.03	-0.04	0.05	0.01	0.03	0.04
qP_L4	-0.06	0.00	0.03	-0.05	0.14	0.07	0.05	0.02
qP_Lss	-0.08	0.03	0.00	-0.05	0.21	0.17	0.08	0.02
qP_D1	0.97	0.96	0.96	0.96	0.97	0.96	0.96	0.95
qP_D2	0.96	0.96	0.97	0.96	0.95	0.96	0.96	0.95
qP_D3	0.97	0.96	0.96	0.96	0.95	0.97	0.96	0.95
qL_L1	-0.35	-0.10	-0.24	-0.40	0.06	0.04	-0.25	-0.26
qL_L2	-0.77	-0.28	-0.29	-0.80	-0.49	-0.48	-0.27	-0.28
qL_L3	-0.53	-0.17	-0.06	-0.74	-0.06	-0.20	-0.07	-0.07
qL_L4	-0.77	-0.33	-0.11	-0.75	0.29	-0.02	0.01	-0.21
qL_Lss	-1.05	-0.19	-0.44	-0.99	0.39	0.28	0.06	-0.22
qL_D1	1.16	1.19	1.17	1.23	1.19	1.22	1.18	1.22
qL_D2	1.18	1.25	1.15	1.24	1.28	1.24	1.17	1.25
qL_D3	1.17	1.26	1.16	1.28	1.27	1.20	1.16	1.24
Rfd_L1	0.26	0.22	0.21	0.30	0.30	0.27	0.24	0.21
Rfd_L2	0.76	0.64	0.81	0.77	0.68	0.79	0.89	0.68
Rfd_L3	1.19	0.96	1.29	1.07	1.10	1.21	1.25	1.06
Rfd_L4	1.76	1.30	1.69	1.54	1.71	1.79	1.70	1.40
Rfd_Lss	2.04	1.53	2.10	1.71	2.25	2.37	2.01	1.62
