FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	2057	1160	933	1858	692	1116	917	961	620	2078
Fo	73.82	47.16	83.12	73.40	46.82	56.93	91.12	44.88	49.04	59.59
Fo_gauss	73.82	47.16	83.12	73.40	46.82	56.93	91.12	44.88	49.04	59.59
Fo_median	57.68	34.74	65.92	56.97	33.18	42.66	74.70	32.76	35.91	45.96
Fm	589.03	403.78	646.44	582.16	388.56	484.96	695.57	403.09	427.17	499.90
Fv	515.20	356.62	563.32	508.76	341.74	428.03	604.45	358.22	378.14	440.31
Fp	617.40	434.33	671.15	610.86	411.17	499.07	720.87	416.10	447.78	521.95
Fp-median	557.05	383.73	605.64	549.26	354.89	443.08	655.85	369.64	402.17	470.86
Fp-gauss	758.94	572.18	823.56	754.27	552.92	633.38	870.33	538.74	566.59	648.49
Fp-average	671.00	487.38	731.43	665.37	470.81	551.22	777.01	462.73	492.99	568.50
Fm_L1	522.25	349.67	563.52	503.63	332.47	425.11	612.33	351.05	380.91	439.80
Fm_L2	357.51	255.61	376.16	353.50	224.93	337.77	428.25	259.80	306.58	304.60
Fm_L3	304.67	226.37	323.47	305.01	196.45	281.15	358.62	220.12	262.19	256.58
Fm_L4	256.24	194.55	282.19	260.54	165.50	237.87	309.02	189.29	222.02	214.42
Fm_Lss	236.35	180.42	253.26	241.39	151.40	218.43	285.27	177.36	205.14	197.65
Fm_D1	475.76	318.60	484.21	447.25	313.53	369.89	554.76	326.20	347.14	410.14
Fm_D2	491.49	330.39	510.47	467.38	319.04	392.81	587.12	334.59	361.34	422.59
Fm_D3	492.23	336.07	513.50	470.90	325.22	395.32	597.01	340.20	366.08	427.34
Ft_L1	516.50	347.69	565.07	501.28	333.26	416.56	611.89	335.82	364.12	426.71
Ft_L2	356.18	248.58	385.50	347.79	224.54	329.07	423.83	256.68	296.78	297.79
Ft_L3	302.27	218.97	316.24	297.12	190.00	273.39	351.64	218.83	242.10	250.42
Ft_L4	251.76	191.05	266.62	251.71	169.04	229.37	298.61	178.50	196.62	201.11
Ft_Lss	226.55	174.98	246.20	227.76	148.16	206.37	271.72	161.54	173.36	176.44
Ft_D1	85.93	54.82	97.26	84.23	56.62	66.53	112.34	54.99	60.16	71.23
Ft_D2	88.50	55.43	96.35	87.73	54.40	69.88	112.64	59.37	61.48	71.77
Ft_D3	86.47	54.45	96.66	87.45	57.35	69.84	110.40	58.71	60.94	73.14
Fo_L1	72.62	46.24	81.52	71.91	45.79	55.96	89.44	44.09	48.33	58.58
Fo_L2	68.01	43.88	75.74	67.57	42.67	53.92	83.75	42.03	46.73	55.08
Fo_L3	65.69	42.86	73.18	65.44	41.39	52.11	80.63	40.69	45.46	53.16
Fo_L4	62.92	41.38	70.73	62.96	39.54	50.27	77.67	39.38	43.95	50.88
Fo_Lss	61.46	40.69	68.51	61.59	38.60	49.25	75.92	38.77	43.22	49.82
