FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11
Size [pixels]	1667	1143	1834	791	1420	1821	2922	954	1974	1307	825
Fo	59.82	48.30	54.04	75.28	79.07	84.59	83.52	38.27	57.47	35.69	91.84
Fo_gauss	59.82	48.30	54.04	75.28	79.07	84.59	83.52	38.27	57.47	35.69	91.84
Fo_median	46.07	35.66	40.65	58.52	63.81	69.11	68.31	26.47	42.25	25.46	73.59
Fm	485.96	400.15	464.30	561.41	637.58	640.61	659.72	334.07	472.12	326.89	664.38
Fv	426.14	351.85	410.27	486.13	558.51	556.01	576.20	295.81	414.65	291.20	572.55
Fp	515.15	432.25	483.67	587.49	666.94	668.75	690.14	360.81	498.64	348.82	690.37
Fp-median	464.10	379.56	431.84	522.65	604.20	606.44	626.07	313.05	437.33	305.43	619.93
Fp-gauss	640.80	564.23	605.84	736.62	812.45	809.55	833.77	486.10	632.24	469.02	845.05
Fp-average	562.34	482.59	530.56	646.94	722.17	721.65	743.53	408.39	552.23	393.42	752.64
Fm_L1	431.40	353.37	415.75	452.73	547.17	560.54	571.07	297.21	421.44	288.34	567.73
Fm_L2	298.18	250.34	297.79	289.42	387.37	377.83	397.16	208.25	297.62	202.42	375.37
Fm_L3	236.53	204.36	238.27	252.31	321.42	306.68	316.93	171.64	225.39	165.41	302.48
Fm_L4	188.30	163.76	193.77	215.74	255.57	253.94	258.64	142.64	183.70	140.87	255.20
Fm_Lss	168.52	146.47	167.27	192.38	222.81	226.20	228.28	127.61	164.44	123.76	224.47
Fm_D1	407.39	328.90	383.46	424.02	505.62	498.86	516.71	270.15	380.44	268.61	503.85
Fm_D2	419.49	335.96	392.63	460.93	522.17	529.02	537.10	277.46	394.65	275.60	538.79
Fm_D3	423.71	337.63	394.45	473.20	520.51	535.17	542.15	277.63	395.34	277.51	546.76
Ft_L1	414.10	343.09	405.08	469.49	552.59	558.34	578.83	291.63	417.13	284.14	573.97
Ft_L2	296.06	252.07	301.90	290.17	382.42	377.55	395.67	210.81	297.10	210.21	373.70
Ft_L3	228.19	201.69	233.27	247.74	307.89	298.47	307.86	173.39	227.75	168.50	296.83
Ft_L4	176.28	162.22	176.68	203.96	249.65	244.33	251.87	140.18	181.78	134.67	245.84
Ft_Lss	155.81	142.64	143.48	186.32	222.48	220.42	224.17	123.10	156.77	114.53	219.05
Ft_D1	75.77	59.69	66.30	94.38	100.77	103.23	105.33	46.27	70.22	48.62	115.09
Ft_D2	75.64	61.11	66.69	92.46	101.13	101.74	101.07	46.12	69.54	46.76	109.74
Ft_D3	74.86	57.58	66.11	92.77	98.71	99.09	98.98	47.39	69.56	44.45	110.66
Fo_L1	58.86	47.52	53.27	72.83	77.42	82.96	81.84	37.68	56.61	35.11	89.68
Fo_L2	55.20	44.79	50.51	66.46	72.97	77.09	76.76	35.48	53.37	33.15	82.65
Fo_L3	52.47	42.87	48.30	64.11	70.11	73.44	73.00	34.10	50.29	31.79	78.32
Fo_L4	49.44	40.52	45.99	61.35	66.18	69.69	69.12	32.52	47.64	30.61	74.50
Fo_Lss	47.85	39.24	44.15	59.13	63.59	67.22	66.54	31.50	46.10	29.57	71.53
Fo_D1	58.36	46.99	52.58	72.04	76.49	81.33	80.35	37.15	55.70	34.74	87.72
Fo_D2	58.63	47.16	52.77	73.02	76.87	82.14	80.87	37.27	56.03	34.89	88.82
Fo_D3	58.70	47.18	52.83	73.38	76.85	82.32	81.01	37.30	56.03	34.92	89.03
Fv_L1	372.53	305.85	362.49	379.90	469.75	477.58	489.23	259.53	364.83	253.23	478.04
Fv_L2	242.97	205.55	247.28	222.96	314.40	300.74	320.40	172.77	244.26	169.27	292.72
Fv_L3	184.06	161.49	189.97	188.21	251.31	233.24	243.94	137.54	175.10	133.62	224.16
Fv_L4	138.86	123.24	147.78	154.39	189.38	184.25	189.53	110.12	136.06	110.26	180.70
Fv_Lss	120.67	107.23	123.13	133.26	159.22	158.97	161.74	96.12	118.34	94.19	152.94
Fv_D1	349.02	281.91	330.87	351.98	429.13	417.53	436.36	233.01	324.74	233.87	416.13
Fv_D2	360.86	288.80	339.86	387.90	445.30	446.88	456.22	240.19	338.61	240.70	449.97
Fv_D3	365.01	290.45	341.62	399.82	443.66	452.85	461.13	240.33	339.31	242.59	457.73
Fq_L1	17.30	10.28	10.68	-16.76	-5.42	2.20	-7.75	5.57	4.31	4.20	-6.25
