FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	1156	1113	998	912	1399	2055	2500	1921	2671	1684	1270	2073	977
Fo	44.15	49.16	43.85	65.14	61.09	67.24	84.57	41.73	93.87	61.44	31.29	43.86	94.89
Fo_gauss	44.15	49.16	43.85	65.14	61.09	67.24	84.57	41.73	93.87	61.44	31.29	43.86	94.89
Fo_median	31.96	36.84	31.67	49.10	45.90	53.18	69.21	29.83	77.80	46.61	21.23	31.50	77.88
Fm	387.55	424.29	383.36	508.97	484.85	551.84	683.63	367.58	754.15	513.22	287.24	386.62	729.54
Fv	343.40	375.13	339.50	443.83	423.76	484.60	599.06	325.84	660.28	451.78	255.95	342.75	634.65
Fp	406.97	450.91	411.13	533.88	504.31	579.36	707.34	395.49	777.53	541.44	307.21	406.59	754.46
Fp-median	361.71	402.54	359.81	468.40	444.25	528.72	644.27	347.90	712.60	475.67	262.55	354.08	687.10
Fp-gauss	522.13	573.65	540.93	676.42	630.34	702.03	854.56	518.79	926.49	686.65	426.19	533.46	898.71
Fp-average	449.28	495.86	462.00	589.64	553.15	623.04	761.68	441.24	833.04	598.16	351.24	455.21	808.60
Fm_L1	338.35	377.79	333.98	421.59	433.01	490.15	578.95	327.80	654.08	431.47	248.86	341.05	628.26
Fm_L2	244.17	245.85	244.32	281.35	292.36	339.85	392.03	227.54	447.44	292.01	171.38	218.94	414.07
Fm_L3	203.34	206.97	207.88	243.12	240.58	275.02	334.59	191.38	371.70	250.95	145.03	182.06	348.89
Fm_L4	168.40	176.22	174.16	210.17	202.32	230.78	286.80	161.46	310.20	211.91	121.86	155.08	295.40
Fm_Lss	151.69	163.08	157.35	189.80	179.97	208.62	261.12	146.26	276.52	189.69	110.75	142.15	264.93
Fm_D1	311.25	346.19	301.06	388.49	401.49	453.29	499.85	298.19	581.89	399.70	221.24	307.12	569.77
Fm_D2	320.68	360.12	315.88	409.31	417.85	473.50	528.86	307.73	606.79	415.39	233.10	318.12	598.71
Fm_D3	324.84	363.19	322.18	416.46	422.25	478.23	536.33	311.06	612.22	420.52	232.04	321.60	605.90
Ft_L1	325.72	367.59	333.62	432.18	420.15	475.91	582.85	318.28	653.56	441.11	240.89	326.95	626.45
Ft_L2	240.64	251.36	241.96	276.65	287.29	338.56	389.87	234.68	445.55	282.85	180.43	226.15	409.21
Ft_L3	192.82	201.49	205.13	236.74	234.38	268.70	321.14	192.58	357.43	238.62	139.38	180.98	336.55
Ft_L4	149.22	165.33	166.26	201.58	187.88	209.87	269.53	154.82	295.57	203.02	117.47	145.99	279.27
Ft_Lss	126.34	146.56	149.72	183.84	160.11	185.02	246.67	137.05	264.24	183.52	98.41	129.24	252.79
Ft_D1	51.56	60.89	54.59	80.71	77.18	82.70	101.55	50.90	117.47	79.45	36.50	53.34	118.78
Ft_D2	54.69	60.37	56.75	79.08	76.96	86.33	103.83	54.39	120.34	77.11	37.74	54.47	116.70
Ft_D3	55.07	59.77	55.52	74.70	72.18	83.18	103.00	51.82	116.08	76.89	37.23	53.71	114.96
Fo_L1	43.33	48.42	43.06	63.39	60.17	66.18	82.66	41.11	92.05	60.00	30.71	43.16	92.91
Fo_L2	41.12	45.03	40.94	58.65	56.12	62.21	77.18	38.72	86.19	55.99	28.84	40.01	85.98
Fo_L3	39.62	43.39	39.59	56.65	53.68	59.50	74.50	37.34	82.80	54.12	27.76	38.37	82.63
Fo_L4	37.88	41.71	37.99	54.47	51.32	56.96	71.65	35.86	79.08	51.84	26.60	36.81	79.03
Fo_Lss	36.83	40.81	37.00	52.88	49.61	55.36	69.77	34.89	76.44	50.23	25.83	35.90	76.61
Fo_D1	42.83	47.75	42.40	62.48	59.44	65.38	80.60	40.53	90.09	59.16	30.07	42.42	91.44
Fo_D2	42.99	48.05	42.73	63.07	59.81	65.81	81.32	40.76	90.69	59.52	30.35	42.64	92.17
Fo_D3	43.09	48.11	42.85	63.26	59.92	65.92	81.47	40.81	90.76	59.63	30.30	42.71	92.34
Fv_L1	295.01	329.37	290.92	358.21	372.84	423.97	496.30	286.68	562.03	371.47	218.15	297.89	535.35
Fv_L2	203.05	200.83	203.38	222.71	236.23	277.64	314.85	188.83	361.24	236.02	142.55	178.93	328.09
Fv_L3	163.71	163.58	168.29	186.47	186.89	215.52	260.09	154.04	288.91	196.83	117.27	143.69	266.26
Fv_L4	130.52	134.51	136.16	155.70	151.00	173.82	215.15	125.61	231.12	160.08	95.26	118.27	216.37
Fv_Lss	114.86	122.28	120.35	136.92	130.36	153.26	191.35	111.37	200.07	139.46	84.92	106.25	188.31
Fv_D1	268.42	298.43	258.65	326.01	342.05	387.91	419.24	257.66	491.79	340.54	191.17	264.70	478.33
Fv_D2	277.68	312.07	273.16	346.24	358.04	407.69	447.54	266.97	516.11	355.87	202.75	275.48	506.54
Fv_D3	281.74	315.08	279.33	353.20	362.33	412.31	454.86	270.25	521.46	360.89	201.74	278.89	513.56
Fq_L1	12.63	10.20	0.36	-10.59	12.86	14.24	-3.90	9.51	0.52	-9.64	7.97	14.10	1.80
Fq_L2	3.53	-5.51	2.36	4.70	5.07	1.29	2.16	-7.13	1.89	9.16	-9.04	-7.22	4.86
Fq_L3	10.52	5.48	2.75	6.38	6.20	6.32	13.45	-1.20	14.28	12.33	5.65	1.08	12.34
Fq_L4	19.18	10.89	7.90	8.60	14.44	20.90	17.27	6.65	14.63	8.89	4.39	9.09	16.13
Fq_Lss	25.35	16.52	7.63	5.96	19.86	23.60	14.45	9.21	12.27	6.17	12.35	12.91	12.14
Fq_D1	259.69	285.30	246.47	307.78	324.31	370.59	398.30	247.29	464.41	320.26	184.74	253.79	450.99
Fq_D2	265.99	299.74	259.13	330.24	340.89	387.17	425.03	253.34	486.45	338.28	195.36	263.65	482.01
Fq_D3	269.77	303.42	266.66	341.77	350.07	395.05	433.33	259.24	496.13	343.64	194.80	267.89	490.94
QY_max	0.89	0.88	0.88	0.87	0.87	0.88	0.88	0.89	0.88	0.88	0.89	0.89	0.87
Fv/Fm_L1	0.87	0.87	0.87	0.85	0.86	0.87	0.86	0.87	0.86	0.86	0.87	0.87	0.85
