FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14
Size [pixels]	3769	1952	2407	5651	3044	1511	1377	494	1612	599	1400	646	1012	1660
Fo	87.75	112.76	91.42	91.93	68.15	61.39	65.21	136.94	42.92	82.04	54.68	129.03	71.06	64.50
Fo_gauss	87.75	112.76	91.42	91.93	68.15	61.39	65.21	136.94	42.92	82.04	54.68	129.03	71.06	64.50
Fo_median	73.53	98.26	77.50	78.22	55.30	48.56	52.33	121.97	32.21	68.04	42.49	113.95	58.10	51.49
Fm	704.20	890.81	734.67	753.68	583.95	543.72	554.62	1045.16	389.05	664.54	475.46	987.46	593.23	551.65
Fv	616.45	778.05	643.25	661.75	515.80	482.33	489.41	908.22	346.13	582.50	420.78	858.43	522.17	487.15
Fp	729.96	917.97	762.44	777.72	612.97	583.06	586.48	1051.90	411.69	696.98	510.58	997.70	627.60	584.30
Fp-median	677.27	858.32	708.16	722.79	560.07	532.64	533.73	994.97	379.37	644.33	454.74	940.10	576.93	534.74
Fp-gauss	865.51	1074.24	904.94	923.41	757.74	718.26	729.07	1205.15	543.35	834.02	657.85	1147.29	758.98	718.91
Fp-average	778.58	972.38	812.54	828.88	663.52	630.91	637.68	1109.51	462.32	742.80	563.57	1049.92	671.98	632.00
Fm_L1	635.60	810.18	665.19	682.42	524.25	499.05	494.74	959.81	354.24	605.88	427.75	891.48	543.29	498.61
Fm_L2	477.04	574.62	488.38	518.39	382.14	392.24	381.49	684.62	279.31	487.90	310.71	693.39	428.10	415.85
Fm_L3	387.78	496.83	399.73	432.09	316.03	325.41	322.46	561.29	226.30	401.09	266.01	567.93	357.52	336.81
Fm_L4	332.35	441.47	342.90	371.30	271.62	281.98	281.51	484.93	195.56	345.97	226.43	488.32	308.43	288.22
Fm_Lss	303.98	416.87	308.39	345.14	250.65	265.02	263.88	433.63	180.73	324.12	211.76	455.98	285.60	265.96
Fm_D1	549.62	692.55	592.06	577.02	457.34	427.12	420.45	853.68	311.98	535.21	366.82	782.88	473.15	435.72
Fm_D2	587.52	745.91	628.96	622.81	488.01	462.38	450.98	908.37	330.04	569.30	394.25	841.28	510.45	473.53
Fm_D3	598.38	762.15	634.96	636.64	493.01	470.71	457.22	913.88	332.89	576.19	404.29	851.16	520.39	484.03
Ft_L1	615.74	777.28	654.18	658.50	514.85	486.61	489.01	925.31	335.54	586.89	414.26	851.33	522.15	484.80
Ft_L2	464.11	574.80	480.40	508.45	377.08	380.21	371.53	679.42	270.50	474.19	310.50	679.85	415.09	396.37
Ft_L3	366.44	475.05	379.47	403.31	300.51	308.89	303.96	537.13	217.65	378.46	249.30	529.76	335.37	320.86
Ft_L4	305.18	406.34	322.55	335.44	253.84	268.33	262.04	447.48	188.94	319.52	207.63	440.29	283.26	266.84
Ft_Lss	274.57	376.29	287.57	307.83	229.94	247.09	240.91	404.91	172.19	288.80	192.33	403.41	258.91	242.24
Ft_D1	98.99	132.02	111.77	107.41	79.83	72.77	73.60	166.54	51.41	94.58	62.03	150.58	86.56	74.60
Ft_D2	106.22	138.77	113.69	112.67	81.25	76.56	79.19	165.17	51.51	99.65	66.43	158.71	89.00	78.54
Ft_D3	105.78	138.17	112.32	113.47	82.61	79.54	82.93	164.03	52.14	99.84	64.15	160.50	90.94	77.87
Fo_L1	86.55	111.32	90.23	90.75	67.22	60.73	64.26	135.36	42.42	81.05	53.95	127.21	70.25	63.68
Fo_L2	82.63	105.23	85.85	86.95	63.94	58.64	61.69	127.87	40.96	78.40	51.28	122.12	67.78	62.00
Fo_L3	79.31	102.21	82.51	84.03	61.65	56.79	59.85	122.79	39.47	75.65	49.73	117.46	65.63	59.77
Fo_L4	76.60	99.52	79.64	81.34	59.61	55.20	58.13	118.61	38.26	73.30	47.97	113.53	63.65	57.92
Fo_Lss	74.86	98.18	77.58	79.94	58.43	54.48	57.31	115.20	37.60	72.29	47.22	111.64	62.56	56.86
Fo_D1	84.51	108.69	88.68	88.53	65.90	59.44	62.73	132.93	41.67	79.58	52.71	124.70	68.86	62.46
Fo_D2	85.39	109.97	89.50	89.57	66.53	60.11	63.41	134.20	42.03	80.30	53.26	126.12	69.64	63.22
Fo_D3	85.62	110.30	89.62	89.87	66.62	60.26	63.54	134.35	42.07	80.46	53.49	126.34	69.83	63.42
Fv_L1	549.05	698.86	574.96	591.67	457.03	438.33	430.48	824.45	311.82	524.83	373.81	764.27	473.05	434.93
Fv_L2	394.41	469.40	402.52	431.44	318.19	333.60	319.81	556.75	238.35	409.50	259.43	571.27	360.33	353.85
Fv_L3	308.47	394.62	317.22	348.06	254.38	268.62	262.61	438.51	186.83	325.45	216.29	450.47	291.89	277.04
Fv_L4	255.76	341.95	263.26	289.96	212.01	226.78	223.38	366.31	157.30	272.66	178.45	374.79	244.78	230.30
Fv_Lss	229.12	318.69	230.82	265.19	192.21	210.54	206.58	318.43	143.14	251.83	164.54	344.34	223.04	209.09
Fv_D1	465.11	583.86	503.38	488.49	391.44	367.69	357.72	720.75	270.31	455.64	314.11	658.18	404.29	373.26
Fv_D2	502.13	635.94	539.47	533.24	421.48	402.27	387.57	774.17	288.01	489.00	340.99	715.16	440.81	410.31
Fv_D3	512.76	651.85	545.34	546.77	426.39	410.44	393.68	779.53	290.82	495.73	350.80	724.82	450.56	420.61
Fq_L1	19.86	32.91	11.01	23.92	9.40	12.44	5.73	34.50	18.70	18.99	13.49	40.15	21.14	13.81
Fq_L2	12.94	-0.18	7.98	9.95	5.05	12.03	9.96	5.20	8.81	13.71	0.21	13.54	13.01	19.47
Fq_L3	21.35	21.78	20.26	28.78	15.52	16.52	18.50	24.17	8.65	22.63	16.71	38.18	22.15	15.95
Fq_L4	27.17	35.13	20.35	35.86	17.79	13.64	19.47	37.45	6.62	26.45	18.79	48.03	25.17	21.38
Fq_Lss	29.41	40.58	20.82	37.31	20.71	17.93	22.97	28.71	8.55	35.32	19.43	52.56	26.69	23.72
Fq_D1	450.63	560.53	480.29	469.61	377.51	354.36	346.85	687.14	260.57	440.63	304.79	632.30	386.59	361.12
Fq_D2	481.30	607.14	515.28	510.14	406.76	385.82	371.79	743.21	278.53	469.65	327.82	682.57	421.45	394.99
Fq_D3	492.60	623.98	522.65	523.16	410.40	391.17	374.29	749.85	280.75	476.34	340.14	690.66	429.44	406.16
QY_max	0.88	0.87	0.88	0.88	0.88	0.89	0.88	0.87	0.89	0.88	0.88	0.87	0.88	0.88
Fv/Fm_L1	0.86	0.86	0.86	0.87	0.87	0.88	0.87	0.86	0.88	0.87	0.87	0.86	0.87	0.87
Fv/Fm_L2	0.83	0.82	0.82	0.83	0.83	0.85	0.84	0.81	0.85	0.84	0.83	0.82	0.84	0.85
Fv/Fm_L3	0.79	0.79	0.79	0.80	0.80	0.82	0.81	0.78	0.82	0.81	0.81	0.79	0.82	0.82
Fv/Fm_L4	0.77	0.77	0.77	0.78	0.78	0.80	0.79	0.75	0.80	0.79	0.78	0.77	0.79	0.80
Fv/Fm_Lss	0.75	0.76	0.75	0.77	0.76	0.79	0.78	0.73	0.79	0.78	0.77	0.75	0.78	0.78
Fv/Fm_D1	0.84	0.84	0.85	0.85	0.86	0.86	0.85	0.84	0.86	0.85	0.85	0.84	0.85	0.86
Fv/Fm_D2	0.85	0.85	0.86	0.86	0.86	0.87	0.86	0.85	0.87	0.86	0.86	0.85	0.86	0.87
Fv/Fm_D3	0.85	0.85	0.86	0.86	0.86	0.87	0.86	0.85	0.87	0.86	0.87	0.85	0.87	0.87
QY_L1	0.03	0.04	0.01	0.03	0.01	0.02	-0.00	0.03	0.03	0.03	0.01	0.04	0.03	0.02
QY_L2	0.02	-0.01	0.01	0.01	-0.00	0.02	0.01	0.00	0.00	0.02	-0.03	0.01	0.02	0.04
QY_L3	0.04	0.04	0.04	0.06	0.03	0.03	0.04	0.04	0.00	0.04	0.03	0.06	0.05	0.03
QY_L4	0.07	0.07	0.04	0.08	0.04	0.02	0.05	0.07	-0.01	0.06	0.04	0.09	0.07	0.05
QY_Lss	0.08	0.09	0.05	0.09	0.05	0.04	0.06	0.06	0.00	0.09	0.05	0.11	0.07	0.06
QY_D1	0.82	0.81	0.81	0.81	0.82	0.83	0.82	0.80	0.83	0.82	0.83	0.81	0.82	0.83
QY_D2	0.82	0.81	0.82	0.82	0.83	0.83	0.82	0.82	0.84	0.82	0.83	0.81	0.82	0.83
QY_D3	0.82	0.82	0.82	0.82	0.83	0.83	0.82	0.82	0.84	0.83	0.84	0.81	0.82	0.84
NPQ_L1	0.12	0.11	0.11	0.11	0.13	0.10	0.13	0.09	0.12	0.10	0.14	0.11	0.10	0.12
NPQ_L2	0.49	0.56	0.52	0.47	0.55	0.41	0.48	0.54	0.44	0.38	0.58	0.43	0.40	0.34
NPQ_L3	0.84	0.81	0.86	0.77	0.89	0.70	0.75	0.87	0.79	0.68	0.86	0.75	0.68	0.67
NPQ_L4	1.16	1.04	1.17	1.06	1.21	0.97	1.02	1.17	1.08	0.96	1.21	1.04	0.96	0.96
NPQ_Lss	1.39	1.17	1.42	1.23	1.40	1.10	1.16	1.43	1.27	1.08	1.35	1.19	1.13	1.13
