FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	2288	945	2155	1748	1872	1655	890	1560	572	1191	660	1903	1442
Fo	94.25	100.25	101.76	120.85	84.98	61.69	31.66	94.25	120.52	71.17	124.16	51.27	61.81
Fo_gauss	94.25	100.25	101.76	120.85	84.98	61.69	31.66	94.25	120.52	71.17	124.16	51.27	61.81
Fo_median	80.86	86.00	87.58	105.98	71.48	49.62	21.68	80.55	105.35	57.67	109.17	39.11	48.92
Fm	766.62	819.07	812.39	923.39	686.46	525.13	307.96	765.07	910.09	601.48	931.90	457.02	549.01
Fv	672.37	718.82	710.63	802.54	601.48	463.44	276.30	670.82	789.57	530.31	807.74	405.75	487.20
Fp	789.70	847.03	837.39	962.94	720.90	544.00	337.94	785.22	917.43	619.04	954.59	496.08	580.30
Fp-median	734.61	786.95	779.61	898.88	669.15	498.30	297.08	731.65	859.85	581.06	895.03	446.18	529.02
Fp-gauss	937.00	1002.39	991.79	1124.24	859.70	668.12	446.44	931.04	1059.73	756.21	1112.84	631.03	715.96
Fp-average	840.82	902.57	890.82	1017.98	769.32	588.11	374.59	834.99	966.12	671.69	1013.01	542.91	626.43
Fm_L1	685.25	749.21	727.55	829.53	617.73	479.19	268.18	660.48	834.88	547.04	824.21	412.27	496.52
Fm_L2	512.14	530.44	474.97	534.48	434.29	334.78	201.15	436.90	650.08	403.73	542.56	321.54	388.73
Fm_L3	435.12	450.56	411.28	469.18	364.41	269.79	171.60	375.25	507.59	324.11	464.42	270.47	319.53
Fm_L4	381.23	395.92	353.85	404.24	309.20	230.64	150.18	314.80	427.34	274.14	401.55	233.16	274.23
Fm_Lss	357.15	369.20	329.53	373.61	285.17	208.57	142.10	287.06	385.04	253.55	360.36	216.41	257.46
Fm_D1	593.44	641.47	627.87	742.79	553.60	442.42	242.43	606.18	745.53	501.25	759.35	364.75	422.69
Fm_D2	634.27	686.86	674.01	779.27	585.59	461.29	257.16	638.43	796.99	521.25	803.47	383.40	458.35
Fm_D3	647.87	699.10	683.13	795.63	592.51	464.95	260.57	643.40	799.43	528.10	803.86	388.13	463.73
Ft_L1	669.78	722.29	705.04	819.53	603.70	455.24	263.84	655.62	795.84	523.25	810.83	402.58	482.21
Ft_L2	503.39	533.72	471.04	535.91	427.13	336.96	198.56	424.57	632.82	393.07	539.35	308.13	386.64
Ft_L3	408.43	426.47	384.74	443.94	353.32	269.63	158.95	349.37	475.59	316.01	440.73	251.73	306.25
Ft_L4	341.94	352.68	323.17	369.82	292.00	218.82	127.12	299.30	379.41	253.81	377.65	214.93	261.38
Ft_Lss	317.01	329.03	296.27	340.40	268.89	189.79	110.22	262.23	329.41	227.79	337.73	197.77	239.42
Ft_D1	112.44	120.91	116.80	141.91	101.32	75.48	38.83	113.81	140.43	88.04	150.45	61.56	75.97
Ft_D2	118.84	124.88	122.94	144.25	105.78	74.89	40.56	115.88	145.37	89.30	151.13	64.63	76.96
Ft_D3	118.39	121.03	120.62	145.35	103.48	73.17	39.70	116.46	144.87	86.06	149.55	62.38	76.24
Fo_L1	92.86	99.12	100.27	119.07	83.79	60.98	31.12	92.40	119.09	70.33	122.02	50.62	61.05
