Size [pixels]	Fo	Fo_gauss	Fo_median	Fm	Fv	Fp	Fp-median	Fp-gauss	Fp-average	Fm_L1	Fm_L2	Fm_L3	Fm_L4	Fm_Lss	Fm_D1	Fm_D2	Fm_D3	Ft_L1	Ft_L2	Ft_L3	Ft_L4	Ft_Lss	Ft_D1	Ft_D2	Ft_D3	Fo_L1	Fo_L2	Fo_L3	Fo_L4	Fo_Lss	Fo_D1	Fo_D2	Fo_D3	Fv_L1	Fv_L2	Fv_L3	Fv_L4	Fv_Lss	Fv_D1	Fv_D2	Fv_D3	Fq_L1	Fq_L2	Fq_L3	Fq_L4	Fq_Lss	Fq_D1	Fq_D2	Fq_D3	QY_max	Fv/Fm_L1	Fv/Fm_L2	Fv/Fm_L3	Fv/Fm_L4	Fv/Fm_Lss	Fv/Fm_D1	Fv/Fm_D2	Fv/Fm_D3	QY_L1	QY_L2	QY_L3	QY_L4	QY_Lss	QY_D1	QY_D2	QY_D3	NPQ_L1	NPQ_L2	NPQ_L3	NPQ_L4	NPQ_Lss	NPQ_D1	NPQ_D2	NPQ_D3	qN_L1	qN_L2	qN_L3	qN_L4	qN_Lss	qN_D1	qN_D2	qN_D3	qP_L1	qP_L2	qP_L3	qP_L4	qP_Lss	qP_D1	qP_D2	qP_D3	qL_L1	qL_L2	qL_L3	qL_L4	qL_Lss	qL_D1	qL_D2	qL_D3	Rfd_L1	Rfd_L2	Rfd_L3	Rfd_L4	Rfd_Lss	plant	inoculation
3747.0	123.63	123.63	108.62	947.9	824.28	987.8	924.89	1152.32	1045.56	868.81	581.59	490.75	429.62	402.95	776.01	817.36	831.08	846.48	586.85	471.09	385.95	359.42	145.65	147.73	147.78	122.16	114.01	109.92	106.45	104.65	120.07	121.04	121.34	746.65	467.58	380.82	323.17	298.3	655.94	696.32	709.73	22.33	-5.27	19.65	43.67	43.53	630.36	669.63	683.3	0.87	0.86	0.8	0.77	0.75	0.74	0.84	0.85	0.85	0.02	-0.02	0.03	0.09	0.1	0.81	0.82	0.82	0.1	0.64	0.95	1.24	1.4	0.24	0.17	0.16	0.09	0.44	0.54	0.61	0.64	0.2	0.15	0.14	0.02	-0.02	0.04	0.12	0.13	0.96	0.96	0.96	0.11	-0.22	0.06	0.32	0.32	1.16	1.17	1.17	0.18	0.71	1.14	1.63	1.84	AT5G45470	E-
2611.0	81.31	81.31	67.73	692.85	611.54	715.38	661.23	863.63	767.74	621.95	463.46	394.36	342.0	328.07	532.83	567.83	578.92	599.25	458.69	364.73	310.21	287.07	98.07	100.75	101.65	80.21	76.64	74.41	72.23	71.54	78.44	79.2	79.42	541.74	386.82	319.95	269.76	256.53	454.39	488.63	499.5	22.7	4.77	29.62	31.78	41.0	434.76	467.08	477.26	0.88	0.87	0.83	0.81	0.79	0.78	0.85	0.86	0.86	0.03	-0.0	0.06	0.08	0.11	0.81	0.82	0.82	0.12	0.51	0.78	1.06	1.15	0.31	0.23	0.21	0.11	0.36	0.48	0.56	0.58	0.25	0.2	0.18	0.03	-0.0	0.07	0.1	0.14	0.96	0.96	0.96	0.11	-0.15	0.22	0.25	0.37	1.2	1.22	1.23	0.21	0.59	1.01	1.39	1.59	AT5G45470	E-
657.0	67.1	67.1	53.93	580.66	513.57	615.76	562.54	758.27	664.56	515.46	409.84	342.86	289.99	274.85	461.84	484.39	494.96	512.96	398.38	322.76	267.52	247.66	82.11	85.98	86.28	66.08	63.81	61.8	59.76	59.03	65.06	65.51	65.73	449.38	346.03	281.06	230.23	215.82	396.78	418.88	429.23	2.51	11.46	20.1	22.47	27.19	379.73	398.42	408.67	0.88	0.87	0.84	0.82	0.79	0.78	0.86	0.86	0.87	-0.0	0.01	0.04	0.06	0.08	0.82	0.82	0.82	0.14	0.44	0.72	1.04	1.16	0.27	0.21	0.19	0.12	0.32	0.45	0.55	0.58	0.22	0.18	0.16	-0.01	0.01	0.05	0.07	0.09	0.96	0.95	0.95	-0.21	-0.13	0.06	0.03	0.18	1.22	1.26	1.26	0.22	0.58	0.97	1.41	1.61	AT5G45470	E-
1020.0	136.64	136.64	121.35	1032.43	895.79	1049.01	985.24	1206.33	1105.29	942.02	638.01	537.13	461.95	428.51	860.27	897.37	910.07	904.83	643.5	503.02	420.08	380.61	159.8	163.45	160.2	134.9	126.05	121.47	117.07	114.74	133.07	133.93	134.23	807.12	511.96	415.66	344.87	313.78	727.2	763.44	775.84	37.19	-5.49	34.11	41.86	47.9	700.47	733.93	749.86	0.87	0.86	0.8	0.77	0.75	0.73	0.84	0.85	0.85	0.03	-0.01	0.06	0.08	0.1	0.81	0.82	0.82	0.1	0.63	0.94	1.26	1.44	0.21	0.16	0.15	0.1	0.43	0.54	0.62	0.66	0.19	0.15	0.13	0.04	-0.02	0.07	0.11	0.14	0.96	0.96	0.97	0.21	-0.17	0.22	0.3	0.36	1.15	1.17	1.15	0.17	0.66	1.12	1.57	1.84	AT5G45470	E-
1508.0	93.34	93.34	78.64	752.75	659.41	773.05	717.6	917.9	824.45	675.19	519.52	426.18	364.93	338.8	606.73	633.97	646.14	656.75	506.87	393.63	329.78	297.42	109.5	117.88	113.76	92.02	88.24	84.97	82.08	80.69	90.54	91.16	91.41	583.17	431.28	341.21	282.85	258.11	516.19	542.82	554.74	18.43	12.65	32.55	35.15	41.38	497.23	516.09	532.38	0.88	0.86	0.83	0.8	0.77	0.76	0.85	0.86	0.86	0.02	0.02	0.07	0.08	0.11	0.82	0.81	0.82	0.12	0.47	0.79	1.1	1.26	0.25	0.2	0.17	0.11	0.35	0.49	0.58	0.61	0.21	0.17	0.15	0.02	0.02	0.08	0.1	0.14	0.96	0.95	0.96	0.08	-0.0	0.24	0.29	0.35	1.17	1.24	1.2	0.19	0.56	1.01	1.42	1.69	AT5G45470	E-
1034.0	106.74	106.74	92.24	854.99	748.25	873.91	816.46	1024.53	927.75	777.35	557.44	465.55	406.69	382.51	691.55	725.99	741.99	742.94	549.37	432.79	362.34	335.79	128.03	133.41	128.55	105.41	99.85	96.35	93.45	92.06	103.59	104.36	104.71	671.94	457.58	369.2	313.24	290.44	587.96	621.62	637.28	34.41	8.06	32.76	44.35	46.72	563.52	592.58	613.44	0.87	0.86	0.82	0.79	0.77	0.76	0.85	0.86	0.86	0.04	0.01	0.06	0.1	0.11	0.81	0.82	0.83	0.11	0.55	0.86	1.13	1.26	0.25	0.19	0.16	0.1	0.39	0.51	0.59	0.62	0.21	0.17	0.15	0.04	0.01	0.07	0.13	0.14	0.96	0.95	0.96	0.25	-0.05	0.22	0.37	0.41	1.19	1.22	1.19	0.19	0.61	1.06	1.48	1.67	AT5G45470	E-
813.0	65.24	65.24	52.83	542.81	477.57	579.13	526.64	716.44	625.46	483.23	343.32	288.99	239.26	215.71	441.01	459.54	464.94	470.36	326.64	269.82	222.58	194.9	81.81	79.83	76.14	64.25	60.73	58.67	56.15	54.63	63.37	63.81	63.93	418.99	282.59	230.32	183.11	161.08	377.64	395.73	401.01	12.87	16.67	19.17	16.68	20.82	359.19	379.71	388.8	0.88	0.87	0.82	0.79	0.76	0.74	0.85	0.86	0.86	0.02	0.03	0.05	0.04	0.06	0.81	0.82	0.83	0.14	0.62	0.92	1.34	1.61	0.25	0.2	0.19	0.11	0.41	0.52	0.62	0.67	0.21	0.16	0.15	0.02	0.03	0.05	0.04	0.07	0.95	0.96	0.97	-0.03	-0.06	-0.01	-0.13	-0.08	1.23	1.21	1.16	0.26	0.83	1.26	1.76	2.21	AT5G45470	E-
874.0	113.9	113.9	98.81	862.54	748.64	881.49	826.17	1028.74	933.1	756.95	510.86	432.04	359.81	323.12	703.44	737.54	741.98	747.21	497.88	410.4	338.76	298.01	139.6	135.59	136.14	111.81	104.17	100.33	95.75	92.82	110.51	111.36	111.45	645.14	406.69	331.71	264.06	230.3	592.93	626.18	630.52	9.74	12.97	21.64	21.05	25.11	563.83	601.95	605.83	0.87	0.85	0.79	0.77	0.73	0.71	0.84	0.85	0.85	0.01	0.02	0.04	0.05	0.06	0.8	0.82	0.82	0.15	0.7	1.02	1.43	1.71	0.23	0.18	0.17	0.14	0.46	0.56	0.65	0.7	0.21	0.16	0.16	0.01	0.02	0.05	0.06	0.09	0.95	0.96	0.96	-0.01	0.01	0.1	0.09	0.14	1.2	1.17	1.17	0.19	0.8	1.19	1.66	2.05	AT5G45470	E-
1475.0	83.43	83.43	69.89	681.74	598.31	707.91	656.89	840.31	754.97	624.61	452.88	367.31	312.37	289.95	575.06	595.12	605.78	595.42	438.12	350.39	286.84	259.96	101.42	102.93	97.7	82.51	78.41	75.25	72.49	71.17	81.53	81.94	82.15	542.11	374.47	292.06	239.87	218.78	493.53	513.18	523.63	29.19	14.76	16.93	25.53	29.99	473.64	492.19	508.07	0.88	0.87	0.83	0.79	0.77	0.75	0.86	0.86	0.86	0.04	0.02	0.04	0.07	0.09	0.82	0.83	0.84	0.1	0.52	0.88	1.22	1.4	0.19	0.15	0.13	0.09	0.38	0.52	0.6	0.64	0.17	0.14	0.12	0.05	0.03	0.04	0.08	0.11	0.96	0.96	0.97	0.28	0.05	0.06	0.16	0.24	1.2	1.21	1.16	0.2	0.64	1.07	1.55	1.83	AT5G45470	E-
1400.0	83.58	83.58	70.43	680.21	596.63	709.45	658.49	843.13	756.51	618.78	473.57	388.58	336.62	316.88	553.75	588.86	600.25	592.54	455.15	368.19	306.11	282.78	101.07	102.1	100.66	82.55	79.17	76.27	73.91	72.88	81.23	81.98	82.21	536.23	394.4	312.31	262.71	244.0	472.52	506.88	518.04	26.24	18.43	20.39	30.51	34.1	452.68	486.76	499.59	0.88	0.87	0.83	0.8	0.78	0.77	0.85	0.86	0.86	0.04	0.03	0.04	0.08	0.09	0.82	0.83	0.83	0.11	0.45	0.77	1.05	1.18	0.24	0.16	0.14	0.09	0.34	0.48	0.56	0.6	0.2	0.15	0.13	0.04	0.04	0.05	0.09	0.12	0.96	0.96	0.96	0.23	0.1	0.1	0.25	0.29	1.2	1.2	1.19	0.21	0.59	0.97	1.39	1.61	AT5G45470	E-
817.0	92.87	92.87	78.75	763.28	670.41	784.24	729.05	931.53	836.76	691.5	536.45	436.11	373.15	350.66	596.64	641.66	652.0	664.26	527.87	411.23	335.59	316.39	108.59	113.5	111.82	91.64	88.14	84.8	82.0	80.82	89.71	90.69	90.9	599.86	448.31	351.31	291.15	269.84	506.93	550.97	561.1	27.24	8.58	24.88	37.56	34.27	488.05	528.15	540.18	0.88	0.87	0.83	0.8	0.78	0.77	0.85	0.86	0.86	0.03	0.01	0.05	0.09	0.08	0.82	0.82	0.83	0.11	0.43	0.77	1.07	1.21	0.29	0.2	0.18	0.1	0.33	0.48	0.57	0.6	0.24	0.17	0.16	0.04	0.01	0.06	0.11	0.11	0.96	0.96	0.96	0.21	-0.06	0.16	0.33	0.24	1.17	1.2	1.19	0.19	0.51	0.95	1.4	1.57	AT5G45470	E-
461.0	63.19	63.19	50.49	529.58	466.39	572.43	522.59	706.52	619.68	487.09	388.2	318.6	274.11	252.58	442.38	466.13	470.22	472.27	374.61	300.66	258.44	232.5	77.94	78.14	74.81	62.53	60.45	58.29	56.52	55.5	61.66	62.15	62.24	424.56	327.75	260.31	217.58	197.08	380.72	403.98	407.98	14.82	13.59	17.94	15.67	20.08	364.44	388.0	395.41	0.88	0.87	0.84	0.81	0.79	0.78	0.86	0.87	0.87	0.02	0.02	0.04	0.03	0.05	0.82	0.83	0.84	0.1	0.38	0.69	0.97	1.16	0.21	0.15	0.14	0.08	0.29	0.44	0.54	0.58	0.18	0.13	0.12	0.02	0.02	0.04	0.04	0.06	0.96	0.96	0.97	0.03	-0.02	0.04	-0.09	0.01	1.22	1.23	1.18	0.23	0.56	0.98	1.31	1.58	AT5G45470	E-
573.0	75.7	75.7	61.95	598.57	522.87	629.8	576.6	773.45	683.1	529.23	387.16	319.9	267.57	246.38	501.31	519.34	520.41	528.58	373.31	303.18	258.48	231.04	92.8	93.12	91.63	74.47	70.58	67.8	65.07	63.54	73.83	74.26	74.27	454.75	316.58	252.11	202.5	182.84	427.48	445.08	446.14	0.64	13.85	16.72	9.09	15.34	408.51	426.22	428.78	0.87	0.86	0.82	0.79	0.75	0.74	0.85	0.86	0.86	-0.01	0.03	0.03	0.01	0.04	0.81	0.82	0.82	0.14	0.56	0.91	1.29	1.49	0.21	0.17	0.16	0.12	0.39	0.52	0.62	0.65	0.18	0.14	0.14	-0.01	0.03	0.04	0.0	0.04	0.96	0.96	0.96	-0.24	-0.0	-0.05	-0.3	-0.12	1.21	1.21	1.2	0.21	0.73	1.15	1.54	1.88	AT5G45470	E-
337.0	51.5	51.5	39.03	442.39	390.89	471.91	427.75	589.55	514.27	408.55	330.87	267.26	228.78	207.71	350.19	382.06	390.12	389.17	325.5	259.22	195.92	176.42	58.98	58.43	60.35	51.02	49.43	47.62	46.13	45.08	49.87	50.52	50.67	357.53	281.44	219.65	182.65	162.63	300.32	331.54	339.45	19.38	5.37	8.04	32.86	31.29	291.21	323.63	329.77	0.88	0.87	0.85	0.82	0.8	0.78	0.86	0.87	0.87	0.04	0.0	0.01	0.13	0.13	0.83	0.85	0.84	0.09	0.36	0.7	0.98	1.21	0.28	0.17	0.15	0.08	0.28	0.44	0.53	0.59	0.23	0.14	0.12	0.04	0.0	0.01	0.16	0.15	0.97	0.98	0.97	0.13	-0.23	-0.24	0.44	0.3	1.16	1.14	1.17	0.24	0.51	0.93	1.62	1.96	AT5G45470	E-
1977.0	62.04	62.04	49.77	543.26	481.23	571.25	527.0	716.41	626.0	484.04	353.26	294.35	254.9	242.25	425.39	446.24	450.9	469.5	348.39	275.52	238.73	217.37	73.53	75.52	74.36	61.14	58.24	56.23	54.46	53.81	60.02	60.45	60.56	422.89	295.02	238.12	200.44	188.43	365.37	385.79	390.34	14.54	4.87	18.83	16.18	24.88	351.86	370.71	376.54	0.88	0.87	0.83	0.81	0.78	0.77	0.86	0.86	0.86	0.02	-0.0	0.04	0.04	0.07	0.83	0.83	0.83	0.14	0.57	0.89	1.2	1.32	0.3	0.24	0.23	0.11	0.38	0.5	0.58	0.61	0.23	0.19	0.18	0.02	-0.0	0.05	0.04	0.07	0.96	0.96	0.97	-0.06	-0.28	-0.05	-0.15	-0.08	1.18	1.21	1.19	0.25	0.71	1.19	1.55	1.81	AT5G45470	E-
2255.0	122.27	122.27	107.5	942.74	820.47	975.03	915.1	1134.75	1031.23	867.35	636.79	525.75	469.02	444.22	719.41	792.22	809.58	846.96	645.49	511.52	433.16	404.51	145.48	150.53	149.7	120.88	114.95	110.61	107.77	106.4	117.43	119.28	119.68	746.47	521.84	415.14	361.24	337.82	601.98	672.95	689.9	20.39	-8.7	14.23	35.86	39.7	573.93	641.69	659.88	0.87	0.86	0.82	0.79	0.77	0.76	0.84	0.85	0.85	0.02	-0.02	0.02	0.07	0.08	0.8	0.81	0.81	0.09	0.49	0.81	1.03	1.15	0.32	0.2	0.17	0.09	0.37	0.5	0.56	0.59	0.27	0.18	0.16	0.02	-0.03	0.02	0.08	0.1	0.95	0.95	0.96	0.1	-0.23	0.01	0.24	0.29	1.18	1.2	1.2	0.16	0.53	0.93	1.29	1.46	AT5G45470	E+
1404.0	96.96	96.96	82.39	773.04	676.09	796.67	742.86	939.63	847.52	693.6	520.09	420.96	355.32	318.39	588.07	626.41	637.2	685.07	513.0	403.29	334.76	294.68	113.57	117.86	114.57	95.55	91.21	87.44	84.12	81.71	93.12	94.07	94.29	598.05	428.88	333.52	271.2	236.68	494.95	532.34	542.91	8.53	7.1	17.67	20.56	23.71	474.5	508.55	522.63	0.87	0.86	0.82	0.79	0.76	0.74	0.84	0.85	0.85	0.01	0.01	0.03	0.04	0.06	0.81	0.81	0.82	0.12	0.5	0.85	1.21	1.48	0.33	0.25	0.23	0.11	0.37	0.51	0.6	0.65	0.27	0.21	0.2	0.01	0.01	0.04	0.05	0.07	0.96	0.96	0.96	-0.04	-0.06	0.06	0.07	0.09	1.17	1.2	1.17	0.18	0.58	1.02	1.44	1.79	AT5G45470	E+
725.0	64.07	64.07	50.81	547.19	483.12	568.97	520.46	697.32	612.8	503.93	398.42	323.84	273.41	259.1	418.61	467.29	474.65	475.79	397.94	322.4	266.19	239.88	76.62	81.11	81.32	63.38	61.17	58.94	56.83	56.17	61.73	62.73	62.88	440.55	337.25	264.9	216.58	202.93	356.88	404.56	411.77	28.14	0.47	1.44	7.22	19.21	341.99	386.18	393.33	0.88	0.87	0.85	0.82	0.79	0.78	0.85	0.86	0.87	0.05	-0.01	-0.01	0.01	0.06	0.81	0.82	0.83	0.09	0.39	0.72	1.04	1.15	0.33	0.18	0.16	0.08	0.3	0.45	0.55	0.58	0.26	0.16	0.14	0.05	-0.01	-0.02	0.0	0.07	0.96	0.95	0.96	0.32	-0.25	-0.29	-0.19	0.09	1.2	1.25	1.26	0.21	0.46	0.81	1.22	1.48	AT5G45470	E+
