FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14
Size [pixels]	2570	1865	1507	5742	2224	2874	1233	688	448	678	579	359	346	408
Fo	60.09	81.53	100.69	43.01	40.41	87.20	37.16	63.29	68.01	101.94	45.93	77.76	85.24	94.32
Fo_gauss	60.09	81.53	100.69	43.01	40.41	87.20	37.16	63.29	68.01	101.94	45.93	77.76	85.24	94.32
Fo_median	47.53	67.68	85.81	31.54	29.90	72.32	26.59	49.50	54.06	84.37	33.17	61.63	70.82	79.60
Fm	503.95	641.31	758.76	379.67	362.92	672.48	336.50	515.85	542.96	768.66	385.66	614.07	665.18	694.57
Fv	443.87	559.78	658.08	336.66	322.51	585.28	299.35	452.56	474.95	666.72	339.74	536.32	579.94	600.25
Fp	545.70	677.56	786.79	404.94	387.91	706.26	365.83	543.23	582.67	791.61	417.27	647.57	697.19	718.96
Fp-median	497.23	629.46	726.62	357.59	349.74	646.00	322.69	493.04	521.15	722.40	370.45	576.01	641.64	662.74
Fp-gauss	679.63	819.56	939.10	533.14	509.55	848.99	482.92	678.15	721.62	951.33	546.28	797.79	843.49	866.36
Fp-average	593.82	730.33	840.98	452.55	433.37	757.34	409.11	594.78	630.24	853.40	463.41	705.94	752.83	772.06
Fm_L1	456.53	576.72	615.46	343.58	328.99	584.98	305.43	460.98	469.60	664.94	340.76	524.13	563.99	607.56
Fm_L2	331.67	434.24	407.39	253.32	243.65	402.14	219.77	318.35	334.93	459.75	237.44	384.21	406.00	436.86
Fm_L3	275.54	339.10	332.42	203.66	192.93	319.14	178.67	262.39	274.80	397.89	205.75	318.44	349.01	321.66
Fm_L4	230.73	278.55	273.01	171.07	161.54	263.59	151.15	220.12	240.67	352.64	179.34	265.66	300.16	256.05
Fm_Lss	207.48	246.82	246.80	154.18	146.81	236.68	139.51	198.80	219.64	325.18	162.94	238.20	280.51	227.69
Fm_D1	423.28	530.03	589.86	312.86	311.39	531.88	270.93	418.72	406.74	563.08	301.00	508.32	489.04	515.30
Fm_D2	445.15	545.19	627.06	325.25	321.18	563.90	291.27	449.95	446.90	639.21	340.86	517.78	537.75	558.84
Fm_D3	446.47	544.74	635.51	324.67	320.92	571.00	292.19	453.40	453.13	647.67	347.10	518.76	554.54	575.03
Ft_L1	455.30	578.22	632.56	334.01	323.82	592.95	298.20	455.32	472.98	674.03	337.89	544.07	577.49	611.81
Ft_L2	328.90	432.62	400.09	255.78	254.70	404.20	231.76	327.24	327.27	456.50	242.06	377.55	401.66	439.77
Ft_L3	272.66	331.99	320.74	206.04	193.95	311.73	181.60	262.72	266.35	388.74	202.62	310.90	339.18	319.51
Ft_L4	232.20	272.95	269.60	174.35	159.43	260.64	145.03	220.47	233.09	333.29	178.01	263.01	296.98	253.21
Ft_Lss	209.53	242.82	243.61	151.20	135.83	231.98	126.20	197.31	209.10	306.69	163.41	232.63	273.80	223.35
Ft_D1	83.31	104.31	124.81	54.93	51.90	107.42	47.36	83.59	93.59	124.48	59.43	101.78	110.38	117.79
Ft_D2	79.06	100.67	122.92	54.59	52.25	105.92	48.14	81.02	88.46	126.87	58.47	103.05	108.93	110.04
Ft_D3	77.83	98.71	122.00	53.11	50.88	105.23	47.25	79.47	86.67	125.93	57.31	100.12	110.17	114.32
Fo_L1	59.30	80.33	97.49	42.47	39.93	85.47	36.72	62.34	66.70	99.79	45.19	76.07	83.29	92.47
Fo_L2	56.35	76.65	89.93	40.48	38.12	79.84	34.88	58.55	62.82	93.32	42.44	72.04	78.56	86.91
Fo_L3	54.32	72.87	85.47	38.77	36.43	75.67	33.42	56.20	60.07	90.37	41.12	69.19	76.06	80.91
