FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7
Size [pixels]	4331	3144	4609	1524	798	1873	672
Fo	75.90	120.58	80.66	44.17	51.68	62.84	70.82
Fo_gauss	75.90	120.58	80.66	44.17	51.68	62.84	70.82
Fo_median	62.28	105.63	67.02	33.07	39.83	50.41	57.98
Fm	644.62	941.41	681.47	403.76	462.89	531.25	565.43
Fv	568.72	820.82	600.81	359.59	411.21	468.40	494.61
Fp	675.63	959.17	708.61	429.98	495.60	555.64	608.80
Fp-median	621.70	901.76	652.44	386.05	443.59	510.07	556.26
Fp-gauss	818.57	1112.93	855.75	546.59	631.53	676.74	746.78
Fp-average	725.73	1013.96	760.18	471.50	544.97	599.02	657.44
Fm_L1	575.49	849.94	605.01	366.00	415.95	487.90	507.08
Fm_L2	445.98	569.24	423.43	283.29	306.34	338.46	352.03
Fm_L3	368.63	459.28	356.38	227.48	251.38	262.63	271.69
Fm_L4	321.03	388.40	307.88	196.02	219.32	223.80	224.23
Fm_Lss	298.74	345.23	280.84	182.03	202.78	204.50	200.69
Fm_D1	494.74	782.37	525.64	324.14	353.74	442.48	465.82
Fm_D2	523.33	810.96	558.19	343.98	390.16	473.28	487.81
Fm_D3	530.34	820.81	571.01	349.39	391.92	480.93	491.43
Ft_L1	574.02	829.75	592.84	351.36	413.90	469.60	504.35
Ft_L2	448.17	569.50	423.95	284.64	303.64	334.43	342.06
Ft_L3	347.84	438.41	335.40	218.09	247.40	249.73	269.84
Ft_L4	301.45	366.26	284.79	177.28	216.44	198.40	218.87
Ft_Lss	277.65	326.71	258.91	159.11	197.58	167.74	188.83
Ft_D1	93.71	152.57	98.40	53.54	65.54	79.43	88.68
Ft_D2	98.28	152.85	103.32	54.74	66.75	82.49	90.61
Ft_D3	97.21	150.02	102.01	55.95	65.43	79.92	89.37
Fo_L1	74.80	118.92	79.43	43.62	51.00	62.17	69.76
Fo_L2	71.92	111.02	74.96	42.01	48.68	58.63	65.57
Fo_L3	69.45	105.98	72.44	40.36	46.86	55.66	61.91
Fo_L4	67.48	101.54	70.06	39.11	45.53	53.58	58.90
Fo_Lss	66.37	98.25	68.44	38.51	44.68	52.28	56.89
Fo_D1	73.18	117.47	77.80	42.91	49.84	61.31	68.87
Fo_D2	73.78	118.11	78.52	43.26	50.56	61.90	69.36
Fo_D3	73.93	118.32	78.78	43.36	50.60	62.04	69.42
Fv_L1	500.69	731.02	525.57	322.37	364.95	425.72	437.31
Fv_L2	374.06	458.21	348.48	241.28	257.66	279.84	286.45
Fv_L3	299.18	353.30	283.94	187.13	204.52	206.97	209.78
Fv_L4	253.55	286.86	237.82	156.91	173.79	170.22	165.33
Fv_Lss	232.37	246.98	212.40	143.51	158.09	152.22	143.80
Fv_D1	421.56	664.90	447.84	281.23	303.90	381.16	396.95
Fv_D2	449.55	692.85	479.66	300.71	339.60	411.38	418.44
Fv_D3	456.40	702.49	492.23	306.03	341.32	418.89	422.01
Fq_L1	1.47	20.19	12.17	14.64	2.05	18.29	2.73
Fq_L2	-2.18	-0.26	-0.51	-1.35	2.70	4.04	9.97
Fq_L3	20.79	20.87	20.98	9.39	3.99	12.90	1.85
Fq_L4	19.58	22.14	23.09	18.74	2.88	25.40	5.35
Fq_Lss	21.09	18.52	21.94	22.92	5.20	36.76	11.86
Fq_D1	401.03	629.79	427.24	270.60	288.21	363.04	377.14
Fq_D2	425.05	658.12	454.87	289.24	323.41	390.78	397.19
Fq_D3	433.13	670.79	469.00	293.44	326.48	401.01	402.06
QY_max	0.88	0.87	0.88	0.89	0.89	0.88	0.87
Fv/Fm_L1	0.87	0.86	0.87	0.88	0.88	0.87	0.86
Fv/Fm_L2	0.84	0.80	0.82	0.85	0.84	0.83	0.81
Fv/Fm_L3	0.81	0.77	0.80	0.82	0.81	0.79	0.77
Fv/Fm_L4	0.79	0.74	0.77	0.80	0.79	0.76	0.73
Fv/Fm_Lss	0.78	0.71	0.75	0.78	0.77	0.74	0.71
Fv/Fm_D1	0.85	0.85	0.85	0.87	0.86	0.86	0.85
Fv/Fm_D2	0.86	0.85	0.86	0.87	0.87	0.87	0.86
Fv/Fm_D3	0.86	0.86	0.86	0.87	0.87	0.87	0.86
QY_L1	-0.01	0.02	0.01	0.03	-0.01	0.03	-0.00
QY_L2	-0.02	-0.01	-0.01	-0.02	-0.01	-0.00	0.01
QY_L3	0.04	0.04	0.04	0.02	-0.01	0.03	-0.02
QY_L4	0.04	0.05	0.06	0.07	-0.02	0.10	-0.01
QY_Lss	0.05	0.04	0.05	0.10	-0.01	0.16	0.03
QY_D1	0.81	0.80	0.81	0.83	0.81	0.82	0.81
QY_D2	0.81	0.81	0.81	0.84	0.83	0.83	0.81
QY_D3	0.82	0.82	0.82	0.84	0.83	0.83	0.82
NPQ_L1	0.13	0.11	0.14	0.12	0.13	0.10	0.12
NPQ_L2	0.46	0.67	0.62	0.45	0.55	0.59	0.63
NPQ_L3	0.78	1.07	0.94	0.82	0.90	1.05	1.13
NPQ_L4	1.05	1.45	1.25	1.14	1.19	1.42	1.60
NPQ_Lss	1.20	1.76	1.48	1.30	1.38	1.66	1.93
NPQ_D1	0.32	0.21	0.31	0.26	0.34	0.21	0.23
NPQ_D2	0.24	0.17	0.23	0.19	0.21	0.13	0.17
NPQ_D3	0.23	0.15	0.20	0.17	0.20	0.11	0.16
qN_L1	0.11	0.11	0.12	0.09	0.10	0.08	0.11
qN_L2	0.34	0.44	0.41	0.32	0.37	0.40	0.42
qN_L3	0.47	0.57	0.53	0.48	0.50	0.56	0.58
qN_L4	0.56	0.66	0.60	0.56	0.58	0.64	0.67
qN_Lss	0.59	0.71	0.65	0.60	0.62	0.68	0.71
qN_D1	0.25	0.19	0.25	0.21	0.25	0.18	0.19
