FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14
Size [pixels]	2442	1911	609	1147	724	230	264	879	720	936	578	1003	592	285
Fo	92.46	56.85	68.64	61.68	44.53	75.44	51.27	80.19	53.91	38.90	60.29	45.51	47.92	82.72
Fo_gauss	92.46	56.85	68.64	61.68	44.53	75.44	51.27	80.19	53.91	38.90	60.29	45.51	47.92	82.72
Fo_median	78.54	44.46	55.00	49.86	32.59	62.87	37.68	65.45	40.59	28.07	46.42	34.59	36.57	68.40
Fm	770.27	485.23	566.88	532.08	393.52	625.23	415.31	625.44	435.99	355.68	500.35	398.45	400.62	630.37
Fv	677.81	428.38	498.25	470.39	348.99	549.79	364.04	545.25	382.08	316.78	440.06	352.95	352.70	547.65
Fp	793.65	532.84	582.96	562.47	425.17	645.84	455.64	651.39	475.38	383.30	521.82	422.63	428.23	660.57
Fp-median	737.84	481.85	526.25	514.13	379.19	587.90	402.03	597.15	425.40	342.54	466.62	385.70	382.86	600.03
Fp-gauss	944.44	670.59	734.30	693.66	549.99	801.57	591.36	791.27	611.00	495.15	650.23	554.24	555.96	815.32
Fp-average	848.10	582.10	638.91	610.30	469.48	703.94	501.00	702.96	526.87	423.75	572.11	474.10	475.19	715.48
Fm_L1	694.76	442.13	491.47	493.32	364.51	554.77	366.07	559.25	406.14	320.61	462.45	370.04	360.57	556.27
Fm_L2	498.26	352.99	328.50	383.75	288.57	396.78	277.21	388.51	286.26	273.23	347.06	277.12	271.98	387.00
Fm_L3	412.87	289.89	272.58	304.63	226.21	317.65	221.05	312.47	239.30	223.38	267.04	214.31	211.66	308.37
Fm_L4	360.33	256.01	233.99	259.45	197.63	290.07	196.68	273.34	213.79	192.11	236.15	182.47	178.29	266.11
Fm_Lss	330.93	241.91	217.45	240.45	184.90	276.84	175.80	260.67	207.65	174.48	222.56	172.09	164.29	239.84
Fm_D1	597.99	399.88	404.45	416.98	293.26	455.53	321.59	497.26	392.96	291.85	419.29	331.32	329.50	501.19
Fm_D2	631.62	419.80	434.78	463.03	331.70	515.91	343.76	537.46	417.95	307.38	442.30	349.48	350.75	539.60
Fm_D3	641.85	425.78	441.37	466.56	342.67	528.22	354.20	548.05	432.03	307.31	447.18	351.74	358.62	549.21
Ft_L1	675.59	444.55	485.91	479.08	354.37	556.25	366.72	554.20	398.98	313.22	445.24	354.76	354.17	559.18
Ft_L2	499.52	345.25	325.94	377.22	292.37	407.55	268.56	381.91	284.10	267.82	346.74	276.42	268.67	386.34
Ft_L3	384.94	274.39	261.21	301.40	230.69	300.76	213.88	304.07	227.11	212.00	259.89	213.87	206.49	300.57
Ft_L4	331.30	239.44	220.26	255.99	191.38	260.44	188.20	263.77	204.73	162.39	219.23	177.02	172.05	257.89
Ft_Lss	300.01	225.21	204.87	232.20	177.28	255.04	170.40	245.90	194.71	142.75	201.75	161.23	156.13	226.65
Ft_D1	113.20	71.51	79.83	76.93	53.50	91.00	60.37	93.63	69.50	48.65	71.47	54.96	61.97	100.74
Ft_D2	118.07	75.00	77.14	82.19	58.28	89.26	60.36	95.70	75.03	49.81	73.37	55.70	62.49	104.37
Ft_D3	115.22	73.12	77.24	77.67	54.58	87.93	57.43	100.37	76.33	46.27	71.82	54.86	60.80	100.78
Fo_L1	91.25	56.17	67.31	61.14	44.11	74.25	50.40	78.94	53.39	38.38	59.66	45.11	47.31	81.30
Fo_L2	86.58	54.29	62.76	58.91	42.57	70.28	47.92	74.07	50.29	37.52	57.08	43.13	45.17	76.14
Fo_L3	83.46	52.40	60.26	56.48	40.73	67.08	45.83	70.59	48.54	36.27	54.21	41.08	42.81	72.25
Fo_L4	80.92	51.08	58.01	54.59	39.63	65.71	44.54	68.32	47.26	35.21	52.66	39.49	41.08	69.65
Fo_Lss	79.30	50.42	56.80	53.63	39.00	65.04	43.33	67.45	46.93	34.51	51.94	38.90	40.13	67.46
Fo_D1	89.27	55.38	65.17	59.67	42.71	72.06	49.42	77.47	53.09	37.90	58.85	44.38	46.66	79.87
Fo_D2	90.04	55.77	65.98	60.60	43.54	73.46	49.84	78.46	53.59	38.16	59.28	44.71	47.06	80.77
Fo_D3	90.23	55.86	66.14	60.65	43.70	73.70	50.14	78.72	53.81	38.18	59.41	44.70	47.24	81.05
Fv_L1	603.50	385.96	424.16	432.18	320.40	480.52	315.67	480.31	352.75	282.22	402.79	324.92	313.26	474.97
Fv_L2	411.68	298.70	265.74	324.84	245.99	326.50	229.29	314.44	235.97	235.71	289.98	233.99	226.80	310.86
Fv_L3	329.40	237.49	212.31	248.15	185.48	250.57	175.22	241.88	190.76	187.11	212.83	173.23	168.85	236.11
Fv_L4	279.41	204.93	175.98	204.86	157.99	224.37	152.14	205.03	166.53	156.89	183.49	142.98	137.21	196.45
Fv_Lss	251.62	191.49	160.65	186.82	145.90	211.80	132.47	193.22	160.72	139.98	170.62	133.19	124.16	172.38
