FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	1317	1610	1371	1642	1199	1133	1939	1145	409
Fo	54.76	82.69	73.68	77.94	97.46	70.63	107.32	106.99	61.94
Fo_gauss	54.76	82.69	73.68	77.94	97.46	70.63	107.32	106.99	61.94
Fo_median	41.56	68.01	59.55	63.39	79.84	55.44	91.01	90.08	48.70
Fm	455.43	632.25	592.81	610.68	736.37	577.15	824.16	788.45	497.64
Fv	400.67	549.56	519.12	532.73	638.91	506.52	716.83	681.46	435.69
Fp	472.39	666.82	626.11	635.05	763.92	611.87	853.48	815.72	533.61
Fp-median	424.34	610.27	568.49	582.89	699.14	552.79	789.66	754.09	479.41
Fp-gauss	593.28	807.31	768.08	766.74	914.71	758.24	1007.35	969.34	676.35
Fp-average	519.15	718.88	680.34	685.63	822.90	669.83	909.22	874.17	588.64
Fm_L1	399.17	540.21	517.66	547.43	656.65	505.39	724.33	671.70	444.27
Fm_L2	293.78	373.48	397.28	374.51	479.67	389.92	505.03	451.18	328.27
Fm_L3	242.57	309.07	332.36	305.56	379.48	336.91	434.27	383.10	252.27
Fm_L4	208.98	262.56	287.81	260.15	327.31	291.41	383.34	329.39	215.18
Fm_Lss	191.45	235.28	266.11	237.60	298.48	275.22	357.65	295.88	194.47
Fm_D1	339.87	489.17	429.46	492.57	545.54	426.54	610.01	597.68	385.40
Fm_D2	362.19	508.68	460.06	516.36	581.94	460.91	662.85	634.88	410.85
Fm_D3	366.30	513.45	466.92	519.37	585.66	467.27	666.71	636.84	413.70
Ft_L1	382.40	549.26	523.25	541.93	659.33	512.45	718.01	683.71	451.01
Ft_L2	296.40	369.31	393.53	383.96	483.81	384.73	508.92	448.07	334.21
Ft_L3	232.80	305.81	321.95	305.93	367.62	323.12	417.84	370.31	255.23
Ft_L4	188.83	257.68	277.33	259.70	319.45	282.43	358.83	317.40	212.35
Ft_Lss	168.05	232.58	255.47	228.60	289.81	262.18	333.60	287.89	195.95
Ft_D1	61.48	100.57	85.22	98.57	115.27	87.82	131.63	129.26	79.17
Ft_D2	64.67	97.80	88.08	97.06	113.92	90.71	133.88	129.44	75.82
Ft_D3	63.04	96.00	89.44	92.50	112.36	88.35	131.99	126.04	73.71
Fo_L1	53.79	80.81	72.32	76.77	95.91	69.37	105.41	104.47	60.99
Fo_L2	51.11	75.47	69.23	71.86	90.72	66.51	98.92	96.83	57.99
Fo_L3	49.16	72.31	66.82	68.75	86.20	64.67	95.76	93.17	54.82
Fo_L4	47.46	69.20	64.66	66.02	83.02	62.64	92.96	89.43	52.70
Fo_Lss	46.37	67.01	63.38	64.43	80.88	61.80	91.32	86.66	51.20
Fo_D1	52.30	79.39	70.02	75.54	92.98	67.56	102.53	102.42	59.66
Fo_D2	52.89	79.95	70.78	76.11	93.99	68.38	103.95	103.47	60.24
Fo_D3	52.95	80.08	70.96	76.18	94.11	68.56	104.07	103.52	60.31
Fv_L1	345.38	459.40	445.34	470.66	560.74	436.02	618.92	567.23	383.27
Fv_L2	242.67	298.01	328.05	302.65	388.95	323.41	406.10	354.34	270.28
Fv_L3	193.41	236.76	265.54	236.81	293.28	272.24	338.51	289.93	197.45
Fv_L4	161.52	193.36	223.15	194.13	244.29	228.77	290.38	239.96	162.48
Fv_Lss	145.08	168.27	202.73	173.17	217.61	213.41	266.33	209.22	143.27
Fv_D1	287.57	409.78	359.44	417.03	452.56	358.98	507.48	495.25	325.74
Fv_D2	309.30	428.73	389.28	440.25	487.96	392.53	558.90	531.41	350.61
Fv_D3	313.35	433.37	395.96	443.18	491.55	398.71	562.65	533.32	353.39
Fq_L1	16.77	-9.05	-5.59	5.50	-2.69	-7.06	6.32	-12.00	-6.74
Fq_L2	-2.62	4.17	3.75	-9.45	-4.14	5.19	-3.89	3.10	-5.94
Fq_L3	9.78	3.25	10.41	-0.37	11.86	13.79	16.43	12.78	-2.96
Fq_L4	20.15	4.88	10.48	0.45	7.86	8.98	24.51	12.00	2.82
Fq_Lss	23.40	2.69	10.64	9.00	8.67	13.04	24.04	7.99	-1.47
Fq_D1	278.39	388.60	344.24	394.00	430.27	338.72	478.38	468.42	306.23
Fq_D2	297.51	410.87	371.98	419.30	468.02	370.20	528.97	505.44	335.03
Fq_D3	303.26	417.45	377.47	426.86	473.30	378.92	534.72	510.80	340.00
QY_max	0.88	0.87	0.87	0.87	0.87	0.88	0.87	0.86	0.87
Fv/Fm_L1	0.86	0.85	0.86	0.86	0.85	0.86	0.85	0.84	0.86
Fv/Fm_L2	0.82	0.80	0.82	0.81	0.81	0.83	0.80	0.78	0.82
Fv/Fm_L3	0.79	0.76	0.80	0.77	0.77	0.81	0.78	0.76	0.78
Fv/Fm_L4	0.77	0.73	0.77	0.74	0.74	0.78	0.76	0.73	0.75
Fv/Fm_Lss	0.75	0.71	0.75	0.72	0.72	0.77	0.74	0.70	0.73
Fv/Fm_D1	0.84	0.83	0.83	0.85	0.83	0.84	0.83	0.83	0.84
Fv/Fm_D2	0.85	0.84	0.84	0.85	0.84	0.85	0.84	0.84	0.85
Fv/Fm_D3	0.85	0.84	0.84	0.85	0.84	0.85	0.84	0.84	0.85
QY_L1	0.03	-0.02	-0.02	0.00	-0.01	-0.02	0.00	-0.03	-0.03
QY_L2	-0.03	-0.00	-0.00	-0.04	-0.02	0.00	-0.01	-0.00	-0.04
QY_L3	0.02	-0.01	0.01	-0.02	0.02	0.03	0.03	0.02	-0.04
QY_L4	0.07	-0.00	0.02	-0.02	0.01	0.01	0.05	0.02	-0.02
QY_Lss	0.10	-0.01	0.02	0.02	0.01	0.03	0.05	0.01	-0.05
QY_D1	0.82	0.79	0.80	0.80	0.79	0.79	0.78	0.78	0.79
QY_D2	0.82	0.81	0.81	0.81	0.80	0.80	0.80	0.79	0.81
QY_D3	0.83	0.81	0.81	0.82	0.81	0.81	0.80	0.80	0.82
