FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
Size [pixels]	2131	928	605	927	848	420	2113	1341
Fo	63.09	90.40	52.99	67.18	51.45	76.47	83.23	79.49
Fo_gauss	63.09	90.40	52.99	67.18	51.45	76.47	83.23	79.49
Fo_median	48.68	71.92	39.79	51.15	38.34	59.23	68.10	63.53
Fm	525.05	681.93	450.11	559.25	437.57	609.79	672.67	640.10
Fv	461.96	591.53	397.12	492.07	386.12	533.32	589.44	560.61
Fp	557.32	699.78	487.23	582.87	466.96	630.09	697.96	666.49
Fp-median	498.78	627.60	431.65	524.96	416.00	561.48	637.21	601.74
Fp-gauss	697.14	850.21	626.49	716.52	603.75	773.82	843.66	813.76
Fp-average	611.84	761.17	540.31	637.85	519.33	685.81	752.22	723.37
Fm_L1	462.19	594.49	396.00	511.61	393.84	521.33	573.59	567.25
Fm_L2	318.35	416.93	299.37	396.94	291.19	358.81	389.13	424.55
Fm_L3	259.69	315.52	260.09	320.87	240.86	270.08	329.78	357.92
Fm_L4	229.54	270.90	234.81	286.91	214.08	233.91	288.87	315.24
Fm_Lss	215.71	248.61	223.76	268.16	198.46	206.98	271.57	296.30
Fm_D1	410.09	493.45	355.27	447.94	349.76	435.06	492.74	477.69
Fm_D2	424.74	523.88	372.10	471.08	358.04	450.73	509.46	497.22
Fm_D3	428.49	528.06	376.62	469.68	361.51	456.60	511.73	498.80
Ft_L1	466.23	604.29	403.31	500.40	384.06	526.84	584.75	568.75
Ft_L2	316.81	421.51	297.75	397.95	291.05	357.64	387.92	425.05
Ft_L3	261.19	313.52	250.50	316.45	241.91	270.33	318.88	349.50
Ft_L4	223.35	264.19	226.85	277.94	206.17	232.29	277.28	303.58
Ft_Lss	210.68	240.10	211.40	256.95	194.30	206.63	256.45	282.70
Ft_D1	79.10	110.47	69.89	90.31	65.30	93.27	103.20	103.13
Ft_D2	82.22	106.67	72.01	92.15	66.81	93.96	101.82	101.61
Ft_D3	79.52	105.20	71.25	87.27	67.99	88.50	100.50	100.03
Fo_L1	62.02	88.61	52.14	66.42	50.73	74.88	81.43	78.20
Fo_L2	58.24	83.08	49.80	63.87	48.35	70.12	76.08	74.57
Fo_L3	55.74	77.89	48.47	61.38	46.59	65.60	73.39	72.11
Fo_L4	54.05	74.55	47.40	59.93	45.40	63.07	70.95	70.07
Fo_Lss	53.17	72.47	46.87	59.02	44.56	60.63	69.68	68.93
Fo_D1	60.87	85.66	51.22	65.12	49.84	72.40	79.32	75.99
Fo_D2	61.22	86.52	51.65	65.63	49.98	72.78	79.71	76.45
Fo_D3	61.29	86.64	51.74	65.60	50.06	72.97	79.78	76.50
