FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	2010	2123	892	2156	2169	1343	1063	869	1790	2374	860	966	1108
Fo	55.55	64.22	48.87	68.63	109.55	42.03	48.01	37.28	54.99	109.45	64.32	54.45	76.15
Fo_gauss	55.55	64.22	48.87	68.63	109.55	42.03	48.01	37.28	54.99	109.45	64.32	54.45	76.15
Fo_median	41.90	50.43	36.25	54.23	90.81	30.35	35.32	25.38	41.40	92.60	50.28	40.97	59.29
Fm	465.55	522.57	424.73	562.11	826.92	364.91	399.01	337.52	457.98	845.98	502.78	479.93	627.96
Fv	410.00	458.35	375.86	493.47	717.37	322.88	351.00	300.24	402.99	736.53	438.46	425.48	551.81
Fp	491.47	543.08	443.52	594.45	852.68	392.26	430.17	355.09	483.22	880.67	535.88	503.20	651.94
Fp-median	436.85	491.57	397.88	539.99	774.93	343.15	379.90	308.51	429.58	812.41	479.11	446.24	584.65
Fp-gauss	626.72	669.12	560.99	730.57	1014.14	524.42	560.15	481.45	615.01	1036.57	676.53	648.56	799.63
Fp-average	544.61	590.48	488.72	646.09	914.28	442.87	479.14	403.96	533.80	938.66	589.58	559.30	711.12
Fm_L1	414.13	464.45	374.52	499.29	704.12	318.29	352.50	289.34	399.31	751.22	426.21	405.16	548.03
Fm_L2	302.15	312.25	285.03	359.69	451.37	220.08	227.92	207.63	267.97	537.79	286.87	300.89	399.70
Fm_L3	261.98	269.40	244.44	309.79	400.95	192.59	197.32	179.10	230.92	468.24	255.22	262.67	349.73
Fm_L4	216.20	229.65	209.66	260.47	337.33	159.81	165.98	149.15	194.01	400.76	212.62	225.39	298.65
Fm_Lss	194.27	214.11	193.40	240.14	313.54	144.93	152.44	134.02	176.35	368.63	191.34	205.43	272.26
Fm_D1	384.10	434.32	343.04	445.49	634.13	292.24	329.48	271.69	374.90	683.93	405.52	365.41	493.12
Fm_D2	394.97	453.41	358.20	467.29	674.88	303.65	342.39	279.86	387.27	715.40	425.30	385.71	512.72
Fm_D3	400.25	458.45	367.18	476.57	689.11	303.95	343.71	281.23	392.30	725.76	428.43	391.28	518.76
Ft_L1	399.51	439.45	358.23	493.18	701.26	310.64	347.32	280.09	384.95	738.83	431.77	403.02	542.03
Ft_L2	297.90	310.09	284.32	353.13	449.70	216.80	228.85	209.93	265.92	532.96	282.08	289.14	393.54
Ft_L3	253.20	258.94	232.72	300.62	381.02	188.95	194.85	175.63	219.99	452.01	246.06	250.86	331.96
Ft_L4	208.63	212.26	182.98	249.40	317.39	156.03	163.17	141.44	181.17	371.68	203.45	213.71	282.89
Ft_Lss	180.45	190.99	157.11	224.44	287.66	136.40	140.32	123.83	161.32	331.55	183.96	191.64	256.24
Ft_D1	64.47	75.48	57.36	79.76	124.84	50.84	59.24	47.52	63.33	130.24	76.85	67.82	88.27
Ft_D2	71.07	78.16	62.97	86.22	131.01	50.95	58.63	46.40	67.72	138.47	76.13	68.73	95.07
Ft_D3	70.08	77.05	63.37	85.54	128.80	51.22	57.57	46.23	65.38	134.74	76.72	69.17	92.67
Fo_L1	54.69	63.21	48.08	67.56	107.01	41.24	47.20	36.53	53.97	107.65	62.77	53.24	74.77
Fo_L2	51.95	58.99	46.06	63.98	98.31	38.73	43.65	34.57	50.35	101.59	58.35	50.75	70.93
Fo_L3	50.54	57.15	44.72	62.12	95.62	37.64	42.26	33.53	48.73	98.75	56.77	49.42	69.05
Fo_L4	48.36	55.00	43.31	59.71	91.34	36.01	40.43	32.13	46.68	95.21	54.18	47.79	66.65
Fo_Lss	47.02	53.96	42.48	58.46	89.38	34.97	39.42	31.22	45.46	93.24	52.60	46.75	65.20
Fo_D1	54.08	62.59	47.48	66.40	105.14	40.72	46.72	36.18	53.46	106.09	62.29	52.42	73.56
