FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11
Size [pixels]	1824	1287	1343	1447	1034	2299	1523	1252	1192	1642	2841
Fo	63.62	43.18	89.20	62.54	103.36	101.87	45.61	40.20	30.82	33.84	94.46
Fo_gauss	63.62	43.18	89.20	62.54	103.36	101.87	45.61	40.20	30.82	33.84	94.46
Fo_median	49.58	31.43	71.79	47.67	85.44	85.18	33.49	28.51	20.66	23.03	77.54
Fm	485.34	354.21	621.82	468.75	700.09	696.96	366.31	352.14	271.44	288.45	685.54
Fv	421.72	311.02	532.62	406.21	596.73	595.09	320.69	311.94	240.61	254.61	591.08
Fp	504.42	380.83	647.33	490.56	723.74	723.81	387.31	373.85	293.49	310.13	712.16
Fp-median	454.24	333.28	580.38	437.59	655.96	659.05	342.13	326.37	251.40	268.86	645.84
Fp-gauss	628.33	502.41	794.17	617.54	870.76	869.46	507.80	500.13	414.33	433.74	859.78
Fp-average	550.97	427.33	702.55	539.47	779.85	777.71	433.25	424.16	339.07	356.94	767.28
Fm_L1	414.37	295.08	499.15	407.43	582.91	588.03	322.77	304.61	230.93	244.71	552.59
Fm_L2	262.38	194.61	329.24	273.58	377.64	384.51	233.86	206.32	148.70	152.91	356.84
Fm_L3	221.54	157.09	286.98	221.15	331.88	329.04	181.72	163.15	123.74	131.36	305.49
Fm_L4	193.26	138.59	251.87	194.41	285.50	285.03	153.39	143.43	110.94	116.30	273.51
Fm_Lss	182.93	133.46	235.13	185.20	264.56	264.81	142.65	135.43	104.27	108.37	257.63
Fm_D1	388.71	265.37	472.94	355.13	536.40	523.54	279.07	260.43	206.74	222.12	507.35
Fm_D2	408.39	293.22	499.41	399.91	574.31	563.48	304.34	287.97	218.42	232.12	547.57
Fm_D3	410.05	298.29	507.85	405.75	590.72	577.99	313.10	299.03	223.40	235.76	561.09
Ft_L1	403.27	295.56	516.24	402.79	593.42	591.92	311.47	299.65	222.07	238.63	563.68
