FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	1572	2414	826	1415	2037	1495	1338	606	666
Fo	92.29	99.22	93.30	84.96	47.46	45.64	44.45	71.99	88.08
Fo_gauss	92.29	99.22	93.30	84.96	47.46	45.64	44.45	71.99	88.08
Fo_median	75.47	81.71	75.02	66.54	34.90	33.61	31.16	54.04	66.79
Fm	715.10	754.18	682.61	649.14	400.98	382.62	381.77	549.06	640.23
Fv	622.82	654.96	589.30	564.18	353.52	336.97	337.33	477.06	552.15
Fp	738.28	777.50	703.25	672.97	430.23	417.56	407.74	564.15	662.12
Fp-median	670.07	706.69	630.23	597.54	379.60	366.17	349.80	495.97	574.87
Fp-gauss	892.57	927.52	852.52	824.70	561.35	550.64	542.98	700.24	816.26
Fp-average	797.35	833.65	763.40	733.91	481.09	467.64	460.93	621.07	727.46
Fm_L1	622.09	651.57	553.17	556.94	349.54	328.57	338.85	477.69	500.81
Fm_L2	443.04	437.90	370.31	383.84	249.58	218.89	250.96	310.80	341.01
Fm_L3	394.45	380.86	329.78	332.51	214.75	190.39	207.69	270.26	304.90
Fm_L4	344.45	334.10	285.35	290.97	185.85	162.96	179.78	232.87	260.48
Fm_Lss	324.68	306.52	263.27	265.61	176.96	149.05	166.57	218.77	240.74
Fm_D1	525.50	581.08	528.79	502.68	317.23	310.18	298.42	451.67	500.47
Fm_D2	559.61	610.49	554.78	527.26	331.81	316.91	319.19	466.55	521.17
Fm_D3	569.15	617.79	553.34	531.30	335.14	318.76	318.13	469.12	522.79
Ft_L1	615.48	653.42	565.09	563.80	344.20	329.07	335.89	472.36	522.19
Ft_L2	446.09	432.71	363.09	385.03	246.48	216.65	249.57	309.63	335.72
Ft_L3	372.57	365.21	316.61	323.73	208.88	188.36	210.71	262.99	295.84
Ft_L4	327.19	315.09	268.89	277.91	179.68	157.45	176.29	227.23	254.74
Ft_Lss	299.82	290.04	252.13	253.37	169.46	144.55	161.83	209.74	236.46
Ft_D1	108.39	117.20	110.60	99.57	57.13	54.39	51.46	86.75	105.64
Ft_D2	112.39	119.35	113.12	101.45	59.16	55.33	52.95	88.35	108.83
Ft_D3	112.75	120.20	109.53	101.00	58.86	53.86	55.58	87.89	105.84
Fo_L1	90.51	97.12	90.34	83.07	46.56	44.69	43.75	70.51	84.71
Fo_L2	85.26	90.25	83.27	77.37	43.96	41.48	41.66	65.07	78.25
Fo_L3	83.16	87.46	80.96	75.02	42.64	40.24	40.09	63.00	76.07
Fo_L4	80.61	84.62	77.86	72.47	41.22	38.68	38.76	60.66	72.80
Fo_Lss	79.43	82.65	76.00	70.66	40.71	37.74	38.02	59.50	71.02
Fo_D1	88.04	95.34	89.60	81.69	45.89	44.26	42.91	69.95	84.57
Fo_D2	88.98	96.13	90.33	82.34	46.21	44.41	43.34	70.31	85.24
Fo_D3	89.24	96.29	90.34	82.45	46.28	44.45	43.30	70.31	85.27
Fv_L1	531.59	554.45	462.82	473.87	302.98	283.88	295.10	407.18	416.09
Fv_L2	357.78	347.65	287.04	306.47	205.62	177.41	209.30	245.74	262.76
Fv_L3	311.29	293.40	248.82	257.49	172.11	150.15	167.60	207.25	228.83
Fv_L4	263.83	249.48	207.49	218.50	144.62	124.28	141.02	172.20	187.67
Fv_Lss	245.25	223.87	187.28	194.95	136.25	111.31	128.55	159.27	169.72
Fv_D1	437.46	485.74	439.19	420.99	271.34	265.91	255.52	381.72	415.90
Fv_D2	470.63	514.36	464.45	444.92	285.60	272.50	275.84	396.24	435.93
Fv_D3	479.91	521.50	463.00	448.85	288.86	274.31	274.83	398.81	437.51
Fq_L1	6.62	-1.85	-11.92	-6.87	5.35	-0.50	2.95	5.34	-21.38
Fq_L2	-3.05	5.19	7.22	-1.19	3.11	2.24	1.39	1.17	5.29
Fq_L3	21.88	15.64	13.17	8.78	5.87	2.02	-3.02	7.26	9.06
Fq_L4	17.25	19.01	16.46	13.06	6.17	5.51	3.49	5.64	5.73
Fq_Lss	24.86	16.48	11.14	12.23	7.50	4.49	4.74	9.03	4.28
Fq_D1	417.11	463.88	418.19	403.10	260.10	255.78	246.96	364.92	394.83
Fq_D2	447.22	491.13	441.67	425.81	272.65	261.58	266.24	378.20	412.34
Fq_D3	456.40	497.59	443.81	430.30	276.28	264.89	262.56	381.23	416.95
QY_max	0.87	0.87	0.86	0.87	0.88	0.88	0.88	0.87	0.86
Fv/Fm_L1	0.85	0.85	0.84	0.85	0.86	0.86	0.87	0.85	0.83
Fv/Fm_L2	0.81	0.79	0.77	0.80	0.82	0.81	0.83	0.79	0.77
Fv/Fm_L3	0.79	0.77	0.75	0.77	0.80	0.78	0.80	0.77	0.75
Fv/Fm_L4	0.76	0.75	0.72	0.75	0.77	0.75	0.78	0.74	0.72
Fv/Fm_Lss	0.75	0.73	0.71	0.73	0.76	0.74	0.76	0.72	0.70
Fv/Fm_D1	0.83	0.83	0.83	0.84	0.85	0.85	0.85	0.84	0.83
Fv/Fm_D2	0.84	0.84	0.84	0.84	0.86	0.86	0.86	0.85	0.83
Fv/Fm_D3	0.84	0.84	0.84	0.84	0.86	0.86	0.86	0.85	0.84
QY_L1	0.00	-0.01	-0.03	-0.02	0.00	-0.02	-0.01	0.01	-0.06
QY_L2	-0.02	0.00	0.01	-0.02	-0.02	-0.03	-0.02	-0.02	0.00
QY_L3	0.04	0.03	-0.01	0.00	-0.01	-0.04	-0.06	0.01	0.01
QY_L4	0.03	0.04	0.04	0.03	-0.01	-0.02	-0.03	0.01	-0.03
QY_Lss	0.06	0.04	0.02	0.02	0.01	-0.04	-0.02	0.02	-0.03
QY_D1	0.79	0.80	0.79	0.80	0.82	0.82	0.82	0.81	0.79
QY_D2	0.80	0.80	0.80	0.81	0.82	0.82	0.83	0.81	0.79
QY_D3	0.80	0.81	0.80	0.81	0.82	0.83	0.82	0.82	0.80
NPQ_L1	0.16	0.17	0.26	0.19	0.17	0.20	0.16	0.18	0.30
NPQ_L2	0.65	0.74	0.89	0.73	0.66	0.84	0.58	0.82	0.92
NPQ_L3	0.84	1.02	1.16	1.01	0.95	1.14	0.93	1.08	1.16
NPQ_L4	1.13	1.32	1.48	1.30	1.28	1.55	1.24	1.44	1.60
