FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
Size [pixels]	1208	698	1147	791	631	400
Fo	72.04	96.10	72.40	82.92	69.97	65.48
Fo_gauss	72.04	96.10	72.40	82.92	69.97	65.48
Fo_median	56.54	76.08	56.98	65.70	52.72	47.56
Fm	570.46	705.06	582.40	642.73	561.77	490.41
Fv	498.42	608.96	510.00	559.82	491.79	424.93
Fp	608.68	727.77	618.68	670.57	593.57	514.81
Fp-median	543.44	645.77	555.75	599.77	521.70	442.75
Fp-gauss	755.61	883.54	759.71	815.86	743.49	668.40
Fp-average	666.59	790.34	674.20	729.37	654.98	578.58
Fm_L1	453.91	570.86	488.08	534.44	470.45	389.31
Fm_L2	312.00	374.26	327.68	349.51	319.04	254.42
Fm_L3	255.50	307.71	264.12	276.12	261.94	213.92
Fm_L4	208.46	259.13	216.01	227.24	218.09	176.09
Fm_Lss	190.32	234.54	196.60	201.60	199.61	160.18
Fm_D1	433.41	543.65	461.26	472.29	440.62	363.30
Fm_D2	457.23	586.25	483.05	514.57	466.86	400.36
Fm_D3	458.89	589.96	488.59	524.14	469.27	407.33
Ft_L1	474.35	586.84	497.73	548.54	485.87	406.72
Ft_L2	308.59	376.35	329.54	350.99	316.67	255.21
Ft_L3	249.61	304.85	265.29	276.20	262.25	208.32
Ft_L4	208.94	252.04	214.56	223.50	217.00	173.20
Ft_Lss	189.86	231.67	195.42	199.47	198.16	156.61
Ft_D1	91.42	119.81	94.72	102.49	96.15	85.23
Ft_D2	89.41	115.25	92.11	101.22	94.13	78.86
Ft_D3	88.37	116.09	90.74	100.58	92.56	79.43
Fo_L1	69.64	92.96	70.64	80.73	68.26	63.13
Fo_L2	64.85	85.22	65.71	74.47	63.60	57.64
Fo_L3	61.83	81.08	62.53	70.26	60.76	55.02
Fo_L4	58.35	77.10	59.19	66.45	57.89	51.87
Fo_Lss	56.64	74.64	57.55	63.85	56.42	50.46
Fo_D1	68.98	92.21	69.95	78.97	67.53	62.38
Fo_D2	69.61	93.39	70.47	80.13	68.20	63.48
Fo_D3	69.65	93.54	70.61	80.38	68.22	63.70
Fv_L1	384.27	477.90	417.44	453.71	402.19	326.18
Fv_L2	247.14	289.05	261.96	275.04	255.44	196.78
Fv_L3	193.68	226.63	201.59	205.86	201.18	158.90
Fv_L4	150.10	182.03	156.82	160.78	160.20	124.22
Fv_Lss	133.68	159.90	139.05	137.75	143.20	109.72
Fv_D1	364.43	451.44	391.30	393.33	373.09	300.91
Fv_D2	387.62	492.85	412.58	434.43	398.66	336.89
Fv_D3	389.24	496.42	417.98	443.76	401.05	343.63
Fq_L1	-20.44	-15.98	-9.64	-14.10	-15.43	-17.41
Fq_L2	3.41	-2.08	-1.86	-1.48	2.37	-0.79
Fq_L3	5.89	2.86	-1.17	-0.08	-0.31	5.60
Fq_L4	-0.48	7.09	1.45	3.74	1.09	2.89
Fq_Lss	0.46	2.87	1.18	2.12	1.46	3.57
Fq_D1	341.99	423.84	366.54	369.80	344.47	278.07
Fq_D2	367.82	471.00	390.95	413.35	372.73	321.51
Fq_D3	370.52	473.87	397.85	423.56	376.71	327.90
QY_max	0.87	0.86	0.88	0.87	0.87	0.87
Fv/Fm_L1	0.84	0.84	0.85	0.85	0.85	0.84
Fv/Fm_L2	0.79	0.77	0.80	0.79	0.80	0.77
Fv/Fm_L3	0.75	0.74	0.76	0.74	0.76	0.74
Fv/Fm_L4	0.71	0.70	0.72	0.70	0.73	0.70
Fv/Fm_Lss	0.69	0.68	0.70	0.67	0.71	0.68
Fv/Fm_D1	0.83	0.83	0.85	0.83	0.84	0.83
Fv/Fm_D2	0.84	0.84	0.85	0.84	0.85	0.84
Fv/Fm_D3	0.84	0.84	0.85	0.84	0.85	0.84
QY_L1	-0.06	-0.05	-0.03	-0.04	-0.04	-0.07
QY_L2	-0.01	-0.02	-0.02	-0.02	-0.02	-0.05
QY_L3	-0.00	-0.02	-0.03	-0.02	-0.03	0.00
QY_L4	-0.05	0.00	-0.03	-0.01	-0.03	-0.04
QY_Lss	-0.04	-0.02	-0.03	-0.04	-0.03	-0.05
QY_D1	0.79	0.78	0.79	0.78	0.78	0.76
QY_D2	0.80	0.80	0.81	0.81	0.80	0.80
QY_D3	0.81	0.80	0.81	0.81	0.80	0.80
NPQ_L1	0.28	0.25	0.21	0.22	0.21	0.30
NPQ_L2	0.88	0.90	0.81	0.87	0.79	1.02
NPQ_L3	1.31	1.35	1.28	1.39	1.20	1.40
NPQ_L4	1.95	1.82	1.79	1.96	1.66	2.02
NPQ_Lss	2.28	2.12	2.11	2.47	1.93	2.31
NPQ_D1	0.41	0.34	0.30	0.46	0.30	0.41
NPQ_D2	0.36	0.23	0.25	0.32	0.23	0.28
NPQ_D3	0.34	0.22	0.23	0.30	0.23	0.26
qN_L1	0.22	0.21	0.18	0.19	0.17	0.23
qN_L2	0.51	0.52	0.49	0.51	0.48	0.53
qN_L3	0.62	0.63	0.61	0.64	0.59	0.62
qN_L4	0.70	0.70	0.70	0.72	0.67	0.70
qN_Lss	0.74	0.74	0.73	0.76	0.71	0.74
qN_D1	0.27	0.27	0.23	0.31	0.24	0.29
qN_D2	0.23	0.20	0.19	0.23	0.18	0.21
qN_D3	0.22	0.19	0.18	0.22	0.18	0.19
qP_L1	-0.08	-0.06	-0.04	-0.05	-0.05	-0.09
qP_L2	-0.02	-0.02	-0.03	-0.03	-0.03	-0.08
qP_L3	-0.02	-0.05	-0.05	-0.04	-0.05	-0.02
qP_L4	-0.12	-0.02	-0.06	-0.03	-0.06	-0.13
qP_Lss	-0.09	-0.05	-0.06	-0.10	-0.07	-0.14
qP_D1	0.95	0.94	0.94	0.95	0.92	0.93
qP_D2	0.96	0.95	0.95	0.96	0.94	0.95
qP_D3	0.96	0.96	0.95	0.96	0.94	0.95
qL_L1	-0.70	-0.63	-0.42	-0.51	-0.58	-0.82
qL_L2	-0.32	-0.28	-0.44	-0.34	-0.39	-1.00
qL_L3	-0.40	-0.50	-0.58	-0.45	-0.53	-0.48
qL_L4	-1.08	-0.39	-0.58	-0.46	-0.60	-1.12
qL_Lss	-0.89	-0.50	-0.68	-1.08	-0.70	-1.58
qL_D1	1.22	1.21	1.25	1.19	1.31	1.26
qL_D2	1.21	1.17	1.24	1.17	1.29	1.22
qL_D3	1.19	1.18	1.22	1.17	1.26	1.21
Rfd_L1	0.31	0.27	0.27	0.25	0.25	0.34
Rfd_L2	1.07	1.02	0.96	1.00	0.94	1.38
Rfd_L3	1.63	1.54	1.47	1.56	1.39	1.76
Rfd_L4	2.36	2.21	2.18	2.34	2.00	2.36
Rfd_Lss	2.94	2.46	2.54	3.97	2.28	2.97
