FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	1596	1606	1668	2459	1322	1095	2192	2965	2209	3275
Fo	49.83	61.67	53.50	71.36	42.45	96.99	46.20	81.88	78.70	101.64
Fo_gauss	49.83	61.67	53.50	71.36	42.45	96.99	46.20	81.88	78.70	101.64
Fo_median	37.11	48.15	40.23	56.12	30.54	77.58	34.24	67.08	63.49	84.91
Fm	420.97	509.97	461.02	588.86	368.28	735.53	388.79	651.69	640.54	779.94
Fv	371.14	448.30	407.52	517.50	325.84	638.55	342.60	569.81	561.84	678.30
Fp	455.05	550.79	481.66	623.79	406.75	749.51	426.97	678.47	670.20	809.68
Fp-median	403.72	497.27	430.20	558.58	353.21	664.06	380.22	617.12	609.54	741.62
Fp-gauss	585.48	689.10	604.77	762.63	541.71	900.91	558.78	821.59	812.35	958.93
Fp-average	504.28	601.52	527.97	676.61	458.30	809.41	474.79	730.33	723.03	864.60
Fm_L1	371.86	433.01	409.18	522.58	320.03	628.74	335.22	561.80	555.15	664.03
Fm_L2	257.55	285.94	283.62	364.12	224.49	418.04	228.52	379.89	387.47	439.41
Fm_L3	213.13	232.85	225.07	277.43	182.45	336.49	175.40	300.96	301.96	356.27
Fm_L4	176.48	192.08	186.66	227.67	149.21	276.89	143.16	246.89	241.76	294.90
Fm_Lss	156.34	174.08	167.38	200.41	136.36	246.96	128.74	218.94	213.06	262.73
Fm_D1	358.49	408.47	373.01	434.45	301.69	536.21	296.25	499.87	510.05	588.46
Fm_D2	365.09	426.19	395.87	471.62	313.06	582.43	305.96	528.03	519.49	629.10
Fm_D3	365.49	430.07	400.06	480.09	313.57	587.88	305.77	533.43	520.05	641.07
Ft_L1	368.80	442.89	397.76	525.33	322.47	631.66	336.68	564.77	558.35	664.39
Ft_L2	256.61	285.09	286.52	364.13	220.62	414.62	230.59	376.51	382.77	434.33
Ft_L3	215.43	233.84	224.02	274.36	183.60	321.40	178.74	289.85	296.86	340.95
Ft_L4	174.72	191.70	176.74	222.37	151.39	270.55	145.73	240.94	239.01	279.50
Ft_Lss	156.31	171.74	159.10	196.68	136.71	240.70	127.86	210.12	208.09	254.57
Ft_D1	67.35	78.96	70.69	88.16	55.91	115.46	52.86	100.43	100.53	126.83
Ft_D2	63.63	77.32	70.65	88.20	55.46	116.50	51.92	98.56	100.69	127.70
Ft_D3	63.76	78.67	69.84	85.28	54.77	112.81	50.93	98.31	96.25	125.32
Fo_L1	49.01	60.29	52.66	70.23	41.65	94.77	45.25	80.19	77.19	99.33
Fo_L2	46.05	55.96	49.60	66.13	39.22	87.75	42.24	74.78	72.58	92.00
Fo_L3	44.25	53.38	47.28	62.39	37.43	83.27	39.76	70.88	68.75	87.55
Fo_L4	42.22	50.73	45.13	59.19	35.62	78.78	37.58	67.11	64.80	83.11
Fo_Lss	40.85	49.25	43.84	56.93	34.76	75.74	36.34	64.72	62.37	80.18
Fo_D1	48.75	59.75	51.93	67.75	41.29	91.61	44.11	78.59	76.07	97.29
Fo_D2	48.89	60.14	52.42	68.67	41.51	92.95	44.27	79.30	76.24	98.42
Fo_D3	48.90	60.23	52.50	68.84	41.49	93.08	44.16	79.43	76.21	98.72
Fv_L1	322.85	372.72	356.52	452.36	278.38	533.96	289.97	481.61	477.97	564.70
Fv_L2	211.50	229.98	234.02	297.98	185.27	330.29	186.28	305.12	314.89	347.42
Fv_L3	168.88	179.47	177.79	215.05	145.02	253.21	135.64	230.08	233.21	268.72
Fv_L4	134.26	141.36	141.53	168.49	113.59	198.11	105.58	179.78	176.96	211.80
Fv_Lss	115.48	124.83	123.54	143.48	101.59	171.22	92.40	154.22	150.69	182.56
Fv_D1	309.73	348.72	321.09	366.70	260.40	444.60	252.14	421.29	433.98	491.17
Fv_D2	316.20	366.06	343.46	402.95	271.55	489.48	261.69	448.73	443.25	530.68
Fv_D3	316.59	369.84	347.56	411.26	272.08	494.80	261.61	454.00	443.85	542.34
Fq_L1	3.06	-9.88	11.43	-2.74	-2.44	-2.92	-1.46	-2.97	-3.20	-0.35
Fq_L2	0.94	0.85	-2.90	-0.01	3.87	3.41	-2.07	3.38	4.71	5.08
Fq_L3	-2.30	-0.98	1.05	3.08	-1.14	15.08	-3.34	11.11	5.09	15.31
Fq_L4	1.77	0.38	9.91	5.30	-2.17	6.34	-2.56	5.95	2.74	15.40
Fq_Lss	0.02	2.34	8.28	3.73	-0.35	6.26	0.88	8.82	4.97	8.17
Fq_D1	291.14	329.51	302.32	346.30	245.78	420.75	243.39	399.45	409.52	461.63
Fq_D2	301.46	348.87	325.23	383.42	257.60	465.94	254.05	429.47	418.80	501.40
Fq_D3	301.73	351.40	330.22	394.82	258.80	475.07	254.84	435.12	423.80	515.74
QY_max	0.88	0.88	0.88	0.88	0.88	0.87	0.88	0.88	0.88	0.87
Fv/Fm_L1	0.87	0.86	0.87	0.86	0.87	0.85	0.86	0.86	0.86	0.85
Fv/Fm_L2	0.82	0.80	0.82	0.82	0.82	0.79	0.81	0.80	0.81	0.79
Fv/Fm_L3	0.79	0.77	0.79	0.77	0.79	0.75	0.77	0.76	0.77	0.76
Fv/Fm_L4	0.75	0.73	0.75	0.73	0.75	0.71	0.73	0.73	0.73	0.72
Fv/Fm_Lss	0.73	0.71	0.73	0.70	0.73	0.68	0.70	0.70	0.70	0.69
Fv/Fm_D1	0.86	0.85	0.86	0.83	0.86	0.82	0.84	0.84	0.85	0.83
Fv/Fm_D2	0.86	0.86	0.87	0.84	0.86	0.83	0.84	0.85	0.85	0.84
Fv/Fm_D3	0.86	0.86	0.87	0.84	0.86	0.83	0.84	0.85	0.85	0.84
QY_L1	-0.01	-0.04	0.02	-0.01	-0.04	-0.01	-0.03	-0.01	-0.01	-0.01
QY_L2	-0.03	-0.03	-0.03	-0.02	-0.03	-0.02	-0.04	-0.01	-0.00	-0.00
QY_L3	-0.05	-0.04	-0.03	-0.01	-0.07	0.03	-0.07	0.02	-0.00	0.03
QY_L4	-0.06	-0.03	0.02	-0.01	-0.09	0.00	-0.09	-0.00	-0.02	0.03
QY_Lss	-0.14	-0.04	0.02	-0.03	-0.08	-0.01	-0.08	0.01	-0.02	0.00
QY_D1	0.81	0.80	0.81	0.79	0.81	0.79	0.81	0.80	0.80	0.79
QY_D2	0.82	0.82	0.82	0.81	0.82	0.80	0.82	0.81	0.81	0.80
QY_D3	0.82	0.79	0.83	0.82	0.82	0.81	0.81	0.82	0.81	0.81
NPQ_L1	0.16	0.21	0.15	0.15	0.19	0.20	0.19	0.18	0.17	0.19
NPQ_L2	0.70	0.85	0.67	0.67	0.72	0.84	0.77	0.75	0.69	0.79
NPQ_L3	1.07	1.27	1.11	1.21	1.15	1.28	1.34	1.22	1.19	1.23
NPQ_L4	1.55	1.79	1.56	1.80	1.67	1.88	1.94	1.74	1.78	1.73
NPQ_Lss	1.98	2.11	1.88	2.41	1.92	2.43	2.39	2.18	2.25	2.16
NPQ_D1	0.21	0.29	0.27	0.74	0.27	0.63	0.53	0.39	0.32	0.38
NPQ_D2	0.19	0.23	0.19	0.60	0.22	0.51	0.54	0.32	0.33	0.30
NPQ_D3	0.18	0.29	0.19	0.55	0.23	0.47	0.73	0.30	0.34	0.27
qN_L1	0.12	0.16	0.12	0.12	0.13	0.17	0.14	0.15	0.14	0.16
qN_L2	0.43	0.48	0.42	0.43	0.42	0.49	0.45	0.46	0.44	0.48
qN_L3	0.54	0.60	0.56	0.59	0.55	0.61	0.60	0.59	0.59	0.60
qN_L4	0.64	0.69	0.65	0.68	0.65	0.70	0.69	0.68	0.69	0.69
qN_Lss	0.69	0.73	0.70	0.73	0.69	0.74	0.73	0.73	0.74	0.73
qN_D1	0.16	0.22	0.21	0.31	0.19	0.32	0.26	0.26	0.23	0.28
qN_D2	0.14	0.18	0.15	0.24	0.15	0.25	0.23	0.21	0.21	0.23
qN_D3	0.14	0.17	0.14	0.23	0.15	0.24	0.23	0.20	0.21	0.21
qP_L1	-0.01	-0.05	0.02	-0.02	-0.05	-0.02	-0.04	-0.02	-0.02	-0.01
qP_L2	-0.05	-0.05	-0.04	-0.02	-0.05	-0.05	-0.06	-0.02	-0.01	-0.00
qP_L3	-0.09	-0.07	-0.05	-0.02	-0.11	0.03	-0.12	0.01	-0.02	0.03
qP_L4	-0.24	-0.06	0.01	-0.04	-0.15	-0.02	-0.17	-0.02	-0.04	0.03
qP_Lss	-2.34	-0.11	0.01	-0.26	-0.16	-0.10	-0.18	-0.02	-0.24	-0.02
qP_D1	0.94	0.94	0.95	0.96	0.94	0.97	0.97	0.95	0.95	0.94
qP_D2	0.95	0.95	0.95	0.96	0.95	0.97	0.98	0.96	0.95	0.95
qP_D3	0.95	0.22	0.95	0.98	0.95	0.99	0.21	0.97	0.97	0.96
qL_L1	-0.35	-0.89	-0.09	-0.30	-0.84	-0.23	-0.65	-0.30	-0.25	-0.20
qL_L2	-0.86	-0.68	-0.60	-0.36	-0.91	-0.80	-0.77	-0.51	-0.26	-0.20
qL_L3	-1.24	-0.89	-0.75	-0.43	-1.36	-0.15	-1.34	-0.28	-0.38	-0.07
qL_L4	-5.55	-0.69	-0.45	-0.56	-1.65	-0.34	-1.52	-0.45	-0.51	-0.17
qL_Lss	-310.69	-1.16	-0.46	-4.45	-1.86	-1.14	-1.88	-0.61	-5.96	-0.42
qL_D1	1.28	1.24	1.28	1.16	1.29	1.14	1.10	1.20	1.23	1.20
qL_D2	1.26	1.22	1.29	1.12	1.28	1.16	1.11	1.18	1.23	1.21
qL_D3	1.26	-27.06	1.27	1.15	1.26	1.14	-20.62	1.18	1.19	1.19
Rfd_L1	0.36	0.31	0.27	0.23	0.33	0.24	0.32	0.25	0.23	0.26
Rfd_L2	0.91	1.05	0.76	0.83	1.23	0.92	0.99	0.90	0.84	0.95
Rfd_L3	1.35	1.58	1.30	1.52	1.57	1.62	1.66	1.55	1.41	1.49
Rfd_L4	2.18	2.24	2.05	2.20	2.16	3.03	2.52	2.09	2.01	2.19
Rfd_Lss	2.42	2.66	2.51	3.20	2.75	3.18	3.47	3.16	2.64	3.01
