FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
Size [pixels]	2589	2315	2545	2020	1386	1393
Fo	68.71	87.05	96.26	63.42	52.50	72.00
Fo_gauss	68.71	87.05	96.26	63.42	52.50	72.00
Fo_median	54.64	71.39	77.46	49.59	39.52	56.91
Fm	556.19	689.63	743.84	526.41	438.41	547.53
Fv	487.48	602.58	647.58	462.99	385.90	475.53
Fp	592.79	714.29	762.76	560.12	453.83	578.83
Fp-median	537.95	650.69	684.61	504.11	405.54	520.63
Fp-gauss	732.57	862.38	917.11	701.15	577.92	716.13
Fp-average	645.42	770.36	822.88	614.12	500.56	630.25
Fm_L1	479.20	587.72	640.14	453.89	388.02	474.56
Fm_L2	327.66	404.74	419.66	321.64	249.74	315.02
Fm_L3	271.58	342.40	351.91	266.22	207.38	256.16
Fm_L4	219.96	283.56	292.74	218.16	177.36	213.87
Fm_Lss	195.86	257.69	258.73	193.42	163.49	191.22
Fm_D1	447.78	531.54	581.07	413.86	354.89	441.92
Fm_D2	458.55	549.87	606.55	427.91	372.59	462.00
Fm_D3	461.33	553.85	616.72	431.58	377.74	467.27
Ft_L1	486.97	596.41	642.34	460.19	375.90	478.62
Ft_L2	324.74	404.52	417.56	316.74	256.94	316.45
Ft_L3	266.95	327.85	336.42	261.61	207.59	255.95
Ft_L4	214.76	276.78	280.37	215.51	166.74	212.10
Ft_Lss	188.94	246.90	249.79	192.92	147.07	186.49
Ft_D1	85.75	107.31	116.92	80.03	63.82	89.74
Ft_D2	85.75	107.47	116.12	81.09	64.46	89.14
Ft_D3	84.53	105.72	114.30	80.97	66.02	88.06
Fo_L1	67.32	85.12	94.22	62.15	51.62	70.51
Fo_L2	62.95	79.66	87.14	58.59	47.82	65.25
Fo_L3	60.40	76.77	83.67	56.33	45.85	62.12
Fo_L4	57.21	73.24	79.63	53.61	44.05	59.12
Fo_Lss	55.21	71.24	76.72	51.87	43.05	57.09
Fo_D1	66.59	83.78	92.75	61.27	50.95	69.71
Fo_D2	66.86	84.25	93.42	61.60	51.35	70.23
Fo_D3	66.92	84.34	93.66	61.69	51.45	70.35
Fv_L1	411.88	502.61	545.92	391.74	336.39	404.05
Fv_L2	264.71	325.08	332.52	263.05	201.93	249.78
Fv_L3	211.18	265.63	268.24	209.89	161.53	194.04
Fv_L4	162.75	210.32	213.11	164.55	133.31	154.74
Fv_Lss	140.65	186.44	182.01	141.54	120.44	134.13
Fv_D1	381.19	447.75	488.31	352.59	303.94	372.21
Fv_D2	391.70	465.62	513.13	366.32	321.23	391.77
Fv_D3	394.42	469.50	523.06	369.89	326.29	396.92
Fq_L1	-7.77	-8.68	-2.20	-6.31	12.12	-4.06
Fq_L2	2.93	0.22	2.11	4.90	-7.19	-1.43
Fq_L3	4.63	14.56	15.49	4.61	-0.21	0.21
Fq_L4	5.19	6.78	12.37	2.64	10.62	1.76
