FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
Size [pixels]	2940	1316	1704	2127	2183	868	1837	661	2128	935	699	785
Fo	121.21	113.91	105.43	127.78	74.24	67.27	53.42	45.05	61.90	54.47	31.23	71.23
Fo_gauss	121.21	113.91	105.43	127.78	74.24	67.27	53.42	45.05	61.90	54.47	31.23	71.23
Fo_median	106.21	99.76	91.00	112.76	61.08	53.92	41.01	33.83	49.32	42.25	21.61	56.10
Fm	931.78	893.35	825.31	944.39	616.25	582.17	462.67	403.33	532.70	500.99	306.15	581.54
Fv	810.56	779.44	719.87	816.61	542.00	514.89	409.25	358.28	470.80	446.51	274.91	510.31
Fp	965.60	918.41	846.92	975.73	646.51	618.70	495.89	444.44	551.57	518.36	327.15	608.82
Fp-median	904.73	859.49	789.87	914.66	596.31	566.12	443.32	395.84	504.90	473.73	285.84	556.54
Fp-gauss	1125.72	1074.42	1000.74	1134.23	777.96	762.24	634.76	576.79	676.66	640.09	440.11	744.38
Fp-average	1022.59	973.99	901.31	1032.80	693.16	671.07	544.85	491.04	596.81	562.45	369.11	658.57
Fm_L1	851.67	798.46	722.79	838.56	560.51	521.47	397.20	355.19	481.99	448.33	264.96	520.81
Fm_L2	585.59	532.51	465.62	534.21	426.68	400.72	261.22	274.49	357.90	345.23	199.33	356.86
Fm_L3	498.14	464.39	408.83	473.28	337.40	334.03	225.28	230.14	278.58	270.13	161.56	289.00
Fm_L4	439.84	411.77	358.17	411.66	287.88	286.49	198.70	203.29	240.05	234.58	138.96	241.13
Fm_Lss	409.21	391.25	333.70	383.23	272.16	264.54	187.04	186.44	223.60	219.25	129.07	221.33
Fm_D1	733.53	693.08	590.69	723.30	476.27	436.88	344.49	307.70	422.49	394.96	232.68	481.89
Fm_D2	784.37	741.70	661.12	797.35	522.63	475.66	370.27	327.53	456.75	426.26	255.69	517.79
Fm_D3	798.64	753.93	679.65	813.28	531.62	482.32	377.06	334.94	465.93	433.86	257.18	520.76
Ft_L1	829.13	775.63	706.60	825.38	537.61	523.52	397.98	351.94	452.46	421.29	256.78	504.25
Ft_L2	594.28	525.30	456.82	529.13	421.04	394.33	256.30	266.50	349.70	336.30	200.81	342.54
Ft_L3	477.31	439.48	386.73	449.94	330.11	318.21	216.99	221.57	271.61	261.69	158.48	281.35
Ft_L4	404.52	373.93	329.99	379.41	269.56	274.38	187.60	196.44	219.27	210.00	127.27	235.38
Ft_Lss	371.35	347.18	303.96	352.49	246.77	249.55	175.99	179.16	197.25	187.61	112.10	208.25
Ft_D1	142.97	135.61	123.65	147.57	86.58	78.18	62.44	51.26	72.58	67.75	35.41	89.67
Ft_D2	145.77	138.05	126.41	150.73	91.94	84.23	63.78	52.96	74.53	68.53	39.31	91.52
Ft_D3	145.69	136.00	122.73	149.94	91.41	83.00	63.94	55.78	74.29	70.49	38.84	89.07
Fo_L1	119.72	112.18	103.51	125.61	73.34	66.36	52.37	44.30	61.13	53.76	30.69	70.20
Fo_L2	112.34	104.62	95.67	115.49	70.31	63.75	48.68	42.57	58.41	51.79	29.38	65.84
Fo_L3	108.59	101.58	92.95	112.29	67.22	61.67	47.10	41.23	55.63	49.52	28.27	62.98
Fo_L4	105.46	98.77	89.89	108.34	64.87	59.70	45.71	40.12	53.78	48.09	27.37	60.21
Fo_Lss	103.54	97.49	88.23	106.17	63.98	58.61	45.02	39.33	52.86	47.37	26.83	58.85
Fo_D1	117.01	109.76	100.20	122.60	71.59	64.69	51.21	43.38	59.97	52.83	30.10	69.39
Fo_D2	118.26	110.96	102.11	124.63	72.61	65.49	51.83	43.78	60.69	53.41	30.53	70.14
Fo_D3	118.59	111.24	102.54	125.00	72.78	65.61	51.95	43.99	60.85	53.52	30.54	70.20
Fv_L1	731.95	686.28	619.28	712.94	487.17	455.11	344.83	310.89	420.86	394.58	234.27	450.61
Fv_L2	473.25	427.89	369.95	418.72	356.37	336.97	212.54	231.92	299.49	293.45	169.95	291.02
Fv_L3	389.56	362.81	315.88	361.00	270.18	272.36	178.18	188.91	222.95	220.61	133.29	226.02
Fv_L4	334.38	313.00	268.28	303.32	223.01	226.78	152.99	163.17	186.28	186.49	111.59	180.91
Fv_Lss	305.67	293.75	245.46	277.06	208.18	205.93	142.02	147.11	170.74	171.88	102.24	162.48
Fv_D1	616.52	583.33	490.49	600.69	404.68	372.19	293.27	264.32	362.52	342.13	202.58	412.49
Fv_D2	666.11	630.74	559.01	672.72	450.02	410.17	318.43	283.75	396.07	372.85	225.16	447.65
Fv_D3	680.05	642.69	577.11	688.28	458.83	416.72	325.11	290.95	405.08	380.34	226.63	450.56
Fq_L1	22.54	22.83	16.19	13.17	22.90	-2.05	-0.79	3.25	29.53	27.04	8.18	16.57
Fq_L2	-8.69	7.21	8.80	5.08	5.64	6.39	4.92	7.99	8.20	8.93	-1.48	14.32
Fq_L3	20.83	24.91	22.10	23.35	7.29	15.83	8.29	8.57	6.98	8.44	3.08	7.65
Fq_L4	35.32	37.84	28.18	32.25	18.31	12.10	11.10	6.85	20.78	24.58	11.68	5.75
Fq_Lss	37.86	44.07	29.73	30.74	25.39	14.99	11.05	7.28	26.34	31.64	16.96	13.09
Fq_D1	590.56	557.47	467.04	575.72	389.69	358.70	282.05	256.44	349.91	327.21	197.27	392.22
Fq_D2	638.59	603.65	534.71	646.62	430.69	391.43	306.48	274.57	382.22	357.73	216.38	426.27
Fq_D3	652.95	617.94	556.92	663.34	440.21	399.32	313.12	279.16	391.64	363.37	218.34	431.69
QY_max	0.87	0.87	0.87	0.86	0.88	0.88	0.88	0.89	0.88	0.89	0.90	0.88
Fv/Fm_L1	0.86	0.86	0.86	0.85	0.87	0.87	0.87	0.87	0.87	0.88	0.88	0.86
