FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16
Size [pixels]	3382	1261	1418	2859	2672	677	648	475	1213	713	560	671	895	526	228	777
Fo	66.94	73.39	98.96	91.61	124.22	98.32	131.90	124.15	68.47	79.11	119.41	47.06	43.35	53.34	57.62	87.99
Fo_gauss	66.94	73.39	98.96	91.61	124.22	98.32	131.90	124.15	68.47	79.11	119.41	47.06	43.35	53.34	57.62	87.99
Fo_median	54.17	60.20	83.78	77.01	109.04	83.53	116.65	109.39	55.26	64.50	104.52	34.58	32.17	40.86	44.91	74.60
Fm	559.61	614.34	754.97	706.14	916.71	760.04	932.88	898.49	551.30	635.34	907.96	414.76	379.13	445.67	493.75	696.41
Fv	492.67	540.95	656.01	614.53	792.50	661.71	800.98	774.33	482.83	556.23	788.54	367.70	335.78	392.32	436.14	608.43
Fp	580.94	647.11	783.77	741.11	961.30	800.13	959.71	923.32	591.74	677.72	938.58	442.17	417.45	477.57	515.80	722.68
Fp-median	534.03	593.57	729.70	687.10	898.41	740.65	901.00	867.01	539.61	625.17	879.17	387.49	368.44	424.61	459.69	670.79
Fp-gauss	705.32	788.75	922.67	879.64	1126.79	950.47	1116.10	1078.72	729.90	815.82	1095.27	584.68	553.48	620.92	657.56	862.92
Fp-average	624.38	698.97	832.94	790.53	1019.75	854.05	1015.49	979.82	639.93	725.56	994.44	491.86	467.41	528.41	568.29	773.26
Fm_L1	508.39	558.05	684.66	638.38	832.41	685.54	809.72	789.61	488.57	573.04	829.57	342.92	334.90	372.82	417.74	634.96
Fm_L2	387.06	437.34	490.98	455.69	550.14	476.60	514.20	531.25	340.75	441.18	580.70	242.38	261.04	266.28	288.53	493.06
Fm_L3	307.45	366.99	408.82	370.83	478.42	418.05	460.99	452.26	284.77	368.11	490.85	210.90	218.81	231.60	250.61	411.26
Fm_L4	264.55	321.55	358.37	317.68	427.25	370.11	411.47	408.21	248.91	321.99	433.26	190.36	188.27	204.84	221.33	350.43
Fm_Lss	250.06	300.51	341.50	295.91	407.14	347.17	384.94	377.03	234.79	302.52	409.21	176.94	177.35	194.37	205.09	329.55
Fm_D1	439.39	478.65	578.97	555.15	718.47	593.34	701.71	687.51	420.06	515.46	694.17	281.30	294.65	352.26	363.71	539.04
Fm_D2	478.66	514.79	637.37	596.68	777.01	654.01	779.20	745.73	452.78	542.79	755.66	307.17	316.90	372.70	405.35	590.86
Fm_D3	490.42	523.00	650.34	602.09	789.66	667.36	796.06	750.29	459.04	552.87	773.92	314.37	317.24	377.14	415.83	598.69
Ft_L1	483.30	546.88	668.23	622.21	819.46	672.54	799.77	791.92	488.81	571.60	800.05	340.16	329.71	377.05	415.32	610.39
Ft_L2	380.47	429.76	479.68	450.53	558.34	482.23	510.28	532.13	333.83	431.87	581.17	237.51	256.03	258.16	275.91	484.66
Ft_L3	294.48	341.80	384.16	356.50	461.31	391.99	438.81	434.08	272.04	347.88	465.89	197.85	202.04	219.85	233.77	393.76
Ft_L4	245.03	298.47	332.20	306.16	400.74	344.55	385.08	388.93	241.49	304.97	394.80	175.27	183.31	191.65	196.20	333.09
Ft_Lss	221.11	277.02	310.35	280.21	370.95	321.99	355.13	357.87	223.34	279.20	370.50	160.95	171.57	180.24	194.55	313.39
Ft_D1	77.06	87.25	112.06	105.44	141.49	118.01	151.21	145.71	79.60	93.85	136.63	55.62	50.58	67.91	68.28	102.17
Ft_D2	84.46	92.29	115.42	110.08	146.87	124.62	155.15	145.32	80.01	98.00	142.72	57.67	50.79	67.29	66.25	108.46
Ft_D3	82.51	91.11	116.40	111.69	147.13	125.64	157.37	146.68	78.49	99.31	145.54	55.37	51.89	64.71	71.42	110.07
Fo_L1	66.12	72.47	97.60	90.32	122.51	96.95	129.06	121.80	67.35	78.02	117.92	45.85	42.63	52.02	56.36	86.91
Fo_L2	63.38	69.85	92.24	85.29	113.65	90.99	117.95	113.13	63.31	74.77	110.97	43.16	40.97	49.05	52.87	83.48
Fo_L3	60.67	67.66	88.77	81.67	110.18	88.49	114.89	108.94	60.94	72.23	107.11	41.81	39.57	47.65	51.24	80.67
Fo_L4	58.67	65.85	86.03	78.64	107.11	86.03	111.45	106.05	58.97	70.15	103.98	40.91	38.36	46.17	49.82	77.84
Fo_Lss	57.88	64.84	84.94	77.10	105.77	84.66	109.35	103.81	58.04	69.09	102.52	40.07	37.82	45.60	48.92	76.81
Fo_D1	64.72	70.87	95.00	88.31	119.61	94.70	125.89	119.03	65.75	76.75	114.62	44.24	41.83	51.58	55.14	84.75
Fo_D2	65.55	71.64	96.52	89.35	121.19	96.22	128.21	120.68	66.53	77.39	116.25	44.99	42.30	52.04	56.13	85.97
