FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
Size [pixels]	3134	1920	1858	1753	909	1338	1931	2041	1302	1242	2045	558
Fo	79.88	61.88	100.59	67.49	79.14	79.10	45.73	81.97	100.05	79.62	50.58	98.16
Fo_gauss	79.88	61.88	100.59	67.49	79.14	79.10	45.73	81.97	100.05	79.62	50.58	98.16
Fo_median	66.74	49.08	86.03	54.67	65.26	65.23	34.25	68.40	86.48	65.95	39.03	82.54
Fm	646.13	540.88	771.61	561.32	638.73	659.40	399.29	674.16	781.97	648.51	438.05	742.38
Fv	566.24	479.00	671.02	493.82	559.59	580.30	353.56	592.20	681.92	568.89	387.47	644.22
Fp	676.88	567.43	798.58	602.61	667.21	688.11	434.74	700.03	804.84	679.41	463.57	775.79
Fp-median	625.60	519.40	741.23	552.41	612.58	633.02	386.42	642.73	748.64	628.11	416.52	713.88
Fp-gauss	808.76	695.28	947.01	733.86	807.40	832.24	563.23	850.35	951.87	814.01	587.87	921.62
Fp-average	722.56	611.54	849.76	648.45	716.54	738.10	479.88	753.15	856.83	726.49	506.95	826.58
Fm_L1	593.65	497.54	686.21	518.66	565.90	593.58	365.52	598.66	691.09	586.33	397.62	676.59
Fm_L2	442.31	374.71	466.49	413.99	425.41	466.43	276.00	411.14	479.21	463.12	299.65	520.60
Fm_L3	348.23	309.11	392.27	343.31	352.48	388.09	224.93	355.78	403.69	380.71	245.89	412.27
Fm_L4	292.35	263.09	338.92	286.10	298.75	338.83	193.39	310.69	340.95	319.65	207.60	343.86
Fm_Lss	268.78	244.37	308.61	258.33	268.32	316.62	182.43	291.07	309.87	296.23	195.29	313.47
Fm_D1	529.08	436.05	606.92	453.74	491.19	494.42	327.89	519.43	612.78	522.10	359.29	619.65
Fm_D2	556.45	467.54	647.73	485.06	515.03	531.86	341.30	548.50	644.69	555.10	379.21	643.19
