FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17
Size [pixels]	5087	1722	841	519	3239	2547	1411	1324	897	1014	472	725	377	684	326	380	731
Fo	93.59	79.29	43.64	55.55	66.00	80.70	34.75	39.66	85.02	109.72	61.32	65.98	78.19	58.92	50.33	58.40	64.13
Fo_gauss	93.59	79.29	43.64	55.55	66.00	80.70	34.75	39.66	85.02	109.72	61.32	65.98	78.19	58.92	50.33	58.40	64.13
Fo_median	79.35	66.08	32.04	43.26	53.21	67.05	24.44	29.17	71.93	94.45	48.08	52.96	64.75	46.37	38.47	46.38	50.85
Fm	751.51	662.84	412.93	461.62	551.55	669.73	321.10	361.57	666.46	845.05	500.83	550.45	605.83	475.29	434.60	448.77	522.87
Fv	657.92	583.55	369.29	406.07	485.55	589.03	286.36	321.91	581.44	735.33	439.50	484.47	527.64	416.37	384.27	390.37	458.75
Fp	781.69	701.58	435.39	490.35	578.09	700.19	353.18	386.03	700.59	874.50	535.52	581.56	634.20	511.61	457.38	483.78	555.56
Fp-median	725.78	643.87	381.58	445.12	532.06	643.34	311.87	347.35	650.40	815.46	484.24	547.29	585.33	464.95	430.90	439.89	504.31
Fp-gauss	926.90	850.33	575.99	609.02	697.92	846.69	464.30	515.83	834.97	1025.93	669.64	717.03	761.53	640.85	577.92	597.27	689.46
Fp-average	832.39	753.03	484.04	532.11	620.68	752.43	392.63	433.72	747.61	928.92	583.79	634.49	679.01	558.87	506.17	523.04	603.95
Fm_L1	618.55	570.54	341.82	407.66	505.03	595.59	290.30	325.77	588.82	742.85	444.21	510.87	553.28	430.79	401.99	414.93	470.48
Fm_L2	444.07	360.42	235.02	283.81	358.38	393.50	210.23	225.78	402.73	477.52	302.06	358.67	392.26	275.59	280.59	286.27	327.04
Fm_L3	382.23	301.09	199.98	234.77	298.88	321.50	172.67	178.78	299.15	391.84	241.08	296.01	308.53	204.45	234.09	216.35	259.01
Fm_L4	318.78	251.09	164.76	210.08	254.00	267.00	146.45	147.57	245.04	324.45	201.13	244.31	260.66	166.95	202.47	176.64	215.49
Fm_Lss	289.70	224.71	147.74	190.59	231.41	243.53	131.77	137.23	222.08	288.52	180.66	216.77	232.25	151.28	181.91	157.79	199.84
Fm_D1	571.31	559.92	307.65	360.11	453.95	522.31	262.72	288.04	569.56	717.71	414.35	473.08	508.97	399.05	349.74	375.49	423.17
Fm_D2	627.60	583.84	326.81	408.07	489.71	567.96	281.89	310.66	599.09	751.03	439.64	496.60	540.16	434.85	386.29	419.27	461.14
Fm_D3	639.84	591.21	329.73	421.75	494.39	576.36	281.73	312.14	596.85	752.59	447.31	501.38	552.02	439.39	395.65	422.03	462.28
Ft_L1	635.32	563.95	337.91	406.55	483.33	584.16	280.31	309.91	580.94	729.48	434.76	492.15	514.53	422.09	389.39	399.98	460.22
Ft_L2	433.22	355.34	230.67	288.56	358.81	391.25	214.55	226.32	392.98	478.12	294.90	357.40	388.14	277.26	280.71	283.09	318.71
Ft_L3	362.95	284.16	184.49	238.42	288.78	301.90	163.15	176.39	293.26	371.15	232.63	285.77	293.02	201.00	227.54	206.14	252.87
Ft_L4	306.95	235.62	154.02	200.40	234.51	248.08	126.48	139.98	234.86	305.19	188.19	237.66	238.74	156.70	179.77	158.68	207.75
Ft_Lss	271.71	209.67	138.49	176.18	196.14	223.92	108.94	126.80	207.08	269.23	170.00	202.98	198.77	143.02	154.15	136.02	183.89
Ft_D1	118.64	101.72	53.63	70.33	83.01	97.80	42.63	45.47	106.28	141.07	76.32	83.94	95.86	72.47	62.90	73.77	76.86
Ft_D2	119.71	101.17	50.79	73.30	83.60	99.46	42.97	46.63	105.11	138.80	76.88	84.13	97.12	76.91	65.40	75.14	77.10
Ft_D3	118.17	100.51	53.03	72.10	82.22	98.23	42.88	46.67	102.62	136.08	72.71	81.74	97.58	74.90	66.24	73.78	75.95
Fo_L1	91.07	77.72	42.56	54.65	65.25	79.46	34.32	39.15	83.56	107.72	60.37	65.33	77.18	58.15	49.84	57.76	63.18
Fo_L2	85.92	71.71	40.03	51.36	61.80	74.11	32.59	36.93	78.21	99.39	56.39	61.73	72.77	53.75	47.11	54.09	59.50
Fo_L3	83.21	68.88	38.75	49.38	59.64	71.00	31.37	35.15	73.03	94.96	53.58	59.44	69.16	50.07	45.49	50.82	56.57
Fo_L4	79.60	65.70	36.88	48.15	57.48	67.66	30.25	33.51	69.14	90.25	51.15	56.89	66.39	47.29	44.02	48.04	54.02
Fo_Lss	77.58	63.61	35.89	46.96	56.16	65.99	29.47	32.87	67.04	87.03	49.61	55.10	64.17	45.81	42.82	46.38	52.89
Fo_D1	89.93	77.50	41.91	53.63	64.27	77.92	33.85	38.40	83.17	107.18	59.68	64.64	76.24	57.46	48.88	56.88	62.22
Fo_D2	91.28	77.98	42.30	54.64	64.96	78.92	34.18	38.80	83.76	107.92	60.20	65.07	76.95	58.21	49.58	57.87	63.02
Fo_D3	91.54	78.10	42.36	54.89	65.06	79.10	34.16	38.84	83.71	107.94	60.35	65.15	77.16	58.28	49.73	57.90	63.04
Fv_L1	527.48	492.82	299.26	353.01	439.78	516.12	255.98	286.62	505.26	635.13	383.83	445.54	476.09	372.64	352.15	357.17	407.29
Fv_L2	358.15	288.71	194.99	232.45	296.58	319.38	177.64	188.84	324.52	378.13	245.67	296.93	319.49	221.83	233.48	232.18	267.54
Fv_L3	299.02	232.21	161.23	185.40	239.24	250.50	141.30	143.63	226.12	296.88	187.50	236.57	239.37	154.38	188.61	165.53	202.44
Fv_L4	239.17	185.39	127.88	161.93	196.52	199.34	116.21	114.05	175.90	234.20	149.98	187.42	194.27	119.66	158.44	128.59	161.47
Fv_Lss	212.12	161.10	111.85	143.63	175.26	177.54	102.30	104.36	155.04	201.50	131.05	161.67	168.08	105.47	139.09	111.41	146.95
Fv_D1	481.38	482.42	265.73	306.47	389.68	444.39	228.88	249.64	486.40	610.53	354.67	408.44	432.73	341.59	300.86	318.62	360.95
Fv_D2	536.33	505.86	284.51	353.43	424.75	489.05	247.71	271.86	515.33	643.12	379.44	431.53	463.20	376.64	336.72	361.40	398.12
Fv_D3	548.30	513.11	287.37	366.86	429.32	497.26	247.57	273.30	513.14	644.65	386.96	436.22	474.86	381.11	345.92	364.14	399.25
Fq_L1	-16.77	6.59	3.90	1.11	21.70	11.42	9.99	15.86	7.87	13.37	9.44	18.72	38.74	8.71	12.60	14.95	10.26
Fq_L2	10.85	5.08	4.34	-4.75	-0.43	2.24	-4.31	-0.54	9.75	-0.60	7.16	1.26	4.13	-1.67	-0.12	3.18	8.33
Fq_L3	19.28	16.93	15.49	-3.65	10.10	19.60	9.51	2.39	5.89	20.70	8.45	10.24	15.51	3.44	6.56	10.21	6.14
Fq_L4	11.82	15.46	10.75	9.68	19.49	18.91	19.97	7.59	10.19	19.26	12.94	6.64	21.91	10.25	22.70	17.96	7.74
Fq_Lss	17.98	15.04	9.25	14.41	35.27	19.61	22.83	10.43	15.00	19.29	10.66	13.79	33.48	8.27	27.75	21.77	15.94
Fq_D1	452.67	458.21	254.01	289.78	370.94	424.52	220.10	242.57	463.29	576.65	338.03	389.14	413.11	326.58	286.83	301.72	346.31
Fq_D2	507.89	482.67	276.01	334.77	406.11	468.51	238.92	264.02	493.99	612.23	362.75	412.48	443.03	357.94	320.90	344.13	384.04
Fq_D3	521.67	490.70	276.70	349.65	412.17	478.13	238.85	265.47	494.23	616.52	374.60	419.64	454.44	364.48	329.41	348.26	386.33
QY_max	0.87	0.88	0.89	0.88	0.88	0.88	0.89	0.89	0.87	0.87	0.88	0.88	0.87	0.88	0.88	0.87	0.88
Fv/Fm_L1	0.85	0.86	0.87	0.86	0.87	0.87	0.88	0.88	0.86	0.85	0.86	0.87	0.86	0.86	0.87	0.86	0.86
Fv/Fm_L2	0.80	0.80	0.82	0.82	0.83	0.81	0.84	0.83	0.80	0.79	0.81	0.83	0.81	0.80	0.83	0.81	0.82
Fv/Fm_L3	0.78	0.77	0.80	0.79	0.80	0.78	0.81	0.79	0.75	0.76	0.77	0.80	0.77	0.75	0.80	0.76	0.78
