FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
Size [pixels]	1092	2277	739	961	1871	2257	784	3696	2344	883	590	641
Fo	61.46	51.68	46.43	103.12	74.30	47.09	92.47	75.53	45.88	103.63	70.70	105.73
Fo_gauss	61.46	51.68	46.43	103.12	74.30	47.09	92.47	75.53	45.88	103.63	70.70	105.73
Fo_median	49.27	39.86	34.80	89.74	60.55	35.59	73.79	61.42	34.61	89.01	56.72	87.77
Fm	515.68	441.69	406.68	766.46	592.99	403.25	676.75	587.44	408.29	765.63	568.70	754.29
Fv	454.22	390.00	360.25	663.34	518.69	356.15	584.28	511.91	362.41	661.99	498.00	648.57
Fp	548.30	476.13	430.57	801.81	622.03	436.50	701.30	628.54	438.88	803.26	614.13	776.79
Fp-median	502.28	427.23	383.99	746.22	575.67	393.90	631.82	570.48	397.10	745.94	561.28	709.15
Fp-gauss	677.88	604.94	553.58	951.70	756.13	566.88	852.72	779.76	569.20	954.81	750.16	928.77
Fp-average	593.75	522.34	474.61	855.20	672.70	483.88	762.31	682.87	487.37	856.02	664.61	833.36
Fm_L1	458.70	393.32	359.57	609.27	547.89	368.93	593.38	488.40	372.24	630.24	497.95	640.15
Fm_L2	313.83	281.06	248.41	404.80	400.43	265.90	401.33	316.18	269.24	407.69	336.94	416.08
Fm_L3	263.10	223.65	202.38	331.08	307.40	218.90	316.60	258.47	218.57	335.42	264.39	343.17
Fm_L4	222.83	183.49	174.17	275.66	257.04	186.26	263.08	215.31	183.71	280.25	222.70	294.53
Fm_Lss	201.55	167.76	156.87	246.98	230.77	167.42	234.98	191.39	165.90	252.61	205.81	261.06
Fm_D1	400.67	351.40	305.39	602.52	501.01	341.83	540.30	464.16	343.62	604.56	464.68	579.24
Fm_D2	452.65	387.32	361.05	647.74	528.12	358.64	574.39	489.74	355.99	647.73	498.87	638.83
Fm_D3	458.87	390.24	366.37	658.07	529.89	357.69	583.51	491.67	357.13	655.86	506.37	650.60
Ft_L1	454.93	393.21	355.80	636.77	535.91	360.83	598.69	496.71	361.97	653.63	497.88	652.49
Ft_L2	316.23	275.93	252.65	396.81	399.55	269.13	397.35	314.72	272.75	404.63	331.69	408.35
Ft_L3	267.19	226.21	204.02	323.49	305.78	223.17	311.81	249.45	219.36	328.17	264.30	332.33
Ft_L4	224.94	186.01	170.00	269.92	249.70	187.82	261.51	207.09	185.90	271.88	222.56	280.57
Ft_Lss	200.09	164.23	153.35	246.92	220.71	167.37	227.72	186.89	160.24	246.42	203.83	249.12
Ft_D1	80.29	69.42	56.91	129.68	92.59	64.05	117.71	96.30	64.12	131.10	89.43	133.32
Ft_D2	78.90	67.15	62.21	128.38	92.53	61.11	116.13	93.20	61.06	131.89	90.24	130.71
Ft_D3	79.54	65.81	59.30	127.55	90.13	60.03	112.46	90.48	58.54	127.92	88.36	125.49
Fo_L1	60.53	50.90	45.69	99.59	73.51	46.58	90.69	73.52	45.35	100.63	69.42	103.01
Fo_L2	56.87	48.18	42.99	91.73	69.82	44.16	84.22	67.62	43.16	92.23	64.83	94.48
Fo_L3	54.82	45.96	41.22	87.16	66.15	42.48	79.57	64.33	41.41	87.85	61.35	89.92
Fo_L4	52.67	43.77	39.76	82.58	63.30	40.97	75.38	61.03	39.80	83.37	58.69	85.99
Fo_Lss	51.26	42.71	38.73	79.66	61.45	39.85	72.84	58.74	38.81	80.61	57.32	82.75
Fo_D1	59.34	50.03	44.62	99.33	72.56	46.05	89.23	72.74	44.82	99.90	68.65	101.28
Fo_D2	60.43	50.79	45.71	100.56	73.14	46.38	90.15	73.41	45.01	101.04	69.39	103.00
Fo_D3	60.53	50.83	45.83	100.83	73.18	46.38	90.38	73.45	45.05	101.27	69.59	103.34
Fv_L1	398.17	342.42	313.88	509.68	474.38	322.35	502.69	414.89	326.90	529.62	428.53	537.14
Fv_L2	256.96	232.89	205.42	313.07	330.61	221.74	317.11	248.56	226.08	315.45	272.11	321.59
Fv_L3	208.28	177.69	161.16	243.92	241.25	176.42	237.03	194.14	177.16	247.57	203.04	253.26
Fv_L4	170.16	139.72	134.42	193.09	193.74	145.29	187.70	154.28	143.90	196.87	164.01	208.54
Fv_Lss	150.29	125.05	118.14	167.32	169.32	127.57	162.14	132.65	127.09	172.01	148.49	178.31
Fv_D1	341.34	301.37	260.77	503.18	428.45	295.78	451.07	391.42	298.80	504.66	396.03	477.96
