FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	3715	1970	2826	1046	300	1425	1667	738	665	1106	409	471	738
Fo	96.48	80.55	92.54	55.24	28.91	54.58	58.72	63.94	68.83	75.78	55.65	64.44	122.64
Fo_gauss	96.48	80.55	92.54	55.24	28.91	54.58	58.72	63.94	68.83	75.78	55.65	64.44	122.64
Fo_median	82.50	66.71	78.56	43.13	19.98	42.90	46.41	51.60	55.49	62.48	43.36	51.05	107.06
Fm	789.28	674.25	754.43	490.71	286.23	489.66	516.89	522.41	568.36	611.59	448.01	536.70	909.22
Fv	692.81	593.70	661.89	435.47	257.32	435.08	458.17	458.47	499.52	535.81	392.37	472.26	786.58
Fp	820.57	705.49	778.70	513.01	295.21	507.49	544.04	553.80	610.83	644.25	476.71	559.96	930.82
Fp-median	762.46	649.91	722.56	466.76	253.70	461.97	497.35	507.19	559.78	591.10	429.38	507.95	870.78
Fp-gauss	972.81	846.62	924.25	632.80	404.59	629.50	666.24	680.09	745.08	784.25	604.28	692.66	1085.55
Fp-average	873.43	754.27	829.01	556.22	332.75	550.23	586.88	598.54	660.11	693.45	521.92	607.42	988.38
Fm_L1	720.94	601.10	652.07	448.63	237.76	451.10	476.22	474.03	525.91	547.26	412.53	492.01	795.47
Fm_L2	505.03	427.30	431.50	342.08	179.38	341.21	353.58	320.03	370.59	385.06	315.60	364.94	518.39
Fm_L3	420.38	344.11	346.25	261.15	145.04	271.24	283.56	241.65	307.05	312.48	230.62	288.98	435.37
Fm_L4	362.11	282.91	277.31	209.85	125.91	224.76	232.76	196.17	259.87	259.37	184.46	240.56	369.41
Fm_Lss	325.71	251.73	243.14	184.27	108.79	199.46	208.34	177.01	237.27	225.49	164.51	218.68	330.89
Fm_D1	646.50	542.88	605.88	415.19	210.75	405.24	416.32	429.17	434.29	485.03	379.78	429.33	751.32
Fm_D2	671.19	567.45	631.06	427.98	228.19	433.54	452.16	452.46	489.24	517.96	400.44	452.47	784.50
Fm_D3	674.82	574.69	630.48	428.59	224.01	432.83	453.65	451.33	503.06	527.11	403.25	450.78	782.89
Ft_L1	707.65	599.32	654.85	437.00	237.91	426.53	459.83	459.34	519.58	539.73	395.35	470.77	791.17
Ft_L2	514.52	423.69	423.51	346.24	190.50	340.94	353.50	325.09	368.79	380.75	313.21	365.33	513.79
Ft_L3	403.02	328.37	335.10	254.18	147.23	266.69	277.33	245.26	298.80	299.43	230.47	287.31	421.12
Ft_L4	333.80	269.08	271.05	192.76	116.46	207.30	217.33	192.63	251.41	247.21	179.63	232.70	348.90
Ft_Lss	299.92	238.79	236.23	160.89	96.32	177.07	188.58	165.04	223.92	215.74	154.95	205.70	315.00
Ft_D1	122.37	100.08	116.39	71.17	33.87	70.08	70.98	78.47	81.17	92.78	71.30	81.56	150.73
Ft_D2	123.68	103.59	116.11	70.30	37.13	71.67	76.42	79.37	89.69	93.84	72.76	81.60	151.74
