FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
Size [pixels]	2643	1446	1584	4049	1928	793	463	676	786	407	243	428
Fo	74.81	107.83	96.77	51.61	68.26	59.61	51.78	38.41	89.99	82.69	59.95	80.65
Fo_gauss	74.81	107.83	96.77	51.61	68.26	59.61	51.78	38.41	89.99	82.69	59.95	80.65
Fo_median	60.69	91.46	82.85	39.63	55.06	47.02	40.04	26.98	75.81	66.77	46.05	64.89
Fm	621.21	839.50	760.85	453.47	568.00	486.81	461.24	341.64	706.98	618.10	486.54	620.59
Fv	546.40	731.66	664.08	401.86	499.74	427.20	409.46	303.24	616.99	535.42	426.59	539.94
Fp	654.02	865.23	792.90	494.72	600.65	532.19	490.34	369.79	731.57	641.56	518.58	649.19
Fp-median	597.46	804.79	739.42	444.48	551.11	481.97	443.28	336.60	675.83	577.24	462.05	593.68
Fp-gauss	795.22	1017.09	936.15	632.69	731.47	668.01	618.92	478.44	875.74	783.35	663.30	787.81
Fp-average	702.71	918.83	843.72	543.96	646.99	579.05	536.08	409.19	782.49	692.01	575.47	700.53
Fm_L1	553.02	730.48	677.29	403.00	516.18	447.07	410.18	306.44	617.27	530.61	415.59	555.70
Fm_L2	401.73	469.89	453.93	302.42	371.80	338.64	304.70	258.27	402.00	370.80	273.62	375.62
Fm_L3	335.07	401.69	350.24	253.31	292.29	283.05	243.06	207.38	318.10	289.94	227.19	301.71
Fm_L4	286.18	343.02	282.26	217.95	245.77	240.73	207.41	170.22	265.90	240.22	197.40	261.16
Fm_Lss	261.08	305.72	251.03	200.42	220.86	226.16	183.58	154.87	239.97	213.15	174.60	240.07
Fm_D1	486.94	668.56	607.08	343.18	468.77	371.26	375.98	288.04	556.07	469.89	370.02	506.85
Fm_D2	511.17	707.24	639.68	365.79	488.38	416.67	390.07	302.24	585.21	499.33	402.99	540.01
Fm_D3	514.02	715.63	645.79	371.89	492.69	425.39	389.30	302.19	591.02	504.79	410.40	545.18
