FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12
Size [pixels]	787	630	469	434	400	303	1090	901	495	623	633	643
Fo	72.23	69.68	35.64	40.47	59.33	58.33	89.71	71.07	76.48	60.28	53.61	44.95
Fo_gauss	72.23	69.68	35.64	40.47	59.33	58.33	89.71	71.07	76.48	60.28	53.61	44.95
Fo_median	56.28	52.54	25.39	28.92	44.42	42.89	71.97	56.34	60.53	46.28	40.52	32.16
Fm	564.02	581.54	319.32	364.09	482.28	463.75	700.61	576.04	577.55	493.02	426.27	378.52
Fv	491.80	511.86	283.68	323.62	422.96	405.42	610.91	504.97	501.07	432.74	372.66	333.57
Fp	596.55	604.18	349.37	385.49	508.37	493.14	725.76	610.00	610.67	518.54	462.82	417.38
Fp-median	534.84	535.98	301.65	337.99	446.93	433.29	656.73	554.28	548.09	468.79	412.08	366.32
Fp-gauss	737.41	756.10	487.24	514.53	645.27	640.38	881.81	748.64	751.26	651.88	600.42	554.47
Fp-average	652.55	666.06	400.47	434.56	565.25	552.04	788.14	666.16	664.86	569.33	514.93	467.65
Fm_L1	486.15	503.73	264.38	312.46	428.90	416.79	593.62	517.81	509.57	434.21	360.36	330.72
Fm_L2	335.82	379.99	179.20	227.04	297.63	291.88	404.80	412.39	352.45	294.64	245.48	253.85
Fm_L3	283.48	316.09	150.36	189.73	231.44	232.11	339.12	331.02	288.61	247.23	208.48	208.68
Fm_L4	245.92	276.81	130.76	165.14	198.62	204.62	288.83	283.22	243.04	207.83	180.41	180.68
Fm_Lss	227.21	257.81	118.92	155.09	179.84	182.08	263.75	259.54	219.28	193.42	163.99	172.07
Fm_D1	455.47	415.61	242.71	269.79	388.64	363.40	524.64	447.07	465.46	393.45	342.75	284.70
Fm_D2	466.27	453.36	261.77	291.09	395.79	382.22	554.53	476.52	477.39	413.48	358.00	306.35
Fm_D3	469.16	465.37	256.75	294.69	400.03	380.35	554.02	481.93	479.60	417.08	356.27	312.55
Ft_L1	487.48	507.71	275.00	312.92	431.95	422.98	611.38	519.39	517.62	439.44	364.41	337.94
Ft_L2	338.87	378.24	181.16	230.10	302.74	295.70	403.08	410.64	355.29	300.95	242.39	256.78
Ft_L3	280.10	309.02	148.20	193.17	235.69	233.77	328.57	330.58	285.43	243.16	210.95	202.30
Ft_L4	240.55	267.55	130.80	160.69	200.74	198.35	285.80	278.37	241.77	207.35	179.46	177.40
Ft_Lss	220.56	246.83	121.48	156.58	176.71	178.04	259.67	254.16	216.42	183.93	163.06	164.56
Ft_D1	87.29	89.17	43.94	51.15	77.10	73.68	108.99	87.77	96.86	72.24	67.18	53.10
Ft_D2	90.87	91.38	42.78	49.82	74.09	70.56	111.31	91.56	91.91	74.62	64.88	56.63
Ft_D3	89.22	87.84	45.18	54.26	69.14	69.77	107.40	89.95	89.82	71.99	65.15	56.22
Fo_L1	70.74	68.39	34.63	39.62	58.42	57.46	87.64	70.07	75.12	59.27	52.36	44.15
Fo_L2	66.13	65.30	32.32	37.65	54.83	53.85	81.74	67.57	70.26	55.40	48.67	42.23
Fo_L3	63.70	62.98	31.08	36.24	51.83	51.34	78.54	64.81	67.16	53.30	46.86	40.58
Fo_L4	61.42	61.09	30.00	35.15	49.95	49.74	75.29	62.65	64.25	51.08	45.09	39.19
Fo_Lss	60.03	60.10	29.21	34.58	48.47	48.05	73.47	61.32	62.25	50.08	43.90	38.73
Fo_D1	69.89	66.37	34.27	38.74	57.47	56.08	85.90	68.49	73.99	58.32	51.89	43.10
Fo_D2	70.15	67.30	34.67	39.22	57.55	56.58	86.69	69.20	74.37	58.85	52.30	43.63
Fo_D3	70.21	67.59	34.56	39.29	57.64	56.53	86.68	69.30	74.38	58.90	52.26	43.78
Fv_L1	415.42	435.34	229.75	272.84	370.47	359.33	505.98	447.74	434.45	374.94	308.00	286.57
Fv_L2	269.69	314.69	146.88	189.39	242.80	238.03	323.06	344.82	282.20	239.24	196.81	211.62
Fv_L3	219.77	253.11	119.29	153.49	179.61	180.77	260.59	266.21	221.44	193.94	161.62	168.10
Fv_L4	184.49	215.72	100.75	129.99	148.67	154.88	213.54	220.57	178.80	156.75	135.32	141.49
Fv_Lss	167.18	197.71	89.71	120.52	131.37	134.02	190.28	198.22	157.03	143.34	120.09	133.34
Fv_D1	385.58	349.25	208.44	231.05	331.17	307.31	438.74	378.57	391.46	335.13	290.86	241.60
Fv_D2	396.12	386.06	227.11	251.87	338.24	325.64	467.85	407.32	403.02	354.63	305.70	262.71
Fv_D3	398.94	397.78	222.18	255.40	342.39	323.83	467.34	412.63	405.22	358.18	304.02	268.76
Fq_L1	-1.33	-3.98	-10.61	-0.46	-3.05	-6.19	-17.76	-1.58	-8.05	-5.23	-4.05	-7.22
Fq_L2	-3.05	1.75	-1.97	-3.06	-5.11	-3.82	1.72	1.75	-2.84	-6.31	3.09	-2.93
Fq_L3	3.37	7.08	2.16	-3.44	-4.25	-1.66	10.55	0.44	3.18	4.07	-2.47	6.38
Fq_L4	5.36	9.26	-0.05	4.45	-2.11	6.27	3.03	4.85	1.27	0.47	0.95	3.28
Fq_Lss	6.65	10.99	-2.57	-1.49	3.12	4.03	4.08	5.38	2.86	9.49	0.92	7.51
Fq_D1	368.18	326.44	198.77	218.63	311.54	289.72	415.65	359.30	368.59	321.21	275.58	231.61
Fq_D2	375.40	361.98	218.99	241.26	321.70	311.66	443.22	384.96	385.48	338.87	293.12	249.72
Fq_D3	379.93	377.53	211.57	240.43	330.89	310.58	446.62	391.98	389.79	345.09	291.13	256.33
QY_max	0.87	0.88	0.89	0.89	0.88	0.87	0.87	0.88	0.87	0.88	0.87	0.88
Fv/Fm_L1	0.85	0.86	0.86	0.87	0.86	0.86	0.85	0.86	0.85	0.86	0.85	0.86
Fv/Fm_L2	0.80	0.83	0.81	0.83	0.81	0.81	0.80	0.84	0.80	0.81	0.80	0.83
Fv/Fm_L3	0.77	0.80	0.78	0.80	0.77	0.77	0.77	0.80	0.77	0.78	0.77	0.80
Fv/Fm_L4	0.75	0.78	0.76	0.78	0.74	0.75	0.74	0.78	0.73	0.75	0.75	0.78
Fv/Fm_Lss	0.73	0.76	0.74	0.77	0.72	0.73	0.72	0.76	0.71	0.74	0.73	0.77
Fv/Fm_D1	0.84	0.84	0.85	0.85	0.85	0.84	0.83	0.85	0.84	0.85	0.85	0.85
Fv/Fm_D2	0.85	0.85	0.86	0.86	0.85	0.85	0.84	0.85	0.84	0.86	0.85	0.86
Fv/Fm_D3	0.85	0.85	0.86	0.86	0.85	0.85	0.84	0.86	0.84	0.86	0.85	0.86
QY_L1	-0.01	-0.02	-0.08	-0.03	-0.02	-0.03	-0.04	-0.01	-0.03	-0.02	-0.03	-0.04
QY_L2	-0.02	-0.01	-0.08	-0.05	-0.04	-0.04	-0.01	-0.01	-0.02	-0.04	-0.02	-0.05
QY_L3	-0.01	-0.00	-0.05	-0.07	-0.05	-0.05	0.02	-0.02	-0.01	-0.00	-0.06	-0.02
QY_L4	-0.00	0.01	-0.09	-0.03	-0.05	-0.01	-0.01	-0.00	-0.02	-0.02	-0.04	-0.03
QY_Lss	0.00	0.01	-0.12	-0.07	-0.01	-0.02	-0.01	0.00	-0.02	0.02	-0.04	-0.01
QY_D1	0.81	0.78	0.81	0.81	0.80	0.80	0.79	0.80	0.79	0.81	0.80	0.81
QY_D2	0.81	0.80	0.83	0.82	0.81	0.82	0.80	0.81	0.81	0.82	0.82	0.81
QY_D3	0.81	0.81	0.82	0.81	0.83	0.82	0.81	0.81	0.81	0.83	0.82	0.81
NPQ_L1	0.18	0.17	0.26	0.19	0.15	0.13	0.19	0.12	0.16	0.15	0.21	0.17
NPQ_L2	0.71	0.55	0.90	0.66	0.66	0.63	0.75	0.41	0.69	0.71	0.80	0.55
NPQ_L3	1.06	0.89	1.29	1.02	1.17	1.09	1.11	0.76	1.05	1.05	1.13	0.91
NPQ_L4	1.36	1.16	1.65	1.33	1.54	1.37	1.48	1.07	1.46	1.45	1.48	1.21
NPQ_Lss	1.59	1.33	1.94	1.50	1.86	1.72	1.73	1.26	1.75	1.64	1.73	1.33
