FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	664	846	525	667	747	642	1651	1619	1261	1391	731	652	602
Fo	65.46	81.20	75.11	71.90	70.43	59.34	82.43	87.84	38.91	62.34	33.57	52.94	39.94
Fo_gauss	65.46	81.20	75.11	71.90	70.43	59.34	82.43	87.84	38.91	62.34	33.57	52.94	39.94
Fo_median	50.67	62.93	58.61	56.07	55.83	44.25	66.86	69.90	27.54	49.05	23.18	40.06	29.00
Fm	528.39	627.63	575.63	561.36	557.10	510.00	635.92	663.53	338.24	505.38	301.68	426.79	339.39
Fv	462.93	546.43	500.52	489.45	486.67	450.66	553.49	575.69	299.34	443.03	268.10	373.85	299.45
Fp	547.11	652.83	599.58	589.39	579.36	524.87	671.08	688.66	370.55	526.14	321.07	459.35	374.36
Fp-median	497.15	580.26	537.66	530.65	524.42	470.34	613.08	617.98	322.90	475.98	277.70	410.94	325.71
Fp-gauss	674.14	806.01	736.90	733.43	709.57	646.34	809.93	839.92	501.92	654.49	441.59	592.76	510.23
Fp-average	596.41	716.65	653.72	647.90	629.59	573.73	724.65	748.20	418.66	574.61	365.70	510.66	427.52
Fm_L1	474.59	538.57	516.60	504.59	500.63	459.79	571.67	524.52	297.15	442.67	260.35	377.53	302.16
Fm_L2	342.23	366.53	366.61	368.06	339.71	371.61	433.05	354.78	216.41	300.54	191.54	258.63	235.51
Fm_L3	283.69	315.08	284.91	305.84	278.84	309.25	354.56	313.84	181.35	250.59	162.32	213.02	201.29
Fm_L4	245.32	276.88	248.73	273.65	242.91	261.83	309.65	266.14	157.26	216.57	146.04	183.12	168.15
Fm_Lss	235.93	266.42	224.97	251.81	226.60	244.76	285.95	241.76	148.61	200.54	134.20	166.17	165.21
Fm_D1	401.46	455.43	451.21	417.08	448.57	390.95	490.92	503.98	252.01	403.03	235.81	347.92	247.56
Fm_D2	439.80	495.40	473.31	453.20	471.45	437.76	528.07	529.57	276.02	416.57	245.26	362.24	271.30
Fm_D3	440.72	497.81	477.32	465.38	468.80	439.92	533.20	529.97	275.55	418.44	250.53	361.63	270.61
Ft_L1	461.27	551.81	512.48	496.95	490.17	439.95	570.28	548.20	296.72	426.92	244.34	379.10	302.62
Ft_L2	354.78	370.14	373.11	368.21	344.73	367.63	430.99	349.23	218.53	305.90	194.49	263.75	240.44
Ft_L3	275.85	311.55	288.47	303.50	275.55	297.28	348.11	305.68	182.06	250.91	162.63	211.17	196.85
Ft_L4	235.03	271.15	247.10	270.76	239.82	237.12	300.70	258.34	155.24	210.11	140.82	182.79	165.89
Ft_Lss	223.13	257.41	222.97	247.51	220.70	212.34	277.26	238.71	150.11	187.92	124.48	164.91	160.56
Ft_D1	78.16	96.42	89.43	81.81	87.14	73.63	97.65	109.01	44.42	73.75	40.82	66.12	47.45
Ft_D2	78.10	102.77	89.87	87.14	86.24	77.63	101.49	106.31	48.09	74.14	39.29	61.68	48.80
Ft_D3	77.76	97.73	88.05	84.87	80.33	75.35	101.34	102.46	47.64	73.69	43.32	63.60	48.20
Fo_L1	64.53	79.42	73.97	70.83	69.39	58.55	81.21	84.72	38.25	61.20	32.93	52.14	39.32
Fo_L2	61.10	74.04	69.64	67.19	64.88	56.70	77.50	78.35	36.27	57.19	31.29	48.70	37.74
Fo_L3	58.79	71.59	65.92	64.58	62.18	54.91	74.44	76.08	34.94	54.98	30.23	46.60	36.61
Fo_L4	56.88	69.27	63.59	62.95	60.03	53.11	72.14	72.71	33.78	52.99	29.50	44.84	35.12
Fo_Lss	56.29	68.58	61.82	61.66	58.90	52.24	70.67	70.58	33.30	51.89	28.91	43.60	34.95
Fo_D1	62.89	77.18	72.37	68.68	68.27	57.15	79.30	84.00	37.23	60.34	32.41	51.38	38.04
Fo_D2	63.81	78.34	72.94	69.61	68.76	58.14	80.24	84.73	37.80	60.66	32.61	51.70	38.63
Fo_D3	63.84	78.38	73.01	69.88	68.73	58.16	80.34	84.70	37.76	60.69	32.74	51.72	38.61
Fv_L1	410.06	459.16	442.64	433.76	431.24	401.24	490.46	439.81	258.90	381.47	227.43	325.38	262.84
Fv_L2	281.13	292.49	296.97	300.88	274.83	314.91	355.55	276.43	180.14	243.35	160.25	209.93	197.77
Fv_L3	224.91	243.49	218.99	241.26	216.66	254.34	280.12	237.76	146.42	195.61	132.09	166.42	164.68
Fv_L4	188.44	207.61	185.14	210.70	182.88	208.72	237.52	193.44	123.48	163.57	116.54	138.28	133.03
Fv_Lss	179.64	197.84	163.14	190.15	167.70	192.52	215.28	171.19	115.31	148.65	105.29	122.57	130.26
Fv_D1	338.57	378.25	378.84	348.40	380.30	333.79	411.62	419.98	214.78	342.70	203.40	296.55	209.52
Fv_D2	376.00	417.06	400.37	383.59	402.69	379.63	447.83	444.84	238.22	355.92	212.65	310.54	232.67
