FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	1517	809	492	886	484	1357	876	626	699	459
Fo	80.28	61.02	74.39	49.12	43.60	84.00	70.72	66.55	54.06	73.78
Fo_gauss	80.28	61.02	74.39	49.12	43.60	84.00	70.72	66.55	54.06	73.78
Fo_median	64.35	47.42	58.80	37.13	32.36	68.92	55.39	52.27	40.84	57.02
Fm	589.77	476.91	561.34	422.79	375.16	620.20	543.92	505.09	451.47	554.10
Fv	509.49	415.89	486.95	373.67	331.56	536.20	473.21	438.54	397.41	480.32
Fp	620.57	508.12	579.15	439.49	387.54	653.68	565.74	544.20	469.38	581.24
Fp-median	564.09	457.55	521.91	393.35	343.86	599.96	510.24	490.42	426.13	520.14
Fp-gauss	762.21	642.23	724.33	562.07	510.93	790.44	705.08	682.27	588.65	725.17
Fp-average	674.94	559.62	636.83	484.91	433.71	703.86	619.44	597.25	515.52	641.14
Fm_L1	502.77	427.99	476.36	363.88	315.26	535.71	471.48	428.62	401.58	497.55
Fm_L2	335.47	312.53	328.57	240.37	212.01	356.08	330.82	292.79	309.00	363.95
Fm_L3	284.65	254.07	256.46	194.77	178.01	293.42	271.04	238.35	245.93	273.72
Fm_L4	248.60	223.95	217.38	171.58	157.71	259.10	239.09	207.88	212.05	215.70
Fm_Lss	238.71	213.17	199.71	162.89	149.53	244.30	227.05	191.22	197.99	201.89
Fm_D1	459.99	371.94	410.07	338.05	283.89	492.44	424.72	400.16	363.82	423.95
Fm_D2	479.70	399.54	431.88	349.05	292.42	508.90	442.80	419.31	384.12	461.59
Fm_D3	483.90	406.36	434.11	352.00	299.39	509.75	447.05	419.26	387.71	463.41
Ft_L1	507.48	421.23	480.81	357.48	314.11	541.94	471.94	441.31	388.50	498.06
Ft_L2	334.68	315.58	332.70	250.43	223.83	357.42	335.15	294.33	308.62	367.87
Ft_L3	281.23	253.59	252.46	195.13	184.12	286.28	269.44	236.53	233.45	269.37
Ft_L4	245.95	221.92	214.99	165.26	152.68	254.36	237.31	204.04	190.79	217.71
Ft_Lss	233.15	210.74	197.02	149.28	142.30	236.28	217.75	195.71	168.64	198.89
Ft_D1	102.99	83.83	92.53	63.45	54.95	110.39	92.37	94.14	70.24	104.95
Ft_D2	102.55	84.22	89.21	62.09	55.37	107.90	92.79	89.49	71.24	100.92
Ft_D3	101.70	82.30	88.81	63.33	54.99	105.02	88.48	90.53	70.04	97.42
Fo_L1	78.36	60.08	72.58	48.13	42.52	82.21	69.30	64.97	53.23	72.65
Fo_L2	72.44	56.92	67.55	44.85	39.62	75.98	64.98	60.44	51.05	68.67
Fo_L3	69.61	54.49	63.60	42.74	38.08	72.58	62.09	57.52	48.85	64.45
Fo_L4	67.05	52.78	60.78	41.44	36.91	70.11	60.10	55.32	47.15	60.35
Fo_Lss	66.26	52.11	59.18	40.69	36.40	68.87	59.29	54.06	46.36	59.23
Fo_D1	77.16	58.75	70.47	47.59	41.87	81.02	68.06	64.22	52.43	70.76
Fo_D2	77.73	59.43	71.16	47.86	42.02	81.49	68.56	64.72	52.91	71.79
Fo_D3	77.86	59.59	71.23	47.89	42.19	81.52	68.60	64.71	52.95	71.85
Fv_L1	424.40	367.91	403.77	315.75	272.74	453.50	402.18	363.65	348.35	424.90
Fv_L2	263.03	255.61	261.01	195.53	172.40	280.10	265.84	232.35	257.95	295.28
Fv_L3	215.04	199.58	192.86	152.03	139.93	220.84	208.95	180.83	197.08	209.26
Fv_L4	181.54	171.18	156.60	130.14	120.80	188.99	178.99	152.55	164.91	155.35
Fv_Lss	172.45	161.06	140.53	122.19	113.13	175.44	167.76	137.16	151.63	142.66
Fv_D1	382.83	313.19	339.60	290.46	242.02	411.41	356.66	335.93	311.40	353.19
Fv_D2	401.97	340.11	360.73	301.20	250.41	427.41	374.24	354.59	331.21	389.80
Fv_D3	406.04	346.77	362.87	304.11	257.20	428.23	378.45	354.55	334.76	391.56
Fq_L1	-4.72	6.77	-4.45	6.40	1.15	-6.22	-0.45	-12.69	13.08	-0.51
Fq_L2	0.79	-3.05	-4.13	-10.05	-11.81	-1.34	-4.32	-1.54	0.38	-3.92
Fq_L3	3.42	0.47	4.01	-0.36	-6.11	7.14	1.61	1.82	12.48	4.35
Fq_L4	2.64	2.03	2.39	6.32	5.03	4.74	1.78	3.84	21.26	-2.01
Fq_Lss	5.57	2.43	2.70	13.61	7.23	8.02	9.31	-4.48	29.35	2.99
Fq_D1	357.00	288.11	317.54	274.60	228.94	382.05	332.35	306.02	293.58	319.00
Fq_D2	377.15	315.32	342.67	286.97	237.06	401.00	350.01	329.83	312.88	360.67
Fq_D3	382.20	324.06	345.30	288.67	244.41	404.73	358.57	328.73	317.67	365.99
QY_max	0.86	0.87	0.87	0.88	0.88	0.86	0.87	0.87	0.88	0.87
Fv/Fm_L1	0.84	0.86	0.85	0.87	0.86	0.85	0.85	0.85	0.87	0.85
Fv/Fm_L2	0.78	0.82	0.79	0.81	0.81	0.79	0.80	0.79	0.83	0.81
Fv/Fm_L3	0.75	0.78	0.75	0.77	0.78	0.75	0.77	0.75	0.80	0.76
Fv/Fm_L4	0.73	0.76	0.71	0.75	0.76	0.73	0.74	0.73	0.77	0.72
Fv/Fm_Lss	0.72	0.75	0.69	0.74	0.75	0.71	0.73	0.71	0.76	0.70
Fv/Fm_D1	0.83	0.84	0.82	0.86	0.85	0.83	0.84	0.84	0.85	0.83
Fv/Fm_D2	0.84	0.85	0.83	0.86	0.85	0.84	0.84	0.84	0.86	0.84
Fv/Fm_D3	0.84	0.85	0.83	0.86	0.86	0.84	0.84	0.84	0.86	0.84
QY_L1	-0.02	0.01	-0.02	0.00	-0.02	-0.02	-0.01	-0.04	0.03	-0.01
QY_L2	-0.01	-0.03	-0.04	-0.07	-0.10	-0.02	-0.03	-0.03	-0.01	-0.03
QY_L3	-0.01	-0.03	-0.03	-0.03	-0.09	0.01	-0.02	-0.02	0.04	-0.01
