FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11
Size [pixels]	923	623	851	877	1787	2425	1603	1467	916	623	695
Fo	80.34	48.51	65.07	88.77	102.45	89.80	58.59	46.46	75.74	56.85	90.99
Fo_gauss	80.34	48.51	65.07	88.77	102.45	89.80	58.59	46.46	75.74	56.85	90.99
Fo_median	63.10	34.42	50.55	70.02	85.06	72.96	45.33	33.39	58.47	41.89	73.37
Fm	602.18	406.37	493.49	671.32	772.23	675.58	470.19	383.79	597.19	436.94	676.86
Fv	521.84	357.86	428.42	582.55	669.77	585.78	411.59	337.33	521.45	380.09	585.87
Fp	625.11	424.80	529.34	695.31	796.03	702.64	501.81	405.26	621.31	473.99	701.89
Fp-median	565.18	369.56	469.65	620.25	728.85	631.97	451.46	354.06	552.56	415.92	632.52
Fp-gauss	758.02	552.00	671.12	850.52	950.37	851.48	630.32	530.40	767.78	610.58	843.07
Fp-average	676.88	478.19	582.71	754.47	854.18	758.41	549.63	453.40	679.27	528.06	756.80
Fm_L1	533.31	364.16	404.19	567.65	673.36	580.48	416.68	335.60	516.32	389.91	588.39
Fm_L2	354.22	270.18	271.55	395.83	466.65	388.67	295.86	222.91	376.83	259.83	432.52
Fm_L3	303.87	230.47	242.04	351.81	417.08	348.32	253.42	192.52	329.34	221.85	381.28
Fm_L4	264.10	199.25	216.32	303.30	360.95	307.81	216.61	162.09	277.80	193.35	335.19
Fm_Lss	245.92	186.88	204.11	284.01	338.44	289.72	202.66	153.65	251.32	177.91	314.81
Fm_D1	489.37	319.73	375.09	503.65	591.99	518.37	390.95	305.26	441.23	363.95	534.49
Fm_D2	516.53	344.16	399.00	531.89	628.17	553.77	403.10	319.68	468.66	379.85	561.73
Fm_D3	520.49	348.00	400.90	539.14	636.79	563.41	405.71	324.18	474.08	383.87	565.58
Ft_L1	519.71	357.34	412.29	566.41	664.58	579.77	406.46	323.27	521.09	388.23	582.02
Ft_L2	355.72	273.50	267.55	389.01	468.55	380.98	291.15	225.33	378.59	263.88	427.50
Ft_L3	294.00	225.00	236.90	335.54	394.65	329.51	247.05	191.74	314.88	220.65	365.24
Ft_L4	247.24	189.35	212.19	290.06	341.14	285.57	207.78	158.32	265.75	186.64	317.66
Ft_Lss	225.31	169.35	199.14	268.57	312.79	270.28	188.68	142.01	238.21	169.91	296.17
Ft_D1	94.30	57.81	76.42	107.28	121.09	106.66	70.62	52.59	85.70	67.62	108.33
Ft_D2	98.71	60.95	78.93	107.05	124.25	108.75	72.82	54.77	89.17	69.94	112.31
Ft_D3	94.31	57.80	75.75	106.63	125.71	105.72	68.75	55.18	88.61	66.81	108.47
Fo_L1	78.93	47.78	63.14	86.59	100.45	87.82	57.64	45.59	74.23	55.93	89.14
Fo_L2	73.16	45.47	58.30	81.02	94.00	81.34	54.30	42.36	70.21	51.89	84.29
Fo_L3	70.64	44.06	56.69	78.85	91.72	79.33	52.56	40.95	68.26	50.04	82.03
Fo_L4	68.15	42.76	55.03	75.98	88.57	76.91	50.59	39.28	65.50	48.24	79.58
Fo_Lss	66.76	42.06	54.05	74.67	87.12	75.69	49.72	38.68	63.81	47.16	78.31
Fo_D1	77.83	46.89	62.25	84.89	98.37	86.18	57.03	44.89	72.17	55.33	87.76
Fo_D2	78.47	47.37	62.91	85.69	99.34	87.17	57.30	45.22	73.00	55.69	88.49
Fo_D3	78.57	47.44	62.95	85.89	99.56	87.40	57.36	45.34	73.13	55.83	88.57
Fv_L1	454.37	316.37	341.04	481.05	572.92	492.67	359.04	290.01	442.08	333.98	499.25
Fv_L2	281.05	224.71	213.26	314.81	372.65	307.33	241.56	180.54	306.62	207.93	348.23
Fv_L3	233.23	186.41	185.35	272.96	325.36	268.99	200.86	151.57	261.07	171.81	299.25
Fv_L4	195.95	156.50	161.29	227.32	272.38	230.90	166.02	122.81	212.30	145.11	255.61
Fv_Lss	179.16	144.82	150.06	209.35	251.32	214.03	152.94	114.97	187.51	130.76	236.49
Fv_D1	411.54	272.84	312.84	418.76	493.62	432.20	333.92	260.37	369.06	308.63	446.73
Fv_D2	438.06	296.79	336.09	446.20	528.83	466.60	345.80	274.45	395.67	324.16	473.24
Fv_D3	441.91	300.56	337.95	453.25	537.23	476.01	348.35	278.84	400.95	328.04	477.00
Fq_L1	13.60	6.82	-8.10	1.24	8.78	0.71	10.21	12.33	-4.77	1.68	6.37
Fq_L2	-1.50	-3.32	4.01	6.82	-1.90	7.69	4.70	-2.42	-1.77	-4.06	5.02
Fq_L3	9.87	5.47	5.14	16.26	22.43	18.81	6.37	0.78	14.46	1.20	16.04
Fq_L4	16.86	9.90	4.13	13.24	19.81	22.24	8.83	3.77	12.05	6.71	17.54
Fq_Lss	20.61	17.53	4.97	15.45	25.65	19.45	13.98	11.64	13.11	8.00	18.64
Fq_D1	395.07	261.92	298.67	396.36	470.90	411.71	320.32	252.67	355.53	296.33	426.17
Fq_D2	417.83	283.21	320.07	424.84	503.92	445.01	330.28	264.91	379.49	309.91	449.43
Fq_D3	426.17	290.20	325.15	432.51	511.08	457.69	336.96	269.00	385.47	317.05	457.10
QY_max	0.87	0.88	0.87	0.87	0.87	0.87	0.87	0.88	0.87	0.87	0.87
Fv/Fm_L1	0.85	0.87	0.84	0.85	0.85	0.85	0.86	0.86	0.85	0.86	0.85
Fv/Fm_L2	0.79	0.83	0.78	0.79	0.80	0.79	0.81	0.80	0.81	0.80	0.81
Fv/Fm_L3	0.77	0.80	0.76	0.77	0.78	0.77	0.79	0.78	0.79	0.77	0.78
Fv/Fm_L4	0.74	0.78	0.74	0.75	0.75	0.75	0.76	0.75	0.76	0.74	0.76
Fv/Fm_Lss	0.72	0.77	0.73	0.73	0.74	0.74	0.75	0.74	0.74	0.73	0.75
Fv/Fm_D1	0.84	0.85	0.83	0.83	0.83	0.83	0.85	0.85	0.83	0.85	0.84
Fv/Fm_D2	0.85	0.86	0.84	0.84	0.84	0.84	0.86	0.86	0.84	0.85	0.84
Fv/Fm_D3	0.85	0.86	0.84	0.84	0.84	0.85	0.86	0.86	0.84	0.85	0.84
QY_L1	0.02	0.01	-0.04	-0.01	0.00	-0.01	0.01	0.02	-0.02	-0.01	0.00
QY_L2	-0.01	-0.03	-0.02	0.01	-0.02	0.00	-0.01	-0.05	-0.02	-0.05	0.01
QY_L3	0.02	0.00	-0.02	0.03	0.04	0.04	-0.00	-0.04	0.02	-0.03	0.03
QY_L4	0.04	0.02	-0.03	0.00	0.03	0.05	0.01	-0.02	0.01	-0.01	0.04
QY_Lss	0.06	0.07	-0.03	0.02	0.06	0.04	0.04	0.03	0.01	-0.00	0.05
QY_D1	0.81	0.82	0.79	0.79	0.79	0.79	0.82	0.82	0.80	0.81	0.80
QY_D2	0.81	0.82	0.80	0.80	0.80	0.81	0.82	0.83	0.81	0.81	0.80
QY_D3	0.82	0.83	0.81	0.80	0.80	0.81	0.83	0.83	0.81	0.83	0.81
NPQ_L1	0.14	0.14	0.25	0.21	0.16	0.19	0.15	0.17	0.18	0.14	0.17
NPQ_L2	0.71	0.54	0.89	0.74	0.68	0.76	0.63	0.80	0.62	0.74	0.58
NPQ_L3	1.01	0.81	1.12	0.95	0.88	0.98	0.92	1.10	0.87	1.04	0.81
NPQ_L4	1.34	1.11	1.41	1.30	1.20	1.24	1.27	1.50	1.31	1.37	1.06
NPQ_Lss	1.54	1.26	1.62	1.43	1.35	1.41	1.42	1.66	1.55	1.62	1.19
NPQ_D1	0.26	0.31	0.40	0.36	0.35	0.34	0.23	0.30	0.43	0.23	0.29
NPQ_D2	0.19	0.21	0.33	0.29	0.27	0.25	0.19	0.24	0.34	0.17	0.23
NPQ_D3	0.18	0.20	0.31	0.28	0.25	0.23	0.18	0.22	0.32	0.16	0.22
qN_L1	0.12	0.11	0.19	0.17	0.14	0.16	0.12	0.13	0.15	0.11	0.15
qN_L2	0.46	0.37	0.50	0.46	0.45	0.47	0.41	0.46	0.41	0.45	0.40
qN_L3	0.56	0.48	0.57	0.53	0.52	0.54	0.51	0.55	0.50	0.55	0.49
qN_L4	0.63	0.56	0.63	0.61	0.60	0.60	0.60	0.64	0.60	0.62	0.57
qN_Lss	0.66	0.60	0.65	0.65	0.63	0.64	0.63	0.66	0.65	0.66	0.60
qN_D1	0.21	0.23	0.27	0.28	0.27	0.26	0.18	0.22	0.30	0.18	0.24
qN_D2	0.16	0.17	0.22	0.24	0.22	0.20	0.15	0.18	0.24	0.14	0.19
qN_D3	0.15	0.15	0.21	0.22	0.20	0.19	0.15	0.17	0.23	0.13	0.19
qP_L1	0.03	0.01	-0.05	-0.01	0.00	-0.02	0.01	0.02	-0.03	-0.01	0.00
qP_L2	-0.02	-0.05	-0.04	0.01	-0.04	0.00	-0.02	-0.07	-0.02	-0.06	0.00
qP_L3	0.02	-0.01	-0.04	0.03	0.05	0.04	-0.01	-0.07	0.02	-0.04	0.03
qP_L4	0.05	0.02	-0.06	-0.02	0.04	0.06	-0.01	-0.05	-0.03	-0.03	0.04
qP_Lss	0.07	0.08	-0.09	0.02	0.07	0.04	0.04	0.02	-0.04	-0.03	0.05
qP_D1	0.96	0.96	0.96	0.95	0.95	0.95	0.96	0.97	0.97	0.96	0.96
qP_D2	0.96	0.96	0.95	0.95	0.96	0.96	0.96	0.97	0.96	0.96	0.95
qP_D3	0.97	0.97	0.96	0.96	0.95	0.96	0.97	0.97	0.97	0.97	0.96
qL_L1	0.08	-0.17	-0.55	-0.27	-0.10	-0.34	-0.18	-0.20	-0.33	-0.29	-0.13
qL_L2	-0.26	-0.67	-0.57	-0.16	-0.39	-0.28	-0.36	-0.87	-0.34	-0.65	-0.16
qL_L3	-0.11	-0.35	-0.73	-0.11	0.07	-0.07	-0.44	-1.05	-0.16	-0.59	0.00
qL_L4	-0.14	-0.40	-0.78	-0.68	-0.14	-0.03	-0.41	-0.92	-0.58	-0.63	-0.10
qL_Lss	-0.08	-0.14	-1.24	-0.24	0.04	-0.22	-0.25	-0.66	-1.28	-0.65	-0.05
qL_D1	1.15	1.18	1.17	1.20	1.17	1.18	1.19	1.15	1.14	1.17	1.16
qL_D2	1.21	1.23	1.18	1.18	1.17	1.20	1.22	1.20	1.16	1.20	1.21
qL_D3	1.15	1.19	1.15	1.16	1.20	1.17	1.16	1.20	1.17	1.15	1.18
Rfd_L1	0.25	0.24	0.33	0.29	0.22	0.27	0.27	0.31	0.34	0.26	0.26
Rfd_L2	0.82	0.63	1.11	0.89	0.75	0.95	0.81	0.94	0.78	0.87	0.91
Rfd_L3	1.25	1.02	1.40	1.21	1.24	1.26	1.18	1.38	1.27	1.31	1.03
Rfd_L4	1.74	1.50	1.84	1.57	1.45	1.69	1.63	2.12	1.54	1.80	1.35
Rfd_Lss	2.10	1.81	2.02	1.78	1.73	1.86	2.01	2.84	2.01	2.11	1.57
