FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	1989	1586	2374	1860	1099	3819	1691	1682	2984	2199
Fo	51.93	50.43	62.64	80.36	80.79	104.19	118.77	61.38	88.55	45.90
Fo_gauss	51.93	50.43	62.64	80.36	80.79	104.19	118.77	61.38	88.55	45.90
Fo_median	39.85	38.02	48.50	63.96	63.81	88.26	99.89	46.32	72.90	33.98
Fm	443.19	440.45	530.53	634.46	660.40	811.87	877.01	499.87	697.64	396.28
Fv	391.27	390.02	467.89	554.10	579.61	707.68	758.24	438.49	609.08	350.38
Fp	472.73	456.51	550.79	651.93	675.35	841.24	903.75	529.85	721.18	425.12
Fp-median	424.76	408.99	497.94	585.91	606.66	778.16	829.44	470.85	660.04	375.24
Fp-gauss	602.92	581.40	678.95	796.09	826.15	993.45	1063.07	666.43	869.09	557.24
Fp-average	520.35	505.28	599.28	708.22	736.00	895.78	963.37	583.47	776.13	474.11
Fm_L1	391.72	391.69	466.89	545.50	571.96	708.71	768.17	447.71	606.76	345.98
Fm_L2	278.78	294.06	336.45	372.70	433.56	480.63	512.64	298.92	428.07	232.80
Fm_L3	241.47	251.99	286.53	324.57	376.02	420.83	448.80	255.85	370.48	198.12
Fm_L4	203.15	212.69	244.27	277.78	325.58	364.59	391.81	217.40	323.52	167.31
Fm_Lss	188.56	197.02	226.38	255.28	299.56	334.67	358.32	197.16	299.31	154.29
Fm_D1	360.99	358.60	435.61	484.96	495.70	628.32	685.05	407.85	542.70	313.05
Fm_D2	373.58	371.47	452.32	513.33	525.62	667.36	730.59	426.65	571.32	327.45
Fm_D3	380.74	373.81	456.66	525.31	531.23	681.53	744.71	433.13	580.39	332.57
Ft_L1	375.64	375.21	449.57	542.65	570.70	698.21	764.22	437.32	599.95	334.82
Ft_L2	272.06	291.49	330.57	363.63	422.92	473.43	507.74	293.10	415.26	230.20
Ft_L3	231.06	245.47	273.82	309.22	355.49	401.04	434.62	249.90	353.12	193.05
Ft_L4	194.86	202.45	224.77	261.13	307.46	336.61	362.29	207.93	301.12	163.65
Ft_Lss	174.03	178.58	196.53	235.13	280.43	306.04	325.22	182.39	273.92	147.64
Ft_D1	61.62	59.64	74.57	91.32	95.88	124.28	136.81	68.62	102.82	53.46
Ft_D2	65.09	64.04	80.02	95.19	101.30	126.34	138.54	72.54	108.63	53.68
Ft_D3	61.63	62.01	78.81	93.07	100.93	126.48	138.22	73.92	107.10	52.92
Fo_L1	51.10	49.69	61.60	78.65	79.27	102.24	116.49	60.47	86.85	45.08
Fo_L2	48.32	47.51	58.42	73.41	75.75	95.45	107.93	56.40	81.74	42.14
Fo_L3	46.97	46.12	56.57	71.24	73.66	92.71	104.73	54.52	79.31	40.67
Fo_L4	45.13	44.50	54.59	68.50	71.39	89.57	101.14	52.36	76.77	38.96
Fo_Lss	44.28	43.69	53.56	66.92	70.01	87.56	98.57	51.00	75.27	38.15
Fo_D1	50.49	49.07	61.00	77.19	77.51	100.33	114.16	59.61	85.35	44.41
Fo_D2	50.74	49.30	61.31	77.89	78.26	101.29	115.38	60.00	86.05	44.71
Fo_D3	50.88	49.35	61.40	78.21	78.37	101.62	115.74	60.15	86.26	44.81
Fv_L1	340.62	342.00	405.28	466.86	492.69	606.48	651.68	387.24	519.90	300.90
Fv_L2	230.46	246.55	278.03	299.29	357.81	385.18	404.71	242.52	346.33	190.66
Fv_L3	194.49	205.87	229.96	253.33	302.36	328.12	344.06	201.33	291.17	157.45
Fv_L4	158.02	168.19	189.68	209.28	254.19	275.03	290.67	165.04	246.76	128.35
Fv_Lss	144.28	153.32	172.82	188.37	229.55	247.10	259.75	146.16	224.04	116.14
Fv_D1	310.50	309.52	374.62	407.77	418.18	527.99	570.89	348.23	457.36	268.64
Fv_D2	322.84	322.17	391.01	435.44	447.36	566.07	615.22	366.65	485.27	282.73
Fv_D3	329.86	324.46	395.26	447.10	452.85	579.90	628.96	372.98	494.13	287.75
Fq_L1	16.08	16.48	17.31	2.85	1.26	10.50	3.96	10.39	6.81	11.15
Fq_L2	6.72	2.57	5.87	9.07	10.63	7.20	4.89	5.82	12.81	2.61
Fq_L3	10.40	6.52	12.70	15.35	20.53	19.79	14.18	5.95	17.36	5.07
Fq_L4	8.29	10.24	19.51	16.65	18.13	27.98	29.52	9.47	22.40	3.66
Fq_Lss	14.53	18.44	29.86	20.16	19.13	28.62	33.10	14.77	25.39	6.65
Fq_D1	299.37	298.96	361.04	393.64	399.82	504.04	548.24	339.22	439.89	259.59
Fq_D2	308.49	307.43	372.30	418.15	424.32	541.02	592.05	354.11	462.69	273.76
Fq_D3	319.12	311.80	377.85	432.24	430.29	555.04	606.49	359.21	473.29	279.64
QY_max	0.88	0.88	0.88	0.87	0.88	0.87	0.87	0.88	0.87	0.88
Fv/Fm_L1	0.87	0.87	0.87	0.86	0.86	0.86	0.85	0.86	0.86	0.87
Fv/Fm_L2	0.82	0.84	0.83	0.80	0.82	0.80	0.79	0.81	0.81	0.81
Fv/Fm_L3	0.80	0.81	0.80	0.78	0.80	0.78	0.77	0.78	0.78	0.79
Fv/Fm_L4	0.77	0.79	0.77	0.75	0.78	0.75	0.74	0.75	0.76	0.76
