FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	2610	951	1515	2024	867	597	2023	1164	1162	631	1854	1219	819
Fo	75.05	46.96	69.23	55.18	42.56	37.87	124.64	79.21	67.90	34.07	52.52	98.09	65.71
Fo_gauss	75.05	46.96	69.23	55.18	42.56	37.87	124.64	79.21	67.90	34.07	52.52	98.09	65.71
Fo_median	60.59	34.12	54.91	42.10	30.62	26.43	108.69	63.80	52.66	23.54	39.81	76.12	50.63
Fm	588.77	408.09	550.56	464.81	375.21	330.39	918.74	630.17	544.43	319.89	451.31	724.87	545.97
Fv	513.72	361.13	481.34	409.63	332.66	292.52	794.10	550.95	476.53	285.82	398.79	626.78	480.27
Fp	618.34	432.11	583.04	490.87	398.83	345.70	960.09	655.45	566.90	336.04	480.25	742.02	567.19
Fp-median	564.31	385.02	524.89	438.71	350.94	300.42	894.68	593.84	506.71	293.71	427.80	650.89	507.12
Fp-gauss	755.98	559.69	725.31	622.14	527.29	472.79	1124.88	804.79	709.07	457.03	615.86	900.81	716.79
Fp-average	670.29	480.98	636.20	539.52	446.04	394.18	1019.62	712.35	621.94	381.57	532.13	808.72	625.06
Fm_L1	517.92	366.47	463.59	405.64	329.53	278.08	809.12	549.18	461.62	273.10	401.81	631.27	467.22
Fm_L2	359.44	283.04	316.09	287.63	238.58	184.56	544.20	378.84	314.26	195.24	298.60	424.06	336.95
Fm_L3	315.57	246.14	282.92	251.16	204.97	152.76	477.78	330.55	273.76	166.14	255.40	372.25	285.56
Fm_L4	273.93	211.34	241.64	212.85	172.49	130.98	419.57	283.62	233.72	144.50	219.08	320.95	246.60
Fm_Lss	258.20	193.63	221.61	195.28	159.84	118.72	389.82	260.46	216.80	138.18	207.32	298.00	226.12
Fm_D1	470.78	335.57	431.75	374.75	300.38	245.78	734.32	498.70	419.50	252.32	351.77	557.17	425.10
Fm_D2	492.39	344.02	449.20	383.56	306.87	255.40	768.54	524.34	438.15	264.67	370.72	600.53	443.99
Fm_D3	500.46	350.21	452.12	387.44	313.08	261.49	780.51	531.59	442.03	265.85	378.33	613.93	443.45
