FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
Size [pixels]	2349	915	2418	1416	800	2621	1808	2123
Fo	50.50	45.93	65.78	55.10	73.88	83.09	91.69	96.13
Fo_gauss	50.50	45.93	65.78	55.10	73.88	83.09	91.69	96.13
Fo_median	37.94	33.69	51.49	42.07	57.78	67.81	75.49	79.11
Fm	424.69	401.70	530.96	464.62	568.67	654.08	724.77	719.42
Fv	374.19	355.77	465.18	409.51	494.79	570.99	633.08	623.29
Fp	448.25	428.40	549.32	482.89	601.57	683.32	745.47	744.58
Fp-median	399.53	382.32	499.85	435.70	542.06	623.35	679.59	674.70
Fp-gauss	576.49	553.88	674.28	600.71	739.98	827.84	898.44	896.22
Fp-average	497.35	475.54	596.75	528.26	653.80	737.67	804.74	801.62
Fm_L1	375.32	362.29	469.33	412.61	510.82	566.41	624.02	605.88
Fm_L2	262.10	261.07	313.35	307.45	343.35	396.52	448.43	396.99
Fm_L3	223.15	221.47	260.10	257.80	284.58	343.96	392.05	350.65
Fm_L4	193.59	190.77	225.96	218.30	243.18	295.42	344.32	305.18
Fm_Lss	177.47	173.01	205.29	203.36	220.91	273.01	319.59	279.98
Fm_D1	347.64	328.26	441.13	382.31	475.33	485.42	520.69	555.59
Fm_D2	361.19	343.92	455.91	398.90	501.78	523.37	560.48	586.01
Fm_D3	361.91	343.19	458.45	408.41	497.95	527.68	572.20	593.60
Ft_L1	357.16	347.52	446.09	383.82	502.71	572.02	619.82	606.20
Ft_L2	258.75	258.42	314.08	300.11	341.95	392.92	443.46	391.45
Ft_L3	217.41	220.67	252.10	233.38	277.84	329.82	377.41	332.22
Ft_L4	183.68	186.43	204.89	186.78	235.61	280.76	319.79	287.66
Ft_Lss	163.88	163.66	184.25	161.46	216.21	260.62	297.55	265.41
Ft_D1	61.42	54.00	78.30	67.02	92.91	98.67	109.12	115.36
Ft_D2	63.45	56.81	83.10	70.27	89.80	101.68	112.00	115.62
Ft_D3	62.73	56.72	78.72	67.17	88.30	101.14	112.64	112.68
Fo_L1	49.66	45.38	64.68	54.26	72.80	81.42	89.81	93.72
Fo_L2	46.72	43.02	60.30	51.76	67.80	76.47	84.80	86.37
Fo_L3	45.22	41.67	57.85	50.01	65.00	74.17	82.49	83.84
Fo_L4	43.71	40.33	55.84	48.16	62.39	71.52	80.06	80.86
Fo_Lss	42.73	39.38	54.38	47.37	60.72	69.97	78.56	78.86
Fo_D1	49.09	44.72	64.09	53.65	71.98	79.42	87.18	92.37
Fo_D2	49.37	45.01	64.40	54.00	72.58	80.44	88.28	93.22
Fo_D3	49.40	45.00	64.47	54.20	72.52	80.53	88.58	93.40
Fv_L1	325.66	316.92	404.65	358.35	438.02	484.99	534.22	512.16
Fv_L2	215.37	218.06	253.05	255.69	275.55	320.05	363.63	310.62
Fv_L3	177.93	179.80	202.25	207.80	219.58	269.79	309.56	266.81
Fv_L4	149.89	150.45	170.12	170.14	180.79	223.90	264.25	224.32
Fv_Lss	134.73	133.63	150.91	155.99	160.19	203.05	241.03	201.12
Fv_D1	298.55	283.54	377.03	328.65	403.35	406.00	433.51	463.22
Fv_D2	311.81	298.91	391.51	344.90	429.20	442.93	472.20	492.79
Fv_D3	312.51	298.18	393.98	354.21	425.43	447.15	483.62	500.20
Fq_L1	18.17	14.77	23.23	28.80	8.11	-5.61	4.20	-0.32
Fq_L2	3.35	2.66	-0.73	7.34	1.40	3.61	4.97	5.54
Fq_L3	5.74	0.80	8.00	24.43	6.74	14.14	14.64	18.43
Fq_L4	9.92	4.34	21.07	31.52	7.57	14.65	24.53	17.52
Fq_Lss	13.59	9.35	21.05	41.90	4.69	12.39	22.04	14.57
Fq_D1	286.22	274.26	362.83	315.29	382.41	386.75	411.57	440.23
Fq_D2	297.74	287.11	372.81	328.64	411.98	421.69	448.48	470.39
Fq_D3	299.18	286.46	379.73	341.24	409.66	426.54	459.56	480.92
QY_max	0.88	0.88	0.88	0.88	0.87	0.87	0.87	0.87
Fv/Fm_L1	0.87	0.87	0.86	0.87	0.86	0.86	0.86	0.84
Fv/Fm_L2	0.82	0.83	0.81	0.83	0.80	0.81	0.81	0.78
Fv/Fm_L3	0.79	0.81	0.77	0.80	0.77	0.78	0.79	0.76
Fv/Fm_L4	0.77	0.78	0.75	0.78	0.74	0.76	0.76	0.73
Fv/Fm_Lss	0.75	0.77	0.73	0.76	0.72	0.74	0.75	0.71
Fv/Fm_D1	0.86	0.86	0.85	0.86	0.85	0.84	0.83	0.83
Fv/Fm_D2	0.86	0.87	0.86	0.86	0.85	0.85	0.84	0.84
Fv/Fm_D3	0.86	0.87	0.86	0.87	0.85	0.85	0.84	0.84
QY_L1	0.04	0.03	0.04	0.06	0.01	-0.02	-0.00	-0.01
QY_L2	-0.01	-0.01	-0.01	0.01	-0.01	-0.00	-0.00	-0.00
QY_L3	-0.00	-0.03	0.02	0.08	0.01	0.02	0.03	0.04
QY_L4	0.02	-0.02	0.08	0.13	0.00	0.03	0.06	0.03
QY_Lss	0.04	0.02	0.07	0.19	-0.01	0.02	0.05	0.02
QY_D1	0.82	0.83	0.82	0.82	0.80	0.80	0.79	0.79
QY_D2	0.82	0.83	0.82	0.82	0.82	0.81	0.80	0.80
QY_D3	0.82	0.83	0.83	0.83	0.82	0.81	0.80	0.81
NPQ_L1	0.15	0.13	0.15	0.14	0.13	0.17	0.18	0.22
