FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8
Size [pixels]	1766	1633	2382	1188	730	1207	850	516
Fo	56.42	95.85	79.11	95.08	53.96	56.14	46.20	57.42
Fo_gauss	56.42	95.85	79.11	95.08	53.96	56.14	46.20	57.42
Fo_median	43.35	78.58	62.62	76.84	39.31	42.99	34.14	42.99
Fm	473.46	753.25	617.32	695.78	453.87	449.74	397.26	468.15
Fv	417.04	657.40	538.21	600.70	399.91	393.59	351.06	410.73
Fp	491.89	777.38	644.82	714.31	466.30	471.65	416.91	496.12
Fp-median	444.24	708.53	581.27	649.11	416.33	424.64	371.08	442.46
Fp-gauss	615.48	933.70	791.64	860.23	588.54	593.08	540.39	633.70
Fp-average	540.46	838.42	703.17	774.29	516.17	519.53	463.05	550.78
Fm_L1	420.46	647.29	526.41	595.93	393.86	391.98	347.88	414.11
Fm_L2	286.52	453.94	360.13	407.81	291.34	252.06	248.90	311.22
Fm_L3	242.09	397.34	312.42	352.86	252.29	224.85	213.93	269.13
Fm_L4	210.37	346.03	269.37	300.84	212.83	191.05	187.12	231.51
Fm_Lss	193.69	322.99	251.08	274.54	194.29	175.48	176.54	213.44
Fm_D1	380.27	560.15	470.39	555.04	372.11	381.50	319.75	367.08
Fm_D2	397.07	594.42	492.00	589.41	384.40	393.18	330.50	386.43
Fm_D3	404.03	602.54	495.39	593.59	389.75	392.72	337.23	392.62
Ft_L1	404.58	647.38	532.32	601.65	379.25	382.80	333.11	404.98
Ft_L2	286.98	455.78	352.35	399.64	287.15	253.15	252.79	302.05
Ft_L3	234.64	382.67	299.95	339.31	234.05	217.90	213.12	259.34
Ft_L4	191.99	326.17	257.89	285.07	188.18	175.18	179.56	224.88
Ft_Lss	171.22	302.64	239.48	258.55	165.06	156.19	165.57	204.37
Ft_D1	66.16	117.40	90.11	112.72	62.77	68.68	55.37	64.43
Ft_D2	70.01	117.78	96.82	114.15	68.07	69.16	58.23	69.20
Ft_D3	69.06	118.01	94.74	111.66	67.23	67.44	58.47	68.33
Fo_L1	55.52	93.84	77.34	92.90	52.93	55.07	45.41	56.48
Fo_L2	52.06	88.18	72.19	86.23	50.40	50.84	42.94	53.88
Fo_L3	50.27	85.73	69.87	83.42	48.95	49.47	41.68	52.31
Fo_L4	48.62	82.99	67.11	80.05	47.08	47.51	40.37	50.65
Fo_Lss	47.64	81.50	65.69	77.95	46.02	46.32	39.82	49.57
