FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	2587	3068	2323	1159	3028	1507	800	790	897
Fo	59.34	56.41	102.87	55.77	82.72	83.99	131.48	109.95	52.10
Fo_gauss	59.34	56.41	102.87	55.77	82.72	83.99	131.48	109.95	52.10
Fo_median	46.24	43.13	84.67	42.11	67.07	68.21	114.38	90.52	39.68
Fm	498.21	471.03	778.37	470.38	662.27	655.19	980.14	815.02	453.85
Fv	438.87	414.62	675.51	414.61	579.55	571.20	848.67	705.07	401.75
Fp	531.25	495.44	809.09	495.41	682.76	678.03	1006.94	830.28	474.63
Fp-median	477.37	445.54	732.47	440.86	620.72	616.02	941.08	753.28	428.27
Fp-gauss	669.50	626.17	968.96	638.60	832.63	821.21	1172.70	992.99	599.97
Fp-average	582.99	544.50	870.44	551.85	739.47	731.37	1070.34	897.89	521.09
Fm_L1	436.07	420.27	685.44	400.12	570.20	572.73	864.42	705.21	402.34
Fm_L2	319.23	294.56	458.64	281.11	392.44	405.91	608.76	478.54	299.03
Fm_L3	278.04	251.69	398.69	241.11	334.70	343.38	528.27	404.54	252.80
Fm_L4	236.51	214.19	341.98	207.64	286.31	293.02	459.44	350.25	207.94
Fm_Lss	219.67	193.17	312.35	189.04	263.91	263.23	419.63	322.48	192.11
Fm_D1	384.39	387.02	616.32	365.30	500.52	514.03	805.69	637.53	365.91
Fm_D2	406.81	398.90	647.54	379.45	524.78	535.89	827.19	666.11	384.05
Fm_D3	415.00	402.43	657.15	380.40	528.19	540.72	837.68	670.70	386.51
Ft_L1	434.04	404.28	679.57	403.73	568.26	572.79	846.81	696.00	389.10
Ft_L2	312.40	292.42	457.48	278.08	390.77	403.64	609.78	470.83	299.36
Ft_L3	264.82	248.21	386.91	230.99	318.31	329.59	513.69	388.12	246.19
Ft_L4	224.01	204.79	320.16	201.37	274.19	281.13	427.01	329.60	202.62
Ft_Lss	205.91	181.89	293.90	186.61	251.17	250.14	388.90	303.34	176.23
Ft_D1	72.77	69.03	122.30	66.73	96.88	98.69	155.59	128.84	62.72
Ft_D2	75.03	68.86	124.22	66.79	99.68	97.96	160.19	132.66	63.78
Ft_D3	74.79	67.22	119.65	67.84	96.35	96.75	160.09	129.55	65.93
Fo_L1	58.30	55.57	101.01	54.57	81.01	82.43	129.12	107.64	51.31
Fo_L2	55.37	52.30	93.84	51.29	75.87	77.49	121.13	100.16	48.94
Fo_L3	53.87	50.62	90.93	49.62	73.35	74.76	117.53	96.39	47.42
Fo_L4	51.96	48.75	87.43	47.87	70.56	71.89	113.60	92.83	45.38
Fo_Lss	50.99	47.44	85.26	46.68	69.02	69.75	110.94	90.68	44.46
Fo_D1	57.19	54.88	99.32	53.79	79.39	80.95	127.68	105.85	50.60
Fo_D2	57.70	55.12	100.11	54.10	79.98	81.53	128.22	106.61	50.98
Fo_D3	57.89	55.20	100.35	54.11	80.06	81.65	128.47	106.77	51.02
