FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7
Size [pixels]	1520	1559	1494	2068	819	1092	422
Fo	56.58	56.24	91.45	67.07	46.56	83.49	85.22
Fo_gauss	56.58	56.24	91.45	67.07	46.56	83.49	85.22
Fo_median	43.20	42.71	73.93	52.75	33.47	65.40	66.81
Fm	467.91	460.34	683.86	549.15	395.71	632.26	593.64
Fv	411.33	404.10	592.41	482.08	349.14	548.77	508.42
Fp	505.37	499.23	706.81	581.37	425.00	652.22	619.82
Fp-median	452.76	442.81	635.07	522.77	370.77	578.12	556.23
Fp-gauss	643.69	638.35	857.62	721.81	558.58	798.12	769.05
Fp-average	558.61	552.67	766.28	634.88	479.16	711.59	681.67
Fm_L1	402.25	387.57	572.90	466.37	352.87	538.78	502.25
Fm_L2	281.66	260.53	379.02	325.97	246.13	353.79	328.74
Fm_L3	234.31	211.98	314.19	260.20	199.34	284.63	271.59
Fm_L4	191.92	174.70	258.63	210.54	171.27	234.67	231.49
Fm_Lss	171.97	159.87	233.95	185.84	153.72	210.04	204.32
Fm_D1	391.51	372.07	530.18	411.54	324.46	469.13	481.53
Fm_D2	396.80	385.46	564.95	433.15	342.90	503.16	504.61
Fm_D3	397.05	386.06	571.00	434.74	343.84	511.95	510.54
Ft_L1	407.11	399.01	582.72	477.34	349.52	554.10	520.71
Ft_L2	278.75	259.84	377.94	324.28	253.17	353.30	325.96
Ft_L3	232.50	207.32	303.30	256.13	205.11	276.55	269.04
Ft_L4	192.13	177.17	256.80	211.45	173.82	229.79	224.13
Ft_Lss	168.81	157.12	222.28	184.58	151.81	202.93	198.93
Ft_D1	74.90	70.77	113.57	84.61	62.46	97.26	105.75
Ft_D2	72.44	67.93	111.09	83.58	60.71	96.58	102.94
Ft_D3	70.70	69.06	107.77	82.05	61.17	94.73	99.95
Fo_L1	55.42	54.91	89.00	65.58	45.89	81.53	82.95
Fo_L2	52.07	51.08	82.04	61.59	43.19	75.31	75.89
Fo_L3	50.00	48.64	78.36	58.58	41.25	71.36	72.25
Fo_L4	47.59	46.11	74.12	55.34	39.78	67.54	68.86
Fo_Lss	46.12	45.01	71.86	53.23	38.63	65.13	66.02
Fo_D1	55.19	54.54	87.80	64.05	45.27	79.34	82.37
Fo_D2	55.29	54.85	88.79	64.55	45.67	80.43	83.03
