FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10
Size [pixels]	2237	1262	3123	2439	1719	2167	745	1720	2594	1491
Fo	60.62	47.67	92.05	88.15	94.99	55.06	38.84	52.32	76.57	71.30
Fo_gauss	60.62	47.67	92.05	88.15	94.99	55.06	38.84	52.32	76.57	71.30
Fo_median	47.54	36.08	76.23	72.81	78.30	41.97	27.69	39.85	62.32	56.99
Fm	476.94	405.89	700.77	673.17	700.69	460.62	345.12	426.07	606.75	540.97
Fv	416.32	358.22	608.72	585.03	605.70	405.56	306.28	373.75	530.18	469.67
Fp	512.41	425.15	723.19	700.13	723.66	483.13	364.48	466.27	638.86	574.80
Fp-median	462.55	381.23	660.27	638.36	658.01	432.00	318.34	415.60	582.82	521.84
Fp-gauss	642.86	544.10	869.55	844.36	869.47	611.88	488.06	600.12	780.97	708.18
Fp-average	558.98	468.63	776.80	752.98	779.04	532.04	411.70	514.41	690.99	624.92
Fm_L1	382.58	338.35	542.74	520.57	575.88	385.01	278.85	355.21	485.87	463.46
Fm_L2	226.58	207.26	340.23	346.77	348.79	228.72	172.76	216.12	303.37	278.85
Fm_L3	196.58	176.18	291.98	301.55	293.45	198.63	148.35	181.50	259.80	235.99
Fm_L4	173.41	155.58	252.80	261.53	252.90	174.84	134.90	155.95	225.77	201.20
Fm_Lss	159.91	139.91	230.09	238.79	228.47	163.51	122.79	142.66	207.73	183.17
Fm_D1	396.15	342.21	556.09	532.72	524.53	375.42	274.40	336.09	483.37	440.99
Fm_D2	408.26	347.05	573.41	556.59	561.68	397.86	287.30	350.31	510.26	457.66
Fm_D3	407.94	348.61	574.53	559.28	572.27	400.03	294.25	355.91	516.11	462.59
Ft_L1	389.22	336.87	565.41	538.95	587.89	387.19	287.30	361.37	502.29	468.60
Ft_L2	234.38	208.94	335.82	340.22	349.92	238.63	177.47	219.72	298.13	283.86
Ft_L3	204.43	177.05	283.98	296.14	288.27	200.35	153.27	183.17	255.30	234.65
Ft_L4	172.05	150.73	247.63	256.62	244.55	175.64	131.76	155.37	224.95	198.10
Ft_Lss	154.25	130.65	221.72	232.45	220.26	155.42	118.10	140.57	203.32	174.96
Ft_D1	75.22	61.55	118.00	113.25	116.50	73.09	52.32	64.27	101.33	89.00
Ft_D2	73.32	58.93	112.86	110.79	110.29	72.24	48.54	61.62	97.89	86.75
Ft_D3	72.41	59.25	113.00	110.48	112.89	69.10	49.75	63.68	96.99	83.65
Fo_L1	58.65	46.49	88.54	84.74	92.21	53.71	37.73	50.98	74.15	69.71
Fo_L2	52.67	42.42	80.41	78.06	83.13	48.69	34.45	46.26	67.59	63.03
Fo_L3	50.70	40.78	77.22	75.38	79.44	47.00	33.23	44.23	65.00	60.33
Fo_L4	48.84	39.51	74.01	72.51	75.97	45.35	32.36	42.29	62.50	57.63
Fo_Lss	47.61	38.25	71.78	70.53	73.33	44.52	31.51	41.17	60.94	55.97
Fo_D1	58.99	46.55	88.88	85.13	90.45	53.49	37.59	50.39	74.09	69.07
Fo_D2	59.27	46.64	89.31	85.72	91.58	53.96	37.90	50.73	74.72	69.53
Fo_D3	59.25	46.65	89.33	85.79	91.90	54.01	38.02	50.83	74.83	69.63
Fv_L1	323.93	291.86	454.20	435.83	483.67	331.30	241.12	304.23	411.72	393.75
Fv_L2	173.91	164.84	259.82	268.70	265.66	180.04	138.32	169.86	235.78	215.82
Fv_L3	145.88	135.40	214.75	226.16	214.01	151.63	115.13	137.28	194.81	175.66
Fv_L4	124.57	116.07	178.79	189.02	176.93	129.49	102.55	113.66	163.27	143.58
Fv_Lss	112.31	101.66	158.31	168.26	155.14	118.98	91.28	101.49	146.78	127.20
Fv_D1	337.16	295.66	467.21	447.60	434.08	321.94	236.81	285.70	409.29	371.92
Fv_D2	348.99	300.40	484.10	470.86	470.10	343.90	249.40	299.58	435.54	388.13
Fv_D3	348.69	301.96	485.20	473.49	480.36	346.03	256.23	305.08	441.28	392.96
Fq_L1	-6.64	1.49	-22.67	-18.38	-12.01	-2.18	-8.45	-6.16	-16.43	-5.15
Fq_L2	-7.81	-1.68	4.41	6.55	-1.14	-9.91	-4.71	-3.60	5.24	-5.01
Fq_L3	-7.85	-0.86	8.00	5.40	5.18	-1.72	-4.92	-1.66	4.50	1.34
Fq_L4	1.37	4.84	5.17	4.91	8.35	-0.80	3.15	0.58	0.83	3.10
Fq_Lss	5.66	9.26	8.38	6.35	8.21	8.08	4.69	2.08	4.41	8.21
Fq_D1	320.92	280.66	438.09	419.47	408.03	302.34	222.08	271.82	382.04	351.99
Fq_D2	334.94	288.11	460.55	445.79	451.40	325.62	238.76	288.69	412.37	370.91
Fq_D3	335.53	289.36	461.54	448.80	459.38	330.93	244.51	292.23	419.12	378.93
QY_max	0.87	0.88	0.87	0.87	0.86	0.88	0.89	0.88	0.87	0.87
Fv/Fm_L1	0.84	0.86	0.84	0.84	0.84	0.86	0.86	0.85	0.85	0.85
Fv/Fm_L2	0.76	0.79	0.76	0.77	0.76	0.78	0.79	0.78	0.77	0.77
Fv/Fm_L3	0.74	0.76	0.73	0.75	0.73	0.76	0.77	0.75	0.75	0.74
Fv/Fm_L4	0.71	0.74	0.70	0.72	0.69	0.73	0.75	0.72	0.72	0.71
Fv/Fm_Lss	0.69	0.72	0.68	0.70	0.67	0.72	0.73	0.70	0.70	0.69
Fv/Fm_D1	0.85	0.86	0.84	0.84	0.82	0.86	0.86	0.84	0.85	0.84
Fv/Fm_D2	0.85	0.86	0.84	0.85	0.83	0.86	0.87	0.85	0.85	0.85
Fv/Fm_D3	0.85	0.86	0.84	0.85	0.83	0.86	0.87	0.85	0.85	0.85
QY_L1	-0.03	-0.01	-0.05	-0.04	-0.03	-0.02	-0.05	-0.04	-0.04	-0.02
QY_L2	-0.07	-0.04	-0.01	0.00	-0.02	-0.08	-0.08	-0.05	-0.00	-0.04
QY_L3	-0.08	-0.04	0.00	-0.00	-0.00	-0.04	-0.09	-0.06	-0.01	-0.02
QY_L4	-0.05	-0.02	-0.01	-0.01	0.01	-0.04	-0.04	-0.06	-0.03	-0.01
QY_Lss	-0.02	0.02	0.00	-0.00	0.01	0.01	-0.04	-0.05	-0.01	0.01
QY_D1	0.81	0.82	0.79	0.79	0.78	0.80	0.81	0.81	0.79	0.80
QY_D2	0.82	0.83	0.80	0.80	0.80	0.82	0.83	0.82	0.81	0.81
QY_D3	0.82	0.83	0.80	0.80	0.80	0.83	0.83	0.82	0.81	0.82
NPQ_L1	0.28	0.22	0.31	0.30	0.23	0.22	0.27	0.23	0.26	0.18
NPQ_L2	1.19	1.03	1.11	0.97	1.06	1.09	1.11	1.06	1.04	0.99
NPQ_L3	1.54	1.40	1.47	1.27	1.48	1.40	1.48	1.50	1.39	1.38
NPQ_L4	1.94	1.75	1.90	1.63	1.95	1.76	1.76	1.98	1.78	1.81
NPQ_Lss	2.18	2.09	2.23	1.91	2.38	1.97	2.05	2.35	2.03	2.12
NPQ_D1	0.24	0.21	0.30	0.28	0.48	0.26	0.30	0.39	0.28	0.28
NPQ_D2	0.19	0.19	0.26	0.22	0.36	0.19	0.24	0.33	0.21	0.22
NPQ_D3	0.20	0.20	0.27	0.22	0.33	0.18	0.21	0.30	0.20	0.22
qN_L1	0.22	0.18	0.25	0.25	0.20	0.18	0.20	0.18	0.22	0.16
qN_L2	0.59	0.54	0.58	0.54	0.57	0.56	0.55	0.55	0.56	0.54
qN_L3	0.65	0.63	0.65	0.61	0.66	0.63	0.62	0.64	0.63	0.63
qN_L4	0.71	0.68	0.71	0.68	0.72	0.68	0.66	0.70	0.70	0.70
qN_Lss	0.74	0.72	0.75	0.72	0.76	0.71	0.70	0.73	0.73	0.73
qN_D1	0.19	0.17	0.23	0.23	0.30	0.20	0.22	0.23	0.22	0.21
qN_D2	0.16	0.16	0.21	0.19	0.24	0.15	0.18	0.19	0.17	0.17
qN_D3	0.16	0.15	0.21	0.19	0.22	0.14	0.15	0.18	0.16	0.17
qP_L1	-0.04	-0.02	-0.06	-0.05	-0.03	-0.03	-0.07	-0.05	-0.05	-0.02
qP_L2	-0.10	-0.06	-0.01	-0.00	-0.03	-0.11	-0.12	-0.08	-0.01	-0.06
qP_L3	-0.13	-0.07	-0.00	-0.01	-0.01	-0.07	-0.14	-0.11	-0.02	-0.04
qP_L4	-0.23	-0.04	-0.03	-0.02	0.00	-0.09	-0.09	-0.13	-0.06	-0.04
qP_Lss	-0.06	-0.01	-0.03	-0.02	-0.02	-0.01	-0.10	-0.15	-0.04	-0.02
qP_D1	0.95	0.95	0.94	0.94	0.95	0.94	0.94	0.96	0.93	0.95
qP_D2	0.96	0.96	0.96	0.95	0.97	0.95	0.96	0.97	0.95	0.96
qP_D3	0.96	0.96	0.96	0.95	0.97	0.96	0.95	0.97	0.95	0.97
qL_L1	-0.59	-0.36	-0.56	-0.47	-0.34	-0.46	-0.92	-0.66	-0.52	-0.34
qL_L2	-0.86	-0.69	-0.27	-0.19	-0.31	-0.93	-1.34	-0.87	-0.27	-0.52
qL_L3	-0.98	-0.76	-0.26	-0.28	-0.28	-0.75	-1.54	-1.00	-0.35	-0.51
qL_L4	-6.90	-0.73	-0.46	-0.34	-0.29	-0.84	-1.38	-1.24	-0.53	-0.50
qL_Lss	-0.81	-0.57	-0.48	-0.42	-0.42	-0.68	-1.36	-1.46	-0.49	-0.59
qL_D1	1.21	1.26	1.24	1.25	1.15	1.33	1.33	1.21	1.27	1.21
qL_D2	1.20	1.21	1.19	1.23	1.12	1.32	1.26	1.16	1.24	1.20
qL_D3	1.18	1.22	1.19	1.23	1.15	1.26	1.27	1.20	1.23	1.16
Rfd_L1	0.35	0.30	0.31	0.32	0.26	0.28	0.33	0.33	0.30	0.27
Rfd_L2	1.34	1.17	1.24	1.14	1.15	1.14	1.33	1.38	1.22	1.13
Rfd_L3	1.69	1.68	1.73	1.45	1.72	1.89	1.74	1.77	1.62	1.63
Rfd_L4	2.30	2.18	2.21	1.87	2.34	2.09	2.23	2.44	2.00	2.19
Rfd_Lss	2.83	2.90	2.63	2.67	3.01	2.72	3.44	3.07	2.39	2.83
