FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6
Size [pixels]	729	925	1452	252	556	750
Fo	79.83	95.64	74.35	32.97	41.83	44.39
Fo_gauss	79.83	95.64	74.35	32.97	41.83	44.39
Fo_median	62.77	76.88	58.25	21.60	30.04	32.20
Fm	632.03	699.05	589.61	299.68	348.73	385.03
Fv	552.20	603.41	515.26	266.71	306.90	340.64
Fp	655.18	720.58	609.50	313.02	374.68	406.25
Fp-median	587.52	649.55	550.39	269.35	326.39	357.24
Fp-gauss	806.10	879.38	750.36	440.02	506.24	533.41
Fp-average	715.59	784.07	665.42	362.66	425.27	454.84
Fm_L1	534.37	573.31	501.62	254.25	295.80	332.14
Fm_L2	364.39	363.17	335.63	180.26	189.45	219.79
Fm_L3	313.63	310.79	277.22	150.21	158.96	181.95
Fm_L4	258.04	263.37	230.77	123.86	134.73	153.73
Fm_Lss	234.82	238.35	207.54	114.46	125.30	142.57
Fm_D1	469.78	526.23	465.18	246.31	279.27	312.88
Fm_D2	494.95	556.89	479.02	247.03	288.88	315.35
Fm_D3	501.73	569.52	480.70	241.75	296.45	320.41
Ft_L1	540.48	590.98	500.45	249.15	295.44	320.98
Ft_L2	369.34	359.24	340.59	185.74	191.27	227.31
Ft_L3	301.75	303.68	272.75	150.21	159.26	183.78
Ft_L4	247.85	260.17	225.34	117.10	133.57	151.57
Ft_Lss	226.78	233.12	201.77	102.72	123.44	137.00
Ft_D1	95.62	117.83	93.94	41.18	51.90	55.63
Ft_D2	100.64	116.63	94.95	45.02	53.84	57.15
Ft_D3	102.14	115.66	93.45	40.80	50.47	57.06
Fo_L1	78.00	92.74	72.64	32.29	40.85	43.52
Fo_L2	72.80	84.53	67.53	30.40	37.56	40.51
Fo_L3	70.34	81.19	64.62	29.21	36.01	38.92
Fo_L4	66.95	77.37	61.53	27.91	34.35	37.16
Fo_Lss	65.13	74.86	59.62	27.18	33.62	36.36
Fo_D1	76.41	91.37	71.75	32.12	40.47	43.14
Fo_D2	77.02	92.24	72.05	32.16	40.70	43.17
Fo_D3	77.21	92.61	72.13	32.08	40.83	43.28
Fv_L1	456.37	480.57	428.97	221.96	254.94	288.61
Fv_L2	291.58	278.65	268.10	149.86	151.89	179.28
Fv_L3	243.29	229.61	212.60	121.00	122.95	143.03
Fv_L4	191.09	186.01	169.24	95.96	100.39	116.57
Fv_Lss	169.69	163.49	147.92	87.28	91.68	106.22
Fv_D1	393.37	434.86	393.44	214.19	238.80	269.74
Fv_D2	417.93	464.65	406.97	214.86	248.18	272.19
Fv_D3	424.52	476.91	408.58	209.66	255.62	277.13
Fq_L1	-6.11	-17.67	1.17	5.10	0.36	11.16
Fq_L2	-4.96	3.94	-4.96	-5.48	-1.82	-7.52
Fq_L3	11.88	7.11	4.48	-0.01	-0.30	-1.83
Fq_L4	10.19	3.21	5.43	6.76	1.16	2.16
Fq_Lss	8.04	5.23	5.77	11.74	1.86	5.57
Fq_D1	374.16	408.40	371.25	205.13	227.37	257.25
Fq_D2	394.30	440.26	384.07	202.01	235.04	258.20
Fq_D3	399.59	453.86	387.25	200.95	245.98	263.35
QY_max	0.87	0.86	0.87	0.89	0.88	0.88
Fv/Fm_L1	0.85	0.84	0.85	0.87	0.86	0.87
Fv/Fm_L2	0.80	0.76	0.80	0.83	0.79	0.81
Fv/Fm_L3	0.77	0.73	0.76	0.80	0.76	0.78
Fv/Fm_L4	0.74	0.70	0.73	0.76	0.73	0.75
Fv/Fm_Lss	0.72	0.68	0.71	0.75	0.72	0.73
Fv/Fm_D1	0.84	0.82	0.84	0.87	0.85	0.86
Fv/Fm_D2	0.84	0.83	0.85	0.87	0.86	0.86
Fv/Fm_D3	0.85	0.83	0.85	0.87	0.86	0.86
QY_L1	-0.03	-0.04	-0.01	-0.01	-0.02	0.02
QY_L2	-0.03	-0.01	-0.03	-0.07	-0.06	-0.07
QY_L3	0.02	-0.00	-0.01	-0.05	-0.06	-0.05
QY_L4	0.00	-0.02	-0.01	-0.03	-0.06	-0.03
QY_Lss	0.01	-0.01	0.00	0.02	-0.07	-0.02
QY_D1	0.80	0.78	0.80	0.83	0.81	0.82
QY_D2	0.80	0.79	0.80	0.81	0.81	0.82
QY_D3	0.80	0.80	0.81	0.82	0.83	0.82
NPQ_L1	0.21	0.24	0.19	0.23	0.21	0.18
NPQ_L2	0.78	0.97	0.78	0.76	0.94	0.82
NPQ_L3	1.07	1.34	1.17	1.10	1.34	1.21
NPQ_L4	1.56	1.78	1.64	1.63	1.79	1.64
NPQ_Lss	1.81	2.12	1.94	1.88	2.08	1.90
NPQ_D1	0.38	0.38	0.30	0.26	0.29	0.26
NPQ_D2	0.32	0.32	0.26	0.25	0.25	0.26
NPQ_D3	0.30	0.28	0.25	0.28	0.22	0.24
qN_L1	0.17	0.20	0.16	0.15	0.15	0.14
qN_L2	0.47	0.54	0.48	0.43	0.50	0.47
qN_L3	0.56	0.63	0.59	0.54	0.60	0.58
qN_L4	0.66	0.70	0.68	0.64	0.67	0.66
qN_Lss	0.70	0.74	0.72	0.67	0.70	0.69
qN_D1	0.29	0.28	0.23	0.18	0.21	0.20
qN_D2	0.25	0.24	0.21	0.18	0.18	0.19
qN_D3	0.23	0.21	0.20	0.20	0.16	0.18
qP_L1	-0.03	-0.05	-0.01	-0.02	-0.03	0.02
qP_L2	-0.05	-0.01	-0.05	-0.10	-0.09	-0.10
qP_L3	0.02	-0.02	-0.02	-0.07	-0.11	-0.08
qP_L4	-0.02	-0.04	-0.05	-0.06	-0.12	-0.07
qP_Lss	-0.00	-0.03	-0.01	-0.02	-0.21	-0.06
qP_D1	0.96	0.95	0.94	0.96	0.95	0.95
qP_D2	0.95	0.95	0.95	0.94	0.95	0.95
qP_D3	0.94	0.96	0.95	0.95	0.96	0.95
qL_L1	-0.46	-0.49	-0.19	-0.95	-0.58	-0.13
qL_L2	-0.51	-0.22	-0.46	-1.41	-1.06	-1.04
qL_L3	-0.17	-0.38	-0.33	-1.17	-1.21	-0.89
qL_L4	-0.62	-0.50	-0.73	-1.22	-1.28	-0.84
qL_Lss	-0.38	-0.44	-0.38	-1.22	-2.74	-0.98
qL_D1	1.18	1.19	1.23	1.32	1.22	1.23
qL_D2	1.23	1.15	1.24	1.38	1.27	1.25
qL_D3	1.25	1.18	1.22	1.25	1.19	1.26
Rfd_L1	0.25	0.25	0.24	0.33	0.32	0.31
Rfd_L2	0.83	1.07	0.84	0.90	1.11	0.88
Rfd_L3	1.30	1.48	1.32	1.32	1.65	1.41
Rfd_L4	1.93	2.22	1.99	2.11	2.58	2.03
Rfd_Lss	2.13	2.45	2.32	4.58	2.71	2.72
