FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7
Size [pixels]	1792	2741	1736	51	23	793	1582
Fo	85.74	81.56	77.58	40.38	32.95	73.78	106.44
Fo_gauss	85.74	81.56	77.58	40.38	32.95	73.78	106.44
Fo_median	70.83	66.62	61.75	26.00	19.84	57.33	89.29
Fm	693.85	652.12	629.97	368.58	312.67	580.89	772.57
Fv	608.11	570.57	552.39	328.20	279.72	507.11	666.13
Fp	713.19	678.73	647.67	354.76	307.50	596.24	801.14
Fp-median	656.81	625.17	585.69	314.51	263.13	539.34	734.86
Fp-gauss	861.86	822.49	797.55	473.20	426.57	744.84	958.77
Fp-average	769.08	732.69	707.68	400.07	355.41	656.55	861.08
Fm_L1	575.95	555.05	538.35	292.26	262.06	493.76	663.56
Fm_L2	379.38	382.53	358.49	213.81	162.35	318.81	429.33
Fm_L3	325.05	325.16	300.29	173.86	132.52	270.72	366.21
Fm_L4	271.04	277.56	253.93	155.87	113.86	226.70	312.79
Fm_Lss	246.17	253.93	228.64	127.43	108.94	202.98	282.96
Fm_D1	522.07	514.05	495.58	257.77	214.94	450.39	597.47
Fm_D2	541.39	531.52	514.16	265.46	227.36	473.02	631.46
Fm_D3	548.73	537.03	518.68	275.25	235.70	476.69	641.42
Ft_L1	584.37	557.76	544.47	282.84	231.00	499.40	666.38
Ft_L2	373.86	377.36	354.33	228.88	165.59	316.87	430.04
Ft_L3	310.88	314.32	292.64	169.82	143.37	267.45	352.61
Ft_L4	260.76	265.85	244.18	137.92	111.57	222.94	298.87
Ft_Lss	235.72	244.35	218.92	123.98	118.37	194.34	267.11
Ft_D1	106.44	98.71	93.87	41.83	40.13	88.31	128.30
Ft_D2	105.31	101.86	98.27	43.82	34.11	91.95	126.12
Ft_D3	103.73	100.80	93.94	45.92	45.24	87.58	125.94
Fo_L1	83.57	79.74	75.93	39.09	32.24	72.14	103.99
Fo_L2	77.46	74.68	70.69	36.73	29.63	66.49	95.37
Fo_L3	74.80	72.08	67.96	35.14	28.31	64.01	91.75
Fo_L4	71.32	69.28	65.12	34.53	27.27	60.91	87.73
Fo_Lss	69.32	67.62	63.21	32.45	26.92	58.89	84.95
Fo_D1	82.29	78.80	74.98	38.31	31.49	71.00	101.96
Fo_D2	82.75	79.22	75.43	38.54	31.53	71.60	102.98
Fo_D3	82.93	79.35	75.50	38.92	31.82	71.68	103.30
Fv_L1	492.39	475.31	462.41	253.17	229.83	421.62	559.57
Fv_L2	301.92	307.85	287.80	177.08	132.72	252.32	333.96
Fv_L3	250.24	253.08	232.33	138.73	104.21	206.70	274.47
Fv_L4	199.72	208.28	188.82	121.34	86.59	165.79	225.06
Fv_Lss	176.85	186.31	165.43	94.98	82.02	144.09	198.01
Fv_D1	439.78	435.25	420.59	219.46	183.45	379.39	495.51
Fv_D2	458.64	452.29	438.73	226.91	195.82	401.42	528.48
Fv_D3	465.80	457.67	443.17	236.33	203.88	405.02	538.13
Fq_L1	-8.41	-2.71	-6.12	9.42	31.06	-5.64	-2.82
Fq_L2	5.52	5.17	4.16	-15.07	-3.24	1.93	-0.71
Fq_L3	14.17	10.84	7.65	4.04	-10.85	3.27	13.60
Fq_L4	10.28	11.71	9.75	17.95	2.30	3.76	13.92
Fq_Lss	10.46	9.58	9.73	3.45	-9.43	8.64	15.85
Fq_D1	415.62	415.34	401.70	215.94	174.81	362.09	469.16
Fq_D2	436.07	429.66	415.89	221.64	193.25	381.07	505.34
Fq_D3	445.00	436.22	424.73	229.33	190.46	389.11	515.48
QY_max	0.88	0.87	0.88	0.89	0.89	0.87	0.86
Fv/Fm_L1	0.85	0.86	0.86	0.86	0.87	0.85	0.84
Fv/Fm_L2	0.79	0.80	0.80	0.82	0.81	0.79	0.78
