FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15
Size [pixels]	1250	1421	592	2196	735	1549	581	2492	2342	1927	528	766	1713	931	1173
Fo	118.20	47.16	43.65	86.89	84.11	47.91	54.34	104.29	77.81	53.41	63.67	43.98	65.43	48.01	59.64
Fo_gauss	118.20	47.16	43.65	86.89	84.11	47.91	54.34	104.29	77.81	53.41	63.67	43.98	65.43	48.01	59.64
Fo_median	103.68	36.00	32.21	73.18	70.56	36.08	41.39	89.40	63.98	41.55	51.75	33.15	52.81	36.38	47.15
Fm	915.70	429.07	407.82	717.87	693.36	419.49	463.35	816.91	648.93	470.65	549.01	398.81	536.22	432.93	484.89
Fv	797.50	381.91	364.17	630.98	609.25	371.58	409.01	712.62	571.12	417.25	485.35	354.83	470.79	384.91	425.25
Fp	937.49	454.94	429.06	749.53	700.16	450.58	486.16	843.25	677.33	489.80	568.26	431.91	572.87	453.61	497.88
Fp-median	880.29	409.30	386.16	698.59	653.43	403.33	438.82	787.24	621.42	451.02	523.44	382.04	522.38	409.17	450.21
Fp-gauss	1093.62	578.06	547.42	888.88	823.21	577.86	613.20	986.77	825.16	619.72	685.97	566.57	707.03	571.29	622.91
Fp-average	993.21	498.82	470.50	800.36	743.56	496.07	531.75	894.18	730.68	538.52	610.05	481.73	620.13	495.36	543.54
Fm_L1	821.85	391.29	373.94	658.32	628.07	385.89	418.86	747.19	575.38	428.24	505.53	355.00	482.02	385.85	423.15
Fm_L2	528.44	309.62	300.78	534.66	546.61	298.90	315.95	564.33	399.10	337.36	429.64	289.33	316.00	301.77	302.20
Fm_L3	445.13	245.14	236.58	434.13	428.86	244.69	254.62	450.92	339.57	271.38	344.95	238.14	267.96	244.21	238.15
Fm_L4	382.60	208.83	199.97	362.63	344.31	207.45	214.55	382.40	290.09	228.53	285.69	203.35	229.88	206.50	198.60
Fm_Lss	348.62	198.00	188.86	335.46	315.17	192.99	194.60	355.33	267.08	210.37	260.68	187.45	215.23	187.88	180.31
Fm_D1	720.20	344.59	313.06	552.29	550.25	340.32	384.08	645.63	496.50	368.69	401.71	311.80	442.01	319.14	379.52
Fm_D2	787.07	376.46	352.13	614.38	595.17	362.66	404.97	692.85	538.68	403.59	461.20	336.49	472.55	360.65	397.26
Fm_D3	794.36	382.79	359.55	627.32	610.85	367.40	409.26	706.82	549.30	411.02	480.43	340.12	475.99	366.24	396.53
Ft_L1	798.80	368.93	354.32	641.98	567.96	365.52	394.76	727.34	562.71	407.11	478.84	354.05	469.48	370.55	405.01
Ft_L2	524.55	304.89	296.59	519.13	498.21	285.45	307.88	550.26	391.10	334.81	414.62	276.97	310.52	306.31	293.44
