FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15	Area 16	Area 17	Area 18
Size [pixels]	1969	1750	940	1112	1084	775	572	2626	1045	1252	335	686	401	468	504	400	252	785
Fo	96.66	131.68	60.50	67.04	91.81	122.52	124.36	45.33	78.34	98.43	50.62	81.01	45.44	112.32	84.07	88.23	63.13	62.89
Fo_gauss	96.66	131.68	60.50	67.04	91.81	122.52	124.36	45.33	78.34	98.43	50.62	81.01	45.44	112.32	84.07	88.23	63.13	62.89
Fo_median	81.91	117.20	47.60	53.43	77.43	107.98	109.72	33.97	65.37	83.39	39.01	66.33	34.56	97.15	70.02	73.55	51.41	50.44
Fm	611.38	830.24	417.30	446.08	588.31	756.32	740.11	341.37	551.47	657.78	356.95	522.29	323.86	713.26	559.83	567.50	464.53	444.93
Fv	514.71	698.57	356.80	379.04	496.50	633.80	615.76	296.04	473.13	559.35	306.32	441.28	278.42	600.95	475.76	479.27	401.39	382.04
Fp	658.02	846.95	437.43	476.72	623.42	787.72	776.45	368.59	578.20	683.13	399.28	555.52	358.09	734.21	590.56	611.48	476.74	463.81
Fp-median	604.25	789.58	390.98	427.68	569.93	732.04	721.17	322.85	523.10	628.12	344.17	502.37	312.03	678.58	539.57	556.46	431.82	415.15
Fp-gauss	791.79	994.57	553.50	602.53	758.08	932.98	922.62	488.92	719.04	824.78	533.98	694.37	480.43	873.40	721.56	748.80	580.66	584.53
Fp-average	702.01	896.44	475.91	519.86	670.49	838.68	825.94	408.39	625.68	731.78	445.82	604.19	399.48	780.26	634.70	659.37	509.86	504.66
Fm_L1	463.76	593.43	311.74	346.17	441.70	581.45	529.91	275.08	425.90	509.22	274.33	392.68	280.11	504.29	447.69	445.08	387.71	352.45
Fm_L2	311.40	416.99	217.00	223.36	293.86	392.15	364.53	177.84	304.40	346.06	189.36	275.97	176.16	367.05	311.60	307.78	264.38	234.32
Fm_L3	282.32	382.38	196.37	203.74	266.40	348.47	334.52	162.22	278.07	310.45	170.52	251.40	154.93	331.43	278.56	273.89	224.95	212.31
Fm_L4	264.47	355.15	182.81	190.96	244.59	321.70	301.27	150.49	256.08	285.88	162.27	230.97	144.74	309.56	259.49	254.96	196.99	197.15
Fm_Lss	257.21	345.14	181.39	188.76	239.37	306.22	291.86	148.80	254.36	282.71	152.18	225.94	141.09	304.52	257.61	241.80	212.43	199.19
Fm_D1	455.37	586.31	314.00	342.48	460.36	564.03	544.52	261.07	406.65	468.20	279.46	377.75	277.51	491.49	423.32	428.78	366.61	341.16
Fm_D2	504.50	673.33	354.70	383.29	505.55	625.28	613.24	289.06	445.04	524.01	301.79	420.69	305.53	557.55	473.71	481.88	407.24	380.05
Fm_D3	525.48	715.67	370.70	405.84	520.35	648.15	636.73	300.67	467.88	548.76	317.77	448.96	318.95	587.29	495.53	497.61	415.54	395.59
Ft_L1	478.48	630.09	321.95	349.98	448.71	607.36	557.10	273.13	435.72	529.17	276.40	402.43	278.82	522.61	451.18	453.31	362.16	352.56
Ft_L2	303.63	395.03	218.96	225.44	288.98	378.35	359.02	178.73	287.68	325.92	182.48	266.34	182.84	349.35	303.28	305.05	243.17	232.00
