FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13	Area 14	Area 15
Size [pixels]	2255	1404	725	1143	836	1357	1615	2659	648	1174	732	332	434	1342	737
Fo	122.27	96.96	64.07	66.71	76.32	75.26	48.30	62.93	74.28	82.72	36.70	39.16	109.48	51.51	71.14
Fo_gauss	122.27	96.96	64.07	66.71	76.32	75.26	48.30	62.93	74.28	82.72	36.70	39.16	109.48	51.51	71.14
Fo_median	107.50	82.39	50.81	53.85	63.58	61.23	36.65	50.19	59.39	68.58	26.88	28.03	94.78	39.44	57.78
Fm	942.74	773.04	547.19	573.82	634.39	609.13	431.10	538.82	595.33	692.57	334.66	349.07	827.51	456.99	588.03
Fv	820.47	676.09	483.12	507.10	558.07	533.88	382.80	475.89	521.04	609.84	297.96	309.91	718.02	405.48	516.89
Fp	975.03	796.67	568.97	592.62	676.60	644.58	455.62	567.35	631.84	717.79	353.71	379.28	854.71	484.35	617.02
Fp-median	915.10	742.86	520.46	547.10	624.32	588.83	411.09	518.93	575.80	664.78	318.33	334.00	794.47	437.40	569.32
Fp-gauss	1134.75	939.63	697.32	718.61	811.28	784.86	574.39	713.88	777.36	860.34	475.71	493.27	1014.96	611.73	746.27
Fp-average	1031.23	847.52	612.80	638.64	723.79	694.07	498.32	620.38	684.34	767.82	400.02	420.50	913.53	530.13	663.17
Fm_L1	867.35	693.60	503.93	521.28	579.76	545.31	388.50	477.12	528.08	625.23	298.62	321.52	727.10	414.98	543.30
Fm_L2	636.79	520.09	398.42	405.95	461.48	395.62	300.09	353.53	368.03	480.48	235.66	262.53	503.92	312.95	465.49
Fm_L3	525.75	420.96	323.84	330.00	380.42	328.86	241.51	301.24	321.30	406.44	190.47	223.09	437.89	261.42	389.53
Fm_L4	469.02	355.32	273.41	285.75	330.52	278.17	205.46	262.70	281.84	358.16	165.23	196.96	386.53	224.60	329.14
Fm_Lss	444.22	318.39	259.10	264.06	305.09	258.97	191.50	242.98	263.29	332.96	160.59	175.94	361.95	210.07	302.37
Fm_D1	719.41	588.07	418.61	455.17	503.66	505.56	336.99	415.43	468.37	511.80	265.70	272.79	688.24	370.06	473.57
Fm_D2	792.22	626.41	467.29	489.30	552.38	534.99	357.13	439.66	499.50	547.21	282.47	296.30	731.05	390.85	506.56
Fm_D3	809.58	637.20	474.65	494.09	562.81	539.73	363.41	444.91	503.84	558.49	285.38	301.12	738.09	395.21	514.18
Ft_L1	846.96	685.07	475.79	494.69	574.65	541.53	369.59	467.27	522.06	610.62	281.46	302.58	724.74	393.44	527.45
Ft_L2	645.49	513.00	397.94	406.44	447.15	392.28	301.94	349.05	360.69	475.65	237.57	255.43	503.72	307.07	452.12
Ft_L3	511.52	403.29	322.40	328.76	361.67	317.27	238.33	284.24	309.88	384.94	192.17	210.72	422.69	256.12	377.21
Ft_L4	433.16	334.76	266.19	262.10	307.77	269.55	191.16	241.96	263.05	326.28	161.11	172.68	364.01	213.26	312.66
Ft_Lss	404.51	294.68	239.88	234.50	281.43	244.10	165.07	222.88	245.25	302.24	147.27	160.94	333.87	194.65	278.51
Ft_D1	145.48	113.57	76.62	80.55	91.47	91.43	57.62	76.99	84.21	95.39	46.29	48.43	139.98	63.12	85.67
Ft_D2	150.53	117.86	81.11	85.98	99.64	94.53	56.49	78.35	93.00	100.73	44.95	50.81	138.92	67.25	90.69
Ft_D3	149.70	114.57	81.32	83.14	96.18	92.34	58.39	79.37	90.74	97.18	46.90	49.08	135.88	66.88	87.62
Fo_L1	120.88	95.55	63.38	65.90	75.44	74.12	47.68	61.94	73.03	81.67	36.15	38.73	107.48	50.88	70.43
Fo_L2	114.95	91.21	61.17	63.49	72.86	70.26	45.86	59.05	68.61	78.40	34.87	37.57	100.59	48.79	68.85
Fo_L3	110.61	87.44	58.94	61.16	70.36	67.70	44.06	57.27	66.68	76.06	33.51	36.55	97.69	47.19	66.81
Fo_L4	107.77	84.12	56.83	59.36	68.33	65.08	42.58	55.56	64.73	74.08	32.50	35.65	94.73	45.73	64.63
Fo_Lss	106.40	81.71	56.17	58.31	67.14	63.87	41.85	54.56	63.58	72.85	32.30	34.80	93.07	44.96	63.50
Fo_D1	117.43	93.12	61.73	64.65	73.89	73.22	46.71	60.67	71.64	79.26	35.53	37.83	106.46	50.08	69.00
Fo_D2	119.28	94.07	62.73	65.32	74.88	73.85	47.12	61.20	72.34	80.11	35.90	38.25	107.53	50.50	69.73
Fo_D3	119.68	94.29	62.88	65.43	75.09	73.94	47.24	61.31	72.40	80.36	35.95	38.36	107.74	50.56	69.88
