FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	797	575	1056	2402	1158	465	1818	1885	1959
Fo	59.72	83.90	87.17	29.69	35.53	38.35	33.00	65.36	24.52
Fo_gauss	59.72	83.90	87.17	29.69	35.53	38.35	33.00	65.36	24.52
Fo_median	47.60	69.79	73.78	20.42	25.09	27.48	23.48	52.41	15.91
Fm	511.59	626.12	658.00	259.12	308.32	221.07	287.95	540.60	207.34
Fv	451.87	542.22	570.83	229.43	272.79	182.73	254.94	475.23	182.82
Fp	542.18	681.08	717.84	296.29	349.17	255.88	323.39	573.33	242.37
Fp-median	494.06	630.98	665.54	259.78	308.18	214.29	284.53	515.09	197.60
Fp-gauss	667.40	818.44	858.24	403.08	458.42	366.27	452.34	712.07	363.00
Fp-average	587.10	729.87	765.48	335.35	388.67	295.19	370.43	621.94	284.99
Fm_L1	465.78	539.90	561.22	237.47	277.47	193.84	260.55	466.75	184.60
Fm_L2	305.26	358.06	369.80	175.41	201.01	139.27	187.29	304.99	127.18
Fm_L3	238.44	277.32	283.97	150.17	170.90	120.41	158.06	256.99	105.05
Fm_L4	199.13	223.80	230.50	124.56	146.06	110.03	132.14	215.11	92.00
Fm_Lss	185.63	206.74	206.70	113.85	130.01	106.59	119.48	196.74	86.72
Fm_D1	434.95	537.85	568.72	222.61	256.88	160.96	245.72	425.24	171.79
Fm_D2	454.22	569.00	592.90	235.38	276.93	179.70	253.92	450.88	189.67
Fm_D3	463.77	572.89	597.46	237.93	280.45	188.81	259.13	456.83	195.03
Ft_L1	443.83	555.01	574.39	233.71	279.96	196.30	257.73	464.58	177.81
Ft_L2	307.06	355.93	366.72	173.41	200.36	142.01	186.72	297.14	132.27
Ft_L3	236.61	278.52	280.79	137.62	161.40	120.70	153.31	240.50	105.03
Ft_L4	188.83	221.97	227.29	105.01	128.48	106.34	131.96	207.54	89.50
Ft_Lss	171.29	202.47	202.64	90.05	110.47	100.36	116.06	185.36	80.63
Ft_D1	74.09	105.81	112.91	38.15	45.47	46.47	41.97	81.09	31.06
Ft_D2	76.80	106.98	112.61	37.46	44.26	43.86	42.56	81.27	31.04
Ft_D3	75.25	102.07	110.52	36.59	44.25	45.34	41.65	82.12	30.63
Fo_L1	58.96	82.09	85.16	29.36	35.02	37.48	32.58	64.57	24.15
Fo_L2	55.06	75.91	78.71	27.93	33.20	34.45	30.80	59.48	22.52
Fo_L3	52.64	71.26	73.78	27.04	32.13	32.99	29.75	57.02	21.45
Fo_L4	49.87	67.03	69.33	25.95	31.01	31.84	28.48	54.66	20.81
Fo_Lss	48.88	65.28	66.98	25.34	30.10	31.70	27.71	53.28	20.41
Fo_D1	58.40	82.06	85.34	29.08	34.63	35.75	32.29	63.16	24.06
Fo_D2	58.75	82.75	85.90	29.31	35.02	36.81	32.46	63.80	24.35
Fo_D3	58.91	82.83	85.97	29.37	35.10	37.21	32.55	63.74	24.41
Fv_L1	406.82	457.81	476.06	208.10	242.44	156.37	227.97	402.18	160.45
Fv_L2	250.20	282.16	291.09	147.48	167.82	104.82	156.50	245.51	104.65
Fv_L3	185.80	206.06	210.19	123.13	138.77	87.42	128.31	199.97	83.61
Fv_L4	149.26	156.76	161.17	98.61	115.04	78.19	103.65	160.45	71.19
Fv_Lss	136.75	141.47	139.72	88.51	99.92	74.89	91.77	143.46	66.31
Fv_D1	376.55	455.79	483.38	193.52	222.25	125.20	213.42	362.09	147.73
Fv_D2	395.46	486.25	507.00	206.07	241.91	142.89	221.46	387.08	165.32
Fv_D3	404.85	490.06	511.49	208.56	245.35	151.60	226.58	393.09	170.61
Fq_L1	21.95	-15.11	-13.17	3.76	-2.49	-2.46	2.82	2.17	6.79
Fq_L2	-1.80	2.14	3.07	1.99	0.65	-2.74	0.57	7.85	-5.09
Fq_L3	1.83	-1.20	3.18	12.55	9.49	-0.30	4.75	16.48	0.02
Fq_L4	10.30	1.83	3.21	19.55	17.58	3.69	0.17	7.57	2.51
Fq_Lss	14.34	4.28	4.06	23.80	19.55	6.23	3.42	11.38	6.09
Fq_D1	360.86	432.04	455.81	184.46	211.41	114.49	203.75	344.15	140.74
Fq_D2	377.42	462.02	480.28	197.92	232.67	135.84	211.36	369.61	158.63
Fq_D3	388.52	470.82	486.94	201.33	236.21	143.47	217.48	374.71	164.40
QY_max	0.88	0.87	0.87	0.88	0.88	0.82	0.88	0.88	0.87
Fv/Fm_L1	0.87	0.85	0.85	0.87	0.87	0.80	0.87	0.85	0.86
Fv/Fm_L2	0.82	0.79	0.78	0.83	0.83	0.74	0.83	0.80	0.81
Fv/Fm_L3	0.75	0.74	0.74	0.81	0.81	0.71	0.80	0.77	0.77
Fv/Fm_L4	0.75	0.70	0.69	0.78	0.78	0.69	0.77	0.74	0.75
Fv/Fm_Lss	0.73	0.68	0.67	0.77	0.76	0.69	0.75	0.72	0.74
Fv/Fm_D1	0.87	0.85	0.85	0.86	0.86	0.77	0.86	0.85	0.85
Fv/Fm_D2	0.87	0.85	0.85	0.87	0.87	0.79	0.87	0.85	0.86
Fv/Fm_D3	0.87	0.85	0.86	0.87	0.87	0.80	0.87	0.86	0.86
QY_L1	0.04	-0.04	-0.03	-0.01	-0.03	-0.06	-0.02	-0.01	-0.05
QY_L2	-0.02	-0.01	-0.00	-0.03	-0.04	-0.10	-0.11	0.01	-0.19
QY_L3	-0.02	-0.03	-0.01	0.04	0.01	-0.09	-0.05	0.04	-0.20
QY_L4	0.02	-0.02	-0.01	0.11	0.07	-0.10	-0.08	-0.04	-0.17
QY_Lss	0.04	-0.01	-0.01	0.14	0.10	-0.03	-0.06	0.01	-0.13
QY_D1	0.83	0.80	0.80	0.82	0.82	0.70	0.82	0.80	0.80
QY_D2	0.83	0.81	0.81	0.84	0.84	0.75	0.83	0.82	0.82
QY_D3	0.84	0.82	0.81	0.84	0.84	0.75	0.83	0.81	0.83
NPQ_L1	0.11	0.17	0.18	0.12	0.14	0.19	0.14	0.18	0.24
NPQ_L2	0.70	0.77	0.80	0.54	0.60	0.73	0.72	0.82	0.84
NPQ_L3	1.19	1.30	1.36	0.81	0.88	1.13	0.96	1.18	1.37
NPQ_L4	1.65	1.87	1.93	1.21	1.22	1.25	1.36	1.69	1.76
NPQ_Lss	1.88	2.12	2.27	1.45	1.53	1.31	1.66	1.89	1.96
NPQ_D1	0.19	0.18	0.17	0.20	0.23	0.45	0.22	0.32	0.31
NPQ_D2	0.14	0.11	0.12	0.13	0.14	0.29	0.18	0.23	0.19
NPQ_D3	0.12	0.10	0.11	0.12	0.12	0.24	0.17	0.23	0.16
qN_L1	0.09	0.15	0.16	0.06	0.09	0.07	0.06	0.13	0.03
