FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9
Size [pixels]	7007	1790	3828	1555	763	566	455	732	230
Fo	73.22	74.63	60.56	89.90	77.77	92.13	78.59	58.48	54.06
Fo_gauss	73.22	74.63	60.56	89.90	77.77	92.13	78.59	58.48	54.06
Fo_median	59.75	59.99	47.95	75.64	62.60	72.51	60.29	45.52	39.08
Fm	604.61	621.37	518.55	698.08	565.04	643.52	535.21	458.93	442.51
Fv	531.39	546.73	457.99	608.18	487.27	551.39	456.63	400.45	388.45
Fp	642.83	651.43	546.98	726.32	593.14	658.87	552.73	471.02	467.31
Fp-median	589.02	593.03	500.41	673.74	537.33	587.13	487.80	434.53	405.89
Fp-gauss	785.91	799.38	670.26	868.93	731.63	814.96	701.01	612.56	611.44
Fp-average	694.26	706.33	590.82	776.99	646.31	724.13	615.33	530.98	525.84
Fm_L1	521.77	524.53	477.88	594.75	511.27	560.66	468.70	412.79	386.77
Fm_L2	371.50	369.47	365.84	406.68	352.23	375.91	317.39	292.45	271.44
Fm_L3	319.40	323.12	286.64	318.54	257.63	308.91	257.93	222.20	225.54
Fm_L4	264.54	280.20	236.95	261.00	211.22	270.99	226.29	182.11	202.08
Fm_Lss	232.14	258.69	217.64	231.76	192.39	254.23	216.94	163.25	190.95
Fm_D1	477.39	443.26	382.63	551.14	449.13	479.06	395.70	351.19	332.04
Fm_D2	489.78	495.76	444.01	578.47	488.55	522.61	436.00	361.42	366.78
Fm_D3	491.67	506.57	453.11	575.20	496.57	535.79	439.09	367.35	372.71
Ft_L1	537.46	543.64	465.24	606.25	509.06	562.37	473.15	407.05	389.18
Ft_L2	365.71	364.57	373.51	403.31	358.72	377.53	318.81	297.14	280.78
Ft_L3	307.11	310.38	286.83	312.05	259.18	302.50	248.04	226.73	206.46
Ft_L4	261.79	274.97	231.90	258.85	207.63	263.70	222.85	176.50	195.37
Ft_Lss	229.37	253.66	208.69	232.24	181.83	241.36	206.50	154.02	180.85
Ft_D1	97.07	94.23	76.57	115.34	99.54	109.60	85.00	68.34	60.07
Ft_D2	95.74	96.51	81.97	111.31	98.68	110.49	85.77	64.06	74.69
Ft_D3	92.80	96.50	80.20	111.98	98.64	107.53	84.32	63.56	74.06
Fo_L1	71.78	72.93	59.94	87.86	76.63	90.10	76.90	57.50	53.04
Fo_L2	67.78	68.65	57.56	81.99	71.53	83.23	71.08	54.13	49.74
Fo_L3	65.71	66.76	55.00	77.46	66.26	79.19	67.40	50.89	47.81
Fo_L4	62.82	64.56	52.68	73.40	62.40	76.24	64.81	48.21	46.29
Fo_Lss	60.66	63.32	51.61	70.71	60.47	74.54	63.98	46.26	45.57
Fo_D1	70.81	71.01	57.99	86.80	74.92	87.30	74.40	55.23	51.38
Fo_D2	71.09	72.32	59.33	87.50	76.00	88.66	75.68	55.16	52.13
Fo_D3	71.13	72.53	59.50	87.43	76.21	89.16	75.81	55.28	52.28
Fv_L1	449.99	451.61	417.94	506.89	434.64	470.56	391.79	355.29	333.73
Fv_L2	303.72	300.82	308.29	324.69	280.71	292.68	246.31	238.32	221.70
Fv_L3	253.70	256.36	231.64	241.07	191.37	229.71	190.54	171.32	177.73
Fv_L4	201.72	215.64	184.27	187.60	148.81	194.75	161.48	133.89	155.79
Fv_Lss	171.48	195.37	166.03	161.05	131.92	179.69	152.96	116.99	145.39
Fv_D1	406.58	372.25	324.64	464.34	374.21	391.76	321.30	295.95	280.66
Fv_D2	418.69	423.44	384.69	490.97	412.55	433.95	360.32	306.26	314.66
Fv_D3	420.54	434.04	393.62	487.77	420.35	446.63	363.28	312.07	320.43
