FluorCam7 Numeric Export File
-----------------------------------
	Area 1	Area 2	Area 3	Area 4	Area 5	Area 6	Area 7	Area 8	Area 9	Area 10	Area 11	Area 12	Area 13
Size [pixels]	2792	2367	2648	1873	473	659	493	366	660	799	802	1084	525
Fo	104.78	103.80	60.72	50.06	75.38	78.49	43.19	84.37	106.19	99.92	80.82	96.67	87.89
Fo_gauss	104.78	103.80	60.72	50.06	75.38	78.49	43.19	84.37	106.19	99.92	80.82	96.67	87.89
Fo_median	90.81	89.03	47.85	38.20	61.76	64.22	32.42	70.52	91.84	85.17	66.84	83.53	72.53
Fm	781.14	723.07	487.44	405.20	547.38	551.43	333.77	607.48	778.49	679.72	614.83	708.85	613.92
Fv	676.36	619.26	426.72	355.14	472.00	472.95	290.58	523.11	672.30	579.80	534.00	612.18	526.04
Fp	805.80	750.63	509.83	430.34	578.61	588.13	358.78	650.92	799.47	713.24	654.72	744.43	649.49
Fp-median	749.24	693.38	463.11	384.69	526.54	533.79	312.57	595.40	742.23	659.65	598.60	692.45	590.50
Fp-gauss	954.42	899.51	629.64	542.94	704.52	717.88	480.53	793.65	953.95	859.47	797.06	880.22	795.29
Fp-average	857.80	802.93	551.55	469.29	623.57	633.52	403.11	701.65	853.97	767.29	704.76	792.34	701.49
Fm_L1	624.23	552.42	437.89	357.24	465.60	477.54	273.89	523.59	667.43	559.96	516.94	632.16	512.56
Fm_L2	389.26	354.06	287.71	255.10	294.42	313.71	190.03	335.48	423.02	350.09	358.39	418.22	344.18
Fm_L3	335.17	309.14	240.05	208.62	260.81	270.71	174.29	297.11	373.84	293.74	315.33	343.11	299.79
Fm_L4	284.79	266.94	209.02	179.78	226.79	239.59	151.64	263.15	334.03	247.40	276.27	296.40	268.62
Fm_Lss	261.56	246.84	198.66	168.35	212.41	221.23	144.40	254.27	310.31	224.58	262.04	274.30	257.66
Fm_D1	635.98	552.23	383.52	322.83	448.98	454.79	223.04	474.32	580.43	535.05	448.34	599.96	469.48
Fm_D2	664.45	597.55	422.58	345.95	484.53	485.96	258.73	518.65	648.58	569.19	500.32	624.51	513.45
Fm_D3	667.26	610.57	430.40	352.74	494.48	496.39	275.44	533.19	667.32	578.19	512.86	633.72	532.04
Ft_L1	643.33	582.02	412.54	340.61	460.23	477.62	275.49	529.31	657.77	574.57	533.22	621.12	520.24
Ft_L2	378.18	343.15	293.41	252.86	296.77	309.56	195.76	330.39	418.31	342.30	346.43	419.21	326.92
Ft_L3	321.94	293.71	233.90	199.21	256.03	267.43	162.58	282.64	350.37	289.07	301.21	338.40	286.19
Ft_L4	274.91	254.45	193.32	153.58	214.59	226.80	142.01	249.01	303.82	242.85	270.28	284.75	255.51
Ft_Lss	252.58	235.79	175.74	135.66	194.78	208.07	136.13	236.65	282.54	219.47	250.07	256.22	237.86
Ft_D1	131.89	125.34	74.27	58.77	88.14	90.33	50.00	95.74	126.29	119.64	98.80	121.94	103.94
Ft_D2	130.27	123.24	75.32	59.67	87.17	92.09	50.98	98.95	130.53	117.55	100.33	121.60	100.96
Ft_D3	129.21	123.09	74.77	60.54	88.42	91.06	49.12	100.76	125.16	118.71	99.32	120.86	103.25
Fo_L1	101.28	99.29	59.83	49.18	73.56	76.69	41.86	82.52	103.82	96.77	78.83	95.06	85.43
Fo_L2	91.96	89.84	55.58	46.41	67.03	70.46	38.90	75.47	94.94	87.38	73.60	87.99	78.69
Fo_L3	88.47	86.55	53.35	44.43	65.07	67.95	38.13	73.17	92.11	83.20	71.50	84.00	75.96
Fo_L4	84.33	82.67	51.54	42.81	62.58	65.66	36.80	70.78	89.48	78.85	69.10	80.81	73.67
Fo_Lss	82.13	80.52	50.83	42.07	61.36	64.15	36.26	70.18	87.50	76.23	68.23	78.99	72.66
Fo_D1	101.57	99.21	58.61	48.42	73.09	76.08	40.43	81.11	101.35	95.86	76.91	94.28	83.97
Fo_D2	102.28	100.66	59.52	48.94	74.01	76.93	41.46	82.32	103.33	96.95	78.37	94.90	85.40
Fo_D3	102.35	101.06	59.68	49.10	74.25	77.21	41.93	82.67	103.80	97.22	78.69	95.10	85.93
Fv_L1	522.95	453.13	378.06	308.06	392.04	400.85	232.03	441.07	563.61	463.19	438.11	537.10	427.13
Fv_L2	297.30	264.22	232.13	208.69	227.39	243.25	151.13	260.01	328.08	262.71	284.80	330.23	265.48
Fv_L3	246.70	222.58	186.71	164.19	195.74	202.76	136.15	223.95	281.73	210.54	243.83	259.11	223.83
Fv_L4	200.46	184.27	157.47	136.97	164.22	173.93	114.85	192.37	244.55	168.55	207.17	215.59	194.95
Fv_Lss	179.43	166.32	147.83	126.27	151.05	157.08	108.14	184.09	222.81	148.35	193.80	195.32	185.00
Fv_D1	534.41	453.02	324.90	274.41	375.88	378.71	182.61	393.21	479.08	439.19	371.44	505.67	385.50
Fv_D2	562.17	496.90	363.06	297.01	410.53	409.02	217.27	436.32	545.25	472.24	421.96	529.61	428.05
Fv_D3	564.90	509.51	370.72	303.64	420.22	419.18	233.51	450.52	563.52	480.97	434.17	538.62	446.11
Fq_L1	-19.09	-29.60	25.35	16.63	5.37	-0.08	-1.60	-5.72	9.67	-14.61	-16.28	11.04	-7.68
Fq_L2	11.08	10.91	-5.70	2.24	-2.35	4.16	-5.73	5.09	4.72	7.79	11.96	-0.99	17.25
Fq_L3	13.23	15.43	6.16	9.41	4.78	3.29	11.70	14.47	23.48	4.66	14.11	4.71	13.60
Fq_L4	9.88	12.50	15.69	26.20	12.21	12.80	9.63	14.15	30.21	4.55	5.99	11.65	13.11
Fq_Lss	8.98	11.05	22.91	32.68	17.63	13.16	8.27	17.62	27.77	5.10	11.97	18.08	19.80
Fq_D1	504.09	426.89	309.25	264.06	360.84	364.45	173.04	378.58	454.14	415.41	349.54	478.01	365.54
Fq_D2	534.18	474.32	347.25	286.28	397.36	393.87	207.75	419.70	518.05	451.64	399.99	502.90	412.49
Fq_D3	538.05	487.48	355.63	292.20	406.06	405.33	226.32	432.43	542.15	459.48	413.54	512.86	428.79
QY_max	0.87	0.86	0.87	0.88	0.86	0.86	0.87	0.86	0.86	0.85	0.87	0.86	0.86
Fv/Fm_L1	0.84	0.82	0.86	0.86	0.84	0.84	0.84	0.84	0.84	0.83	0.85	0.85	0.83
Fv/Fm_L2	0.76	0.74	0.80	0.82	0.77	0.77	0.79	0.77	0.77	0.75	0.79	0.79	0.77
Fv/Fm_L3	0.73	0.72	0.77	0.78	0.75	0.75	0.77	0.75	0.75	0.71	0.77	0.75	0.74
Fv/Fm_L4	0.70	0.69	0.75	0.76	0.72	0.72	0.75	0.73	0.73	0.68	0.75	0.72	0.72
Fv/Fm_Lss	0.68	0.67	0.74	0.75	0.71	0.70	0.74	0.72	0.71	0.65	0.74	0.71	0.71
Fv/Fm_D1	0.84	0.82	0.85	0.85	0.84	0.83	0.81	0.83	0.82	0.82	0.83	0.84	0.82
Fv/Fm_D2	0.84	0.83	0.86	0.86	0.85	0.84	0.83	0.84	0.84	0.83	0.84	0.85	0.83
Fv/Fm_D3	0.84	0.83	0.86	0.86	0.85	0.84	0.84	0.84	0.84	0.83	0.85	0.85	0.84
